표찰번호,체육시설명,운동기구명,소재지도로명주소,소재지지번주소,전화번호,관리기관,위도,경도,데이터기준일자
고제면1-1,손항마을체육시설,트위스트,,경상남도 거창군 고제면 농산리 1194-2,055-940-8720,경상남도 거창군 체육시설사업소,35.81731645,127.8593501,2023-03-31
고제면4-5,농산리체육시설,써핑롤링,경상남도 거창군 고제면 고제로 72,경상남도 거창군 고제면 농산리 200-1,055-940-8720,경상남도 거창군 체육시설사업소,35.81491884,127.8721797,2023-03-31
고제면4-4,농산리체육시설,워킹트레이너,경상남도 거창군 고제면 고제로 72,경상남도 거창군 고제면 농산리 200-1,055-940-8720,경상남도 거창군 체육시설사업소,35.81491884,127.8721797,2023-03-31
고제면4-3,농산리체육시설,스윙워커,경상남도 거창군 고제면 고제로 72,경상남도 거창군 고제면 농산리 200-1,055-940-8720,경상남도 거창군 체육시설사업소,35.81491884,127.8721797,2023-03-31
고제면4-2,농산리체육시설,트위스트,경상남도 거창군 고제면 고제로 72,경상남도 거창군 고제면 농산리 200-1,055-940-8720,경상남도 거창군 체육시설사업소,35.81491884,127.8721797,2023-03-31
고제면4-1,농산리체육시설,체스트업,경상남도 거창군 고제면 고제로 72,경상남도 거창군 고제면 농산리 200-1,055-940-8720,경상남도 거창군 체육시설사업소,35.81491884,127.8721797,2023-03-31
고제면6-2,용초마을체육시설,싣업+레그프레스,경상남도 거창군 고제면 용초길 142-31,경상남도 거창군 고제면 봉산리 1461-1,055-940-8720,경상남도 거창군 체육시설사업소,35.86415248,127.8732215,2023-03-31
고제면6-1,용초마을체육시설,트위스트+써핑롤링,경상남도 거창군 고제면 용초길 142-31,경상남도 거창군 고제면 봉산리 1461-1,055-940-8720,경상남도 거창군 체육시설사업소,35.86415248,127.8732215,2023-03-31
고제면6-3,용초마을체육시설,오버헤드폴리,경상남도 거창군 고제면 용초길 142-31,경상남도 거창군 고제면 봉산리 1461-1,055-940-8720,경상남도 거창군 체육시설사업소,35.86415248,127.8732215,2023-03-31
고제면7-1,개명2구마을체육시설,트위스트,경상남도 거창군 고제면 상개명길 110,경상남도 거창군 고제면 개명리 446-1,055-940-8720,경상남도 거창군 체육시설사업소,35.83580124,127.8560764,2023-03-31
고제면7-2,개명2구마을체육시설,큰활차+체스트업,경상남도 거창군 고제면 상개명길 110,경상남도 거창군 고제면 개명리 446-1,055-940-8720,경상남도 거창군 체육시설사업소,35.83580124,127.8560764,2023-03-31
고제면8-2,와룡마을체육시설,큰활차,경상남도 거창군 고제면 와룡길 81,경상남도 거창군 고제면 봉산리 1579-2,055-940-8720,경상남도 거창군 체육시설사업소,35.8652468,127.8761101,2023-03-31
고제면8-1,와룡마을체육시설,트위스트+써핑롤링,경상남도 거창군 고제면 와룡길 81,경상남도 거창군 고제면 봉산리 1579-2,055-940-8720,경상남도 거창군 체육시설사업소,35.8652468,127.8761101,2023-03-31
고제면9-1,탑선마을체육시설,큰활차,경상남도 거창군 고제면 고제로 1134,경상남도 거창군 고제면 봉계리 1027-1,055-940-8720,경상남도 거창군 체육시설사업소,35.90240774,127.8653442,2023-03-31
고제면9-4,탑선마을체육시설,트위스트,경상남도 거창군 고제면 고제로 1134,경상남도 거창군 고제면 봉계리 1027-1,055-940-8720,경상남도 거창군 체육시설사업소,35.90240774,127.8653442,2023-03-31
고제면9-3,탑선마을체육시설,써핑롤링,경상남도 거창군 고제면 고제로 1134,경상남도 거창군 고제면 봉계리 1027-1,055-940-8720,경상남도 거창군 체육시설사업소,35.90240774,127.8653442,2023-03-31
고제면9-2,탑선마을체육시설,스윙워커,경상남도 거창군 고제면 고제로 1134,경상남도 거창군 고제면 봉계리 1027-1,055-940-8720,경상남도 거창군 체육시설사업소,35.90240774,127.8653442,2023-03-31
고제면10-5,구송마을체육시설,트위스트,,경상남도 거창군 고제면 봉산리 593,055-940-8720,경상남도 거창군 체육시설사업소,35.86139818,127.881093,2023-03-31
고제면10-1,구송마을체육시설,큰활차,,경상남도 거창군 고제면 봉산리 593,055-940-8720,경상남도 거창군 체육시설사업소,35.86139818,127.881093,2023-03-31
고제면10-4,구송마을체육시설,써핑롤링,,경상남도 거창군 고제면 봉산리 593,055-940-8720,경상남도 거창군 체육시설사업소,35.86139818,127.881093,2023-03-31
고제면10-2,구송마을체육시설,체스트다운,,경상남도 거창군 고제면 봉산리 593,055-940-8720,경상남도 거창군 체육시설사업소,35.86139818,127.881093,2023-03-31
고제면10-3,구송마을체육시설,로윙라이더,,경상남도 거창군 고제면 봉산리 593,055-940-8720,경상남도 거창군 체육시설사업소,35.86139818,127.881093,2023-03-31
고제면11-1,원궁항마을체육시설,거꾸리,,경상남도 거창군 고제면 궁항리 1103,055-940-8720,경상남도 거창군 체육시설사업소,35.82897442,127.8793983,2023-03-31
고제면11-2,원궁항마을체육시설,스윙워커,,경상남도 거창군 고제면 궁항리 1103,055-940-8720,경상남도 거창군 체육시설사업소,35.82897442,127.8793983,2023-03-31
고제면11-3,원궁항마을체육시설,큰활차,,경상남도 거창군 고제면 궁항리 1103,055-940-8720,경상남도 거창군 체육시설사업소,35.82897442,127.8793983,2023-03-31
고제면11-4,원궁항마을체육시설,트위스트,,경상남도 거창군 고제면 궁항리 1103,055-940-8720,경상남도 거창군 체육시설사업소,35.82897442,127.8793983,2023-03-31
고제면12-3,원기마을체육시설,거꾸리,경상남도 거창군 고제면 원기길 72,경상남도 거창군 고제면 봉계리 678-1,055-940-8720,경상남도 거창군 체육시설사업소,35.89113997,127.8715298,2023-03-31
고제면12-4,원기마을체육시설,스윙워커,경상남도 거창군 고제면 원기길 72,경상남도 거창군 고제면 봉계리 678-1,055-940-8720,경상남도 거창군 체육시설사업소,35.89113997,127.8715298,2023-03-31
