관리번호,운동기구명,동시사용인원,운동기구설치일,공원관리번호,공원명,관리기관전화번호,관리기관명,데이터기준일자,안내판유무,운동기구시설상태,운동기구특성,운동기구수리필요,운동기구너비(W),운동기구길이(L),운동기구높이(H),KC인증유무,위치명,설치위치,위도,경도,도로명주소,지번주소,행정동,제조사이름,제조사주소,제조사전화번호,제조사팩스번호,제조사홈페이지,전경사진,안내판사진
"27230-00005-02-05-001","거꾸로 매달리기",1,"2010-05-01","27230-00005","관음공원","053-665-2864","대구광역시 북구청","2022-12-09","Y","보통","머리,심장,혈액순환","N",0.74,1.14,1.64,"N","관음공원",11,35.9353179932,128.5458984375,"대구광역시 북구 구암로 47","대구광역시 북구 관음동 1372","관음동","(주)미래파크","대구광역시 북구 검단동로11(검단동)","053-218-7775","053-218-7774","","27230-00005-02-05-001-01.jpg","27230-00005-02-05-001-02.jpg"
"27140-00081-02-05-001","팔돌리기",2,"2018-09-10","27140-00081","기상대기념공원","053-662-2863","대구광역시 동구청","2022-12-09","Y","양호","어깨,상체","N",0.95,0.66,1.78,"N","기상대기념공원",12,35.8858642578,128.6185455322,,"대구광역시 동구 신암동 716-87","신암1동","(주)케이엘에스","경기도 시흥시 정왕동 1371-2(시화공단 3마 103호)","02-2678-2673","","","27140-00081-02-05-001-01.jpg","27140-00081-02-05-001-02.jpg"
"27260-00076-02-05-001","공중걷기",2,"2010-05-01","27260-00076","지산공원","053-666-2865","대구광역시 수성구청","2022-12-09","Y","보통","엉덩이,허리,골반,심폐","N",0.78,2.53,2.07,"N","지산공원",8,35.8209190369,128.6373901367,"","대구광역시 수성구 지산동 1274","지산2동","(주)디자인파크개발","서울특별시 강서구 공항동 11-10 (주)케이티공항지점2층","02-2665-6006","02-706-9773","www.dp566.com","27260-00076-02-05-001-01.jpg","27260-00076-02-05-001-02.jpg"
"27290-00179-02-05-001","역기내(올)리기",2,"2021-11-22","27290-00179","두류공원","053-803-7480","대구광역시 두류공원관리사무소","2022-12-09","Y","보통","팔,등","N",0.76,2.26,2.13,"Y","두류공원",12,35.8533554077,128.5579376221,"","대구광역시 달서구 성당동 산 198-1","성당동","(주)디자인파크개발","서울시 강서구 마곡서로 133 (마곡엠밸리) 713동 404호 (주)디자인파크개발","02-2665-6006","","www.designpark.or.kr","27290-00179-02-05-001-01.jpg","27290-00179-02-05-001-02.jpg"
"27260-00076-02-05-002","다리근육풀기",2,"2010-05-01","27260-00076","지산공원","053-666-2865","대구광역시 수성구청","2022-12-09","Y","보통","다리","N",1.02,1.06,2.06,"N","지산공원",8,35.8208465576,128.6374206543,"","대구광역시 수성구 지산동 1274","지산2동","(주)디자인파크개발","서울특별시 강서구 공항동 11-10 (주)케이티공항지점2층","02-2665-6006","02-706-9773","www.dp566.com","27260-00076-02-05-002-01.jpg","27260-00076-02-05-002-02.jpg"
"27140-00081-02-05-002","역기내(올)리기",2,"2018-09-10","27140-00081","기상대기념공원","053-662-2863","대구광역시 동구청","2022-12-09","Y","보통","어깨,상완근,가슴","N",0.81,2.01,1.60,"N","기상대기념공원",12,35.885848999,128.6184844971,,"대구광역시 동구 신암동 716-87","신암1동","(주)케이엘에스","경기도 시흥시 경제로 240(시화공단 3마 103호)","02-2678-2673","","www.kls.kr","27140-00081-02-05-002-01.jpg","27140-00081-02-05-002-02.jpg"
"27230-00005-02-05-002","노젓기",2,"2010-05-01","27230-00005","관음공원","053-665-2864","대구광역시 북구청","2022-12-09","Y","보통","상체,하체,허리,복부,팔,다리","N",1.20,1.59,2.00,"N","관음공원",11,35.9353752136,128.5458984375,"대구광역시 북구 구암로 47","대구광역시 북구 관음동 1372","관음동","SunParkSports","","053-357-3855","","www.sunchair.co.kr","27230-00005-02-05-002-01.jpg","27230-00005-02-05-002-02.jpg"
"27230-00005-02-05-003","팔돌리기",2,"2010-05-01","27230-00005","관음공원","053-665-2864","대구광역시 북구청","2022-12-09","Y","보통","어깨,허리,전신,혈액순환","N",0.93,0.97,1.96,"N","관음공원",11,35.9354286194,128.5458984375,"대구광역시 북구 구암로 47","대구광역시 북구 관음동 1372","관음동","(주)케이엘에스","경기도 시흥시 경제로 240(시화공단 3마 103호)","02-2678-2673","","www.kls.or.kr","27230-00005-02-05-003-01.jpg","27230-00005-02-05-003-02.jpg"
"27290-00179-02-05-002","윗몸일으키기",2,"2021-11-22","27290-00179","두류공원","053-803-7480","대구광역시 두류공원관리사무소","2022-12-09","Y","보통","복부,옆구리","N",1.33,1.26,2.22,"N","두류공원",12,35.8534164429,128.5579071045,"","대구광역시 달서구 성당동 산 198-1","성당동","(주)디자인파크개발","서울시 강서구 마곡서로 133 (마곡엠밸리) 713동 404호 (주)디자인파크개발","02-2665-6006","","www.designpark.or.kr","27290-00179-02-05-002-01.jpg","27290-00179-02-05-002-02.jpg"
"27260-00076-02-05-003","파도타기",2,"2010-05-01","27260-00076","지산공원","053-666-2865","대구광역시 수성구청","2022-12-09","Y","보통","복부,허리","N",0.84,1.54,2.07,"N","지산공원",8,35.8208122253,128.6374359131,"","대구광역시 수성구 지산동 1274","지산2동","(주)디자인파크개발","서울특별시 강서구 공항동 11-10 (주)케이티공항지점2층","02-2665-6006","02-706-9773","www.dp566.com","27260-00076-02-05-003-01.jpg","27260-00076-02-05-003-02.jpg"
"27260-00076-02-05-004","허리돌리기",2,"2010-05-01","27260-00076","지산공원","053-666-2865","대구광역시 수성구청","2022-12-09","Y","보통","허리,옆구리,발","N",0.77,1.56,2.06,"N","지산공원",8,35.8208847046,128.6374053955,"","대구광역시 수성구 지산동 1274","지산2동","(주)디자인파크개발","서울시 강서구 마곡서로 133 (마곡엠밸리) 713동 404호 (주)디자인파크개발","02-2665-6006","","www.designpark.or.kr","27260-00076-02-05-004-01.jpg","27260-00076-02-05-004-02.jpg"
"27140-00081-02-05-003","허리돌리기",3,"2018-09-10","27140-00081","기상대기념공원","053-662-2863","대구광역시 동구청","2022-12-09","Y","보통","허리,옆구리","N",1.71,1.48,1.30,"N","기상대기념공원",12,35.8858985901,128.6185760498,,"대구광역시 동구 신암동 716-87","신암1동","(주)케이엘에스","경기도 시흥시 경제로 240(시화공단 3마 103호)","02-2678-2673","","www.kls.kr","27140-00081-02-05-003-01.jpg","27140-00081-02-05-003-02.jpg"
