연번,설치위치,종류,설치대수,설치년도
1,복수동 산19-4,에어서핑,1,1996
2,복수동 산19-4,체스트프레스,1,1996
3,복수동 산19-4,트윈트위스트,2,1996
4,복수동 산19-4,어깨돌리기,2,1996
5,복수동 산19-4,마사지롤라,1,1996
6,복수동 산19-4,에어워킹,1,1996
7,복수동 산19-4,노르딕머신,1,1996
8,복수동 산19-4,로우잉머신,1,1996
9,복수동 산19-4,싸이클링,3,1996
10,복수동 산19-4,스쿼트머신,3,1996
11,복수동 산19-4,스텝사이클,1,1996
12,흑석동 621-1,레그프레스,1,2017
13,흑석동 621-1,노르딕머신,2,2017
14,흑석동 621-1,마사지롤라,1,2017
15,흑석동 621-1,트위스트,1,2017
16,흑석동 621-1,워밍쇼올더,1,2017
17,흑석동 621-1,바디싯업,1,2017
18,흑석동 621-1,에어서핑,1,2017
19,월평동 1513,에어워킹,2,2016
20,월평동 1513,에어서핑,2,2016
21,월평동 1511,가슴운동,1,2005
22,월평동 1511,하체운동,1,2005
23,월평동 1511,허리돌리기,1,2005
24,월평동 1511,하늘걷기,1,2005
25,월평동 1512,상체운동,1,2005
26,월평동 1512,허리돌리기,1,2005
27,월평동 1512,어깨풀기,1,2005
28,월평동 1512,파도타기,1,2005
29,정림동 290-3,어깨풀기,1,2007
30,정림동 290-3,파도타기,1,2007
31,정림동 290-3,하늘걷기,1,2007
32,정림동 290-3,허리돌리기,1,2007
33,정림동 290-3,윗몸일으키기,1,2007
34,정림동 290-3,스텝사이클,1,2007
35,갈마동 402-1,하체운동,1,2009
36,갈마동 402-1,어깨풀기,1,2009
37,갈마동 402-1,허리돌리기,1,2009
38,괴곡동 963,달리기운동,1,2011
39,괴곡동 963,하늘걷기,1,2011
40,괴곡동 963,허리돌리기,1,2011
41,괴곡동 963,파도타기,1,2011
42,원정동 31-7,허리돌리기,1,2011
43,원정동 31-7,하늘걷기,1,2011
44,만년동 414,허리돌리기,1,2011
45,만년동 414,달리기운동,1,2011
46,만년동 414,하늘걷기,1,2011
47,만년동 414,하체운동,1,2011
48,만년동 414,어깨풀기,1,2011
49,만년동 405,하늘걷기,1,2012
50,만년동 405,파도타기,1,2012
51,정림동 231,허리돌리기,1,2013
52,정림동 231,달리기운동,1,2013
53,정림동 231,어깨풀기,1,2013
54,정림동 313,하늘걷기,1,2013
55,정림동 313,가슴운동,1,2013
56,정림동 313,마사지롤라,1,2013
57,정림동 313,허리돌리기,1,2013
58,정림동 313,상체근육풀기,1,2013
59,괴곡동 141-5,등허리지압기,1,2014
