연번,운동기구종류,설치주소,개수,설치년도,설치업체,담당부서,자료기준일
1,달리기운동,서울 강북구 미아동 산108-9,1,0,미상,문화관광체육과,2023-05-26
2,역기,서울 강북구 미아동 산108-9,4,0,미상,문화관광체육과,2023-05-26
3,오금펴기,서울 강북구 미아동 산108-9,3,0,미상,문화관광체육과,2023-05-26
4,윗몸일으키기,서울 강북구 미아동 산108-9,7,0,미상,문화관광체육과,2023-05-26
5,철봉,서울 강북구 미아동 산108-9,2,0,미상,문화관광체육과,2023-05-26
6,팔굽혀펴기,서울 강북구 미아동 산108-9,4,0,미상,문화관광체육과,2023-05-26
7,평행봉,서울 강북구 미아동 산108-9,2,0,미상,문화관광체육과,2023-05-26
8,허리돌리기,서울 강북구 미아동 산108-9,4,0,미상,문화관광체육과,2023-05-26
9,공중걷기,서울 강북구 번동 612-3,4,2017,에드케이,문화관광체육과,2023-05-26
10,노젓기,서울 강북구 번동 612-3,1,2017,지스포텍,문화관광체육과,2023-05-26
11,달리기운동,서울 강북구 번동 612-3,4,2018,에드케이,문화관광체육과,2023-05-26
12,등허리지압기,서울 강북구 번동 612-3,1,2017,지스포텍,문화관광체육과,2023-05-26
13,상체근육풀기,서울 강북구 번동 612-3,2,2018,한양그린파크,문화관광체육과,2023-05-26
14,상체근육풀기+어깨근육풀기,서울 강북구 번동 612-3,1,2017,지스포텍,문화관광체육과,2023-05-26
15,양팔줄당기기,서울 강북구 번동 612-3,2,2017,지스포텍,문화관광체육과,2023-05-26
16,어깨유연성 상체운동,서울 강북구 번동 612-3,1,0,청양조경,문화관광체육과,2023-05-26
17,역기내리기,서울 강북구 번동 612-3,5,0,한양그린파크,문화관광체육과,2023-05-26
18,역기내리기+역기올리기,서울 강북구 번동 612-3,1,2017,지스포텍,문화관광체육과,2023-05-26
19,역기올리기,서울 강북구 번동 612-3,1,0,경일산업,문화관광체육과,2023-05-26
20,오금펴기,서울 강북구 번동 612-3,1,0,청양조경,문화관광체육과,2023-05-26
21,윗몸일으키기,서울 강북구 번동 612-3,2,0,한양그린파크,문화관광체육과,2023-05-26
22,철봉,서울 강북구 번동 612-3,1,0,미상,문화관광체육과,2023-05-26
23,파도타기,서울 강북구 번동 612-3,5,2018,에드케이,문화관광체육과,2023-05-26
24,평행봉,서울 강북구 번동 612-3,1,0,미상,문화관광체육과,2023-05-26
25,하체근육풀기,서울 강북구 번동 612-3,2,2018,한양그린파크,문화관광체육과,2023-05-26
26,하체근육풀기,서울 강북구 번동 612-3,1,2018,한양그린파크,문화관광체육과,2023-05-26
27,허리돌리기,서울 강북구 번동 612-3,2,2016,우리스포츠산업,문화관광체육과,2023-05-26
28,공중걷기+어깨근육풀기,서울 강북구 번동 619-27,1,2017,지스포텍,문화관광체육과,2023-05-26
29,공중걷기+어깨근육풀기,서울 강북구 번동 619-27,1,2017,지스포텍,문화관광체육과,2023-05-26
30,양팔줄당기기+상체근육풀기,서울 강북구 번동 619-27,1,2017,지스포텍,문화관광체육과,2023-05-26
31,역기올리기,서울 강북구 번동 619-27,1,2017,지스포텍,문화관광체육과,2023-05-26
32,오금펴기,서울 강북구 번동 619-27,1,2017,지스포텍,문화관광체육과,2023-05-26
33,파도타기,서울 강북구 번동 619-27,1,2017,지스포텍,문화관광체육과,2023-05-26
34,허리돌리기+양팔줄당기기,서울 강북구 번동 619-27,1,2017,지스포텍,문화관광체육과,2023-05-26
35,등허리근육풀기,서울 강북구 번동 655-1,1,2018,한양그린파크,문화관광체육과,2023-05-26
36,매달려 허리돌리기+로프당기기,서울 강북구 번동 655-1,1,0,한양그린파크,문화관광체육과,2023-05-26
37,어깨풀기,서울 강북구 번동 655-1,1,0,한양그린파크,문화관광체육과,2023-05-26
38,역기 올리기+역기 내리기,서울 강북구 번동 655-1,1,2018,한양그린파크,문화관광체육과,2023-05-26
39,오금펴기,서울 강북구 번동 655-1,1,2018,한양그린파크,문화관광체육과,2023-05-26
40,자전거타기,서울 강북구 번동 655-1,1,0,한양그린파크,문화관광체육과,2023-05-26
41,파도타기,서울 강북구 번동 655-1,1,2014,한양그린파크,문화관광체육과,2023-05-26
42,거꾸리,서울 강북구 번동 655-3,1,2016,한양그린파크,문화관광체육과,2023-05-26
43,공중걷기,서울 강북구 번동 655-3,1,0,한양그린파크,문화관광체육과,2023-05-26
44,노젓기,서울 강북구 번동 655-3,1,2019,한양그린파크,문화관광체육과,2023-05-26
45,노젓기,서울 강북구 번동 655-3,1,2016,한양그린파크,문화관광체육과,2023-05-26
46,달리기운동,서울 강북구 번동 655-3,2,2014,한양그린파크,문화관광체육과,2023-05-26
47,등허리근육풀기,서울 강북구 번동 655-3,1,2018,한양그린파크,문화관광체육과,2023-05-26
48,등허리지압기,서울 강북구 번동 655-3,1,2018,한양그린파크,문화관광체육과,2023-05-26
49,로프당기기,서울 강북구 번동 655-3,1,2016,한양그린파크,문화관광체육과,2023-05-26
50,상체근육풀기,서울 강북구 번동 655-3,2,2016,한양그린파크,문화관광체육과,2023-05-26
51,어깨유연성 운동,서울 강북구 번동 655-3,1,2018,한양그린파크,문화관광체육과,2023-05-26
52,역기올리기+역기내리기,서울 강북구 번동 655-3,1,2019,한양그린파크,문화관광체육과,2023-05-26
53,윗몸일으키기,서울 강북구 번동 655-3,3,2018,경일산업,문화관광체육과,2023-05-26
54,자전거타기,서울 강북구 번동 655-3,1,0,오리코,문화관광체육과,2023-05-26
55,철봉,서울 강북구 번동 655-3,1,0,시그마스포츠산업,문화관광체육과,2023-05-26
56,파도타기,서울 강북구 번동 655-3,2,2016,한양그린파크,문화관광체육과,2023-05-26
57,파도타기,서울 강북구 번동 655-3,1,2014,한양그린파크,문화관광체육과,2023-05-26
58,평행봉,서울 강북구 번동 655-3,1,0,미상,문화관광체육과,2023-05-26
59,하체근육풀기,서울 강북구 번동 655-3,1,2018,한양그린파크,문화관광체육과,2023-05-26
60,허리돌리기,서울 강북구 번동 655-3,2,2019,한양그린파크,문화관광체육과,2023-05-26
61,싣업머신,서울 강북구 삼양로19길 154,1,0,미상,문화관광체육과,2023-05-26
62,씨티드레그머신,서울 강북구 삼양로19길 154,1,0,미상,문화관광체육과,2023-05-26
63,양어깨돌리기머신,서울 강북구 삼양로19길 154,1,0,미상,문화관광체육과,2023-05-26
64,에어서핑머신,서울 강북구 삼양로19길 154,1,0,미상,문화관광체육과,2023-05-26
65,에어워킹머신,서울 강북구 삼양로19길 154,1,0,미상,문화관광체육과,2023-05-26
66,큰활차돌리기,서울 강북구 삼양로19길 154,1,0,미상,문화관광체육과,2023-05-26
67,역기내리기,서울 강북구 수유동 391-249,1,0,미상,문화관광체육과,2023-05-26
68,역기내리기,서울 강북구 수유동 391-249,1,0,미상,문화관광체육과,2023-05-26
69,큰활차,서울 강북구 수유동 391-249,1,0,미상,문화관광체육과,2023-05-26
70,큰활차,서울 강북구 수유동 391-249,1,0,미상,문화관광체육과,2023-05-26
71,허리돌리기,서울 강북구 수유동 391-249,1,0,미상,문화관광체육과,2023-05-26
72,허리돌리기,서울 강북구 수유동 391-249,1,0,미상,문화관광체육과,2023-05-26
73,공중걷기,서울 강북구 수유동 521-5,1,2019,한국조경건설,문화관광체육과,2023-05-26
74,상체근육풀기,서울 강북구 수유동 521-5,1,2019,한국조경건설,문화관광체육과,2023-05-26
75,오금펴기,서울 강북구 수유동 521-5,1,2019,한국조경건설,문화관광체육과,2023-05-26
76,파도타기,서울 강북구 수유동 521-5,1,2019,한국조경건설,문화관광체육과,2023-05-26
77,허리돌리기,서울 강북구 수유동 521-5,1,2019,한국조경건설,문화관광체육과,2023-05-26
78,거꾸로매달리기,서울 강북구 수유동 553-63,1,2020,성원에스피,문화관광체육과,2023-05-26
79,윗몸일으키기,서울 강북구 수유동 553-63,1,2020,성원에스피,문화관광체육과,2023-05-26
80,큰활차+달리기,서울 강북구 수유동 553-63,1,2020,성원에스피,문화관광체육과,2023-05-26
81,하늘걷기+옆파도타기,서울 강북구 수유동 553-63,1,2020,성원에스피,문화관광체육과,2023-05-26
82,허리돌리기,서울 강북구 수유동 553-63,1,2020,성원에스피,문화관광체육과,2023-05-26
83,구름걷기,서울 강북구 수유동 647-2,1,2016,상우,문화관광체육과,2023-05-26
84,노젓기,서울 강북구 수유동 647-2,1,2016,상우,문화관광체육과,2023-05-26
85,다리펴기,서울 강북구 수유동 647-2,1,2016,상우,문화관광체육과,2023-05-26
86,등허리지압기,서울 강북구 수유동 647-2,1,2016,상우,문화관광체육과,2023-05-26
87,마라톤운동,서울 강북구 수유동 647-2,1,2016,상우,문화관광체육과,2023-05-26
88,상체근육풀기,서울 강북구 수유동 647-2,1,2014,한양그린파크,문화관광체육과,2023-05-26
89,양팔줄당기기,서울 강북구 수유동 647-2,1,2017,재운,문화관광체육과,2023-05-26
90,역기내리기,서울 강북구 수유동 647-2,2,2014,한양그린파크,문화관광체육과,2023-05-26
91,역기올리기,서울 강북구 수유동 647-2,1,2016,상우,문화관광체육과,2023-05-26
92,윗몸일으키기,서울 강북구 수유동 647-2,1,2016,상우,문화관광체육과,2023-05-26
93,작은활차머신,서울 강북구 수유동 647-2,1,2016,상우,문화관광체육과,2023-05-26
94,철봉,서울 강북구 수유동 647-2,1,0,미상,문화관광체육과,2023-05-26
95,큰활차머신,서울 강북구 수유동 647-2,1,2016,상우,문화관광체육과,2023-05-26
96,파도타기,서울 강북구 수유동 647-2,2,2016,상우,문화관광체육과,2023-05-26
97,허리돌리기,서울 강북구 수유동 647-2,1,2016,상우,문화관광체육과,2023-05-26
98,거꾸리,서울 강북구 수유동 647-4,2,2018,지스포텍,문화관광체육과,2023-05-26
99,공중걷기,서울 강북구 수유동 647-4,1,2014,한양그린파크,문화관광체육과,2023-05-26
100,공중걷기,서울 강북구 수유동 647-4,1,2019,상우,문화관광체육과,2023-05-26
101,노젓기,서울 강북구 수유동 647-4,1,2015,한양그린파크,문화관광체육과,2023-05-26
102,다리펴기,서울 강북구 수유동 647-4,1,2019,상우,문화관광체육과,2023-05-26
103,등허리지압기,서울 강북구 수유동 647-4,1,2018,한양그린파크,문화관광체육과,2023-05-26
104,마라톤운동,서울 강북구 수유동 647-4,1,2019,상우,문화관광체육과,2023-05-26
105,상체근육풀기+어깨근육풀기,서울 강북구 수유동 647-4,1,2017,지스포텍,문화관광체육과,2023-05-26
106,어깨풀기,서울 강북구 수유동 647-4,1,2017,지스포텍,문화관광체육과,2023-05-26
107,역기 내리기,서울 강북구 수유동 647-4,2,0,미상,문화관광체육과,2023-05-26
108,윗몸일으키기,서울 강북구 수유동 647-4,3,2019,상우스포츠,문화관광체육과,2023-05-26
109,철봉,서울 강북구 수유동 647-4,1,0,미상,문화관광체육과,2023-05-26
110,철봉,서울 강북구 수유동 647-4,1,0,미상,문화관광체육과,2023-05-26
111,파도타기,서울 강북구 수유동 647-4,1,0,미상,문화관광체육과,2023-05-26
112,평행봉,서울 강북구 수유동 647-4,2,0,미상,문화관광체육과,2023-05-26
113,하체근육풀기,서울 강북구 수유동 647-4,1,2018,한양그린파크,문화관광체육과,2023-05-26
114,허리돌리기,서울 강북구 수유동 647-4,1,0,미상,문화관광체육과,2023-05-26
115,허리돌리기,서울 강북구 수유동 647-4,1,0,한양그린파크,문화관광체육과,2023-05-26
116,가슴펴기,서울 강북구 수유동 산127-1,1,0,미상,문화관광체육과,2023-05-26
117,거꾸로매달리기,서울 강북구 수유동 산127-1,3,0,미상,문화관광체육과,2023-05-26
118,공중걷기,서울 강북구 수유동 산127-1,4,0,미상,문화관광체육과,2023-05-26
119,공중걷기+노젓기,서울 강북구 수유동 산127-1,1,0,미상,문화관광체육과,2023-05-26
120,노젓기,서울 강북구 수유동 산127-1,1,0,미상,문화관광체육과,2023-05-26
121,달리기운동,서울 강북구 수유동 산127-1,2,0,미상,문화관광체육과,2023-05-26
122,마라톤달리기+앉아다리밀기,서울 강북구 수유동 산127-1,1,0,미상,문화관광체육과,2023-05-26
123,마라톤운동,서울 강북구 수유동 산127-1,1,0,미상,문화관광체육과,2023-05-26
124,상체올리기+오금펴기,서울 강북구 수유동 산127-1,1,0,미상,문화관광체육과,2023-05-26
125,어깨돌리기,서울 강북구 수유동 산127-1,3,0,미상,문화관광체육과,2023-05-26
126,역기,서울 강북구 수유동 산127-1,17,0,미상,문화관광체육과,2023-05-26
127,오금펴기,서울 강북구 수유동 산127-1,13,0,미상,문화관광체육과,2023-05-26
128,윗몸일으키기,서울 강북구 수유동 산127-1,20,0,미상,문화관광체육과,2023-05-26
129,철봉,서울 강북구 수유동 산127-1,14,0,미상,문화관광체육과,2023-05-26
130,파도타기,서울 강북구 수유동 산127-1,4,0,미상,문화관광체육과,2023-05-26
131,팔굽혀펴기,서울 강북구 수유동 산127-1,15,0,미상,문화관광체육과,2023-05-26
132,평행봉,서울 강북구 수유동 산127-1,9,0,미상,문화관광체육과,2023-05-26
133,허리굽히기,서울 강북구 수유동 산127-1,2,0,미상,문화관광체육과,2023-05-26
134,허리돌리기,서울 강북구 수유동 산127-1,33,0,미상,문화관광체육과,2023-05-26
135,역기,서울 강북구 수유동 산17-1,9,0,미상,문화관광체육과,2023-05-26
136,오금펴기,서울 강북구 수유동 산17-1,1,0,미상,문화관광체육과,2023-05-26
137,윗몸일으키기,서울 강북구 수유동 산17-1,10,0,미상,문화관광체육과,2023-05-26
138,철봉,서울 강북구 수유동 산17-1,10,0,미상,문화관광체육과,2023-05-26
139,팔굽혀펴기,서울 강북구 수유동 산17-1,3,0,미상,문화관광체육과,2023-05-26
140,평행봉,서울 강북구 수유동 산17-1,3,0,미상,문화관광체육과,2023-05-26
141,허리돌리기,서울 강북구 수유동 산17-1,12,0,미상,문화관광체육과,2023-05-26
142,로프당기기,서울 강북구 인수봉로68길 15,1,0,미상,문화관광체육과,2023-05-26
143,상체근육풀기,서울 강북구 인수봉로68길 15,1,0,미상,문화관광체육과,2023-05-26
144,파도타기,서울 강북구 인수봉로68길 15,1,0,미상,문화관광체육과,2023-05-26
145,허리돌리기,서울 강북구 인수봉로68길 15,1,0,미상,문화관광체육과,2023-05-26
146,마사지롤,서울 강북구 미아동 128-8,1,2018,그린나래,공원녹지과,2023-05-26
147,사이드윙,서울 강북구 미아동 128-8,1,2018,그린나래,공원녹지과,2023-05-26
148,스카이워킹,서울 강북구 미아동 128-8,1,2018,그린나래,공원녹지과,2023-05-26
149,터닝암,서울 강북구 미아동 128-8,1,2018,그린나래,공원녹지과,2023-05-26
150,트위스트,서울 강북구 미아동 128-8,1,2018,그린나래,공원녹지과,2023-05-26
151,양팔줄당기기,서울 강북구 미아동 162-1(세일어린이공원),1,2017,오리온햄프로,공원녹지과,2023-05-26
152,입식헬스싸이클,서울 강북구 미아동 162-1(세일어린이공원),1,2017,오리온햄프로,공원녹지과,2023-05-26
153,허리돌리기,서울 강북구 미아동 162-1(세일어린이공원),1,2017,오리온햄프로,공원녹지과,2023-05-26
154,바디싣업,서울 강북구 미아동 165-3(운산어린이공원),1,2017,그린나래,공원녹지과,2023-05-26
155,사으디스윙+터닝암,서울 강북구 미아동 165-3(운산어린이공원),1,2017,그린나래,공원녹지과,2023-05-26
156,파워싸이클,서울 강북구 미아동 165-3(운산어린이공원),1,2017,그린나래,공원녹지과,2023-05-26
157,터닝암,서울 강북구 미아동 329-11(솔샘어린이공원),1,2018,그린나래,공원녹지과,2023-05-26
158,거꾸로매달리기,서울 강북구 미아동 748-2(삼양마을마당),1,2019,금보인터내셔널,공원녹지과,2023-05-26
159,철봉,서울 강북구 미아동 748-2(삼양마을마당),1,2019,백운산업,공원녹지과,2023-05-26
160,노젓기,서울 강북구 미아동 791-1776(하늘어린이공원),1,2018,그린나래,공원녹지과,2023-05-26
161,레그프레스,서울 강북구 미아동 791-1776(하늘어린이공원),1,2018,그린나래,공원녹지과,2023-05-26
162,마사지롤,서울 강북구 미아동 791-1776(하늘어린이공원),1,2018,그린나래,공원녹지과,2023-05-26
163,바디싣업,서울 강북구 미아동 791-1776(하늘어린이공원),1,2018,그린나래,공원녹지과,2023-05-26
164,스탠드업,서울 강북구 미아동 791-1776(하늘어린이공원),1,2018,그린나래,공원녹지과,2023-05-26
165,양팔줄당기기,서울 강북구 미아동 791-1776(하늘어린이공원),1,2018,그린나래,공원녹지과,2023-05-26
166,턴오버스트레칭,서울 강북구 미아동 791-1776(하늘어린이공원),1,2018,그린나래,공원녹지과,2023-05-26
167,워밍암,서울 강북구 미아동 산108-94(북한산도시자연공원),1,2019,디자인파크개발,공원녹지과,2023-05-26
168,양팔로프당기기,서울 강북구 미아동 산108-94번지 일대(북한산도시자연공원),1,2016,오리온햄프로,공원녹지과,2023-05-26
