연번,구분,공원명,주소,공중걷기,파도타기,허리돌리기,상체근육풀기,달리기 ,역기올리기,레그프레스,어깨근육풀기,윗몸일으키기,역기내리기,등허리지압기,노젓기,입식싸이클,거꾸로매달리기,하체근육풀기,양팔줄당기기,철봉,평행봉,좌식싸이클,기타 유형,합계,데이터기준일자
1,도시자연공원,감로천생태공원,독산4동 373일대,1,1,2,2,,,3,,1,,,,,1,,,1,1,,,13,2022-10-13
2,도시자연공원,산기슭공원,시흥4동 산138-3,2,1,5,2,1,1,2,,1,,2,,,1,1,3,,1,,상체운동(2),25,2022-10-13
3,도시자연공원,금천체육공원,독산4동 산118-4,2,1,6,,1,2,8,2,4,2,,,,2,,2,1,2,,"역기(1), 종합운동기구(1)",37,2022-10-13
4,도시자연공원,삼성산 시민휴식공원,시흥5동 산116일대,3,2,2,1,,2,1,2,1,,1,,,1,,1,2,1,1,,21,2022-10-13
5,도시자연공원,삼성2터널상부공원,,,1,2,,,1,1,,1,1,2,,,1,,,,,,,10,2022-10-13
6,근린공원,독 산,독산1동 1086,1,1,2,1,,1,1,,1,,2,1,,,,,,,,,11,2022-10-13
7,근린공원,금천폭포,시흥3동 937-2,1,,1,,1,,,,,,,,,,,1,,,,,4,2022-10-13
8,문화공원,금나래중앙,독산1동 1151,1,1,1,,,1,,1,,,,,,,,,,,1,,6,2022-10-13
9,소공원,박미사랑,시흥동 963-1,1,1,1,,1,,,,,1,,,,1,,,,,1,,7,2022-10-13
10,어린이공원,조마,가산동 148-11,1,1,1,1,,1,,,,,1,,,,,,,,1,,7,2022-10-13
11,어린이공원,무아래,가산동 234-29,,,1,,1,1,,1,,,,,,,,,,,,,4,2022-10-13
12,어린이공원,골말,가산동 28-2,1,1,1,1,1,1,,,1,,,,,1,,,1,,,,9,2022-10-13
13,어린이공원,참새,독산1동 1088-2,1,,,,,1,1,,,1,,,,,,,,,3,,7,2022-10-13
14,어린이공원,파랑새,독산1동 1095-1,,1,1,,,1,,1,,,1,,,,,,,,,,5,2022-10-13
15,어린이공원,철쭉,독산1동 1112,1,,1,1,1,1,,,,,,,,,,,,,3,,8,2022-10-13
16,어린이공원,두산,독산1동 298-1,,,1,,1,1,,1,,,,,,,,,,,,,4,2022-10-13
17,어린이공원,푸른골,독산2동 1038-9,1,1,1,,,1,,1,,,1,,,,,,,,,,6,2022-10-13
18,어린이공원,꿈나무,독사2동 378-434,1,,1,1,1,1,,,,,,,,,,,,,,,5,2022-10-13
19,어린이공원,무지개,독산2동 1063-14,1,,1,1,1,1,,,,,,,,,,,,1,,역기(1),7,2022-10-13
20,어린이공원,옥 계,독산2동 1067-9,1,,2,,1,,,,,,,,,,,,1,,,,5,2022-10-13
21,어린이공원,무궁화,독산2동 378-291,1,,1,,1,,,,,,,,,,,1,,,,,4,2022-10-13
22,어린이공원,목화,독산3동 883-9,1,,1,,,,,1,1,,1,,,,,1,,,,,6,2022-10-13
23,어린이공원,동산,독산3동 993-29,,1,1,1,,,,,,,,,,,,,,,,,3,2022-10-13
24,어린이공원,남문,독산3동 160-6,,,1,,,,,1,,,,,,,,,,,,,2,2022-10-13
25,어린이공원,구룡,독산3동 964,1,1,1,1,,,,,1,,1,,,,,,,,,,6,2022-10-13
26,어린이공원,반수,독산3동 980-44,1,1,1,1,,1,,,,,1,,,1,,,,,,,7,2022-10-13
27,어린이공원,한사랑,독산4동 925-2,1,1,1,1,1,,,,,,,,,1,,,,,,,6,2022-10-13
28,어린이공원,쌈지,독산4동 189-1,1,,1,1,1,,,,,,,,,,,,,,1,,5,2022-10-13
29,어린이공원,소망,독산4동 196-8,1,1,1,,,,,1,,,,,,,,,,,,,4,2022-10-13
30,어린이공원,남서울,시흥1동 986-2,,,,,,,1,1,1,,1,,,,,,,,,,4,2022-10-13
31,어린이공원,새재미,시흥1동 855,1,,1,1,1,1,,1,1,,,,,1,,1,,,,,9,2022-10-13
32,어린이공원,해태,시흥1동 871-24,1,1,1,1,,,,,,,1,,,,,,,,,,5,2022-10-13
33,어린이공원,중 앙,시흥1 791,,,,,,,1,,,,1,,,,1,,,,,,3,2022-10-13
34,어린이공원,풍 림,시흥1 789,,,,1,1,,1,,,,2,,,,1,,,,,,6,2022-10-13
35,어린이공원,꾸러기,시흥3동 943-16,,,1,1,,,,,,,,,,,,1,,,,,3,2022-10-13
36,어린이공원,비둘기,시흥3동 947-4,1,1,1,1,1,1,,,,,1,,,,,,,,,,7,2022-10-13
37,어린이공원,까 치,시흥3동 959-2,1,1,1,,,,,,,,1,,,1,,1,,,,,6,2022-10-13
38,어린이공원,진달래,시흥3동 970-3,1,1,1,1,,,,,,1,,,2,1,,,,,2,,10,2022-10-13
39,어린이공원,단군,시흥4동 169-21,1,,1,,1,,,1,,,,,,,,,,,,,4,2022-10-13
40,어린이공원,효봉,시흥4동 4-28,1,1,1,,,,,1,,,,,,1,,,,,,,5,2022-10-13
41,어린이공원,송록,시흥4동 791-35,1,,,1,,,,,,,,,,,,,,,,,2,2022-10-13
42,어린이공원,느티나무,시흥4동 817,,1,,,,,1,,,,,,,,,,,,,,2,2022-10-13
43,어린이공원,산장,시흥4동 3-17,,1,,1,1,1,1,,,,,,,,,,,,,,5,2022-10-13
44,어린이공원,별장길,시흥5동 925-32,,,1,1,1,,1,,,,,,,,,1,,,2,,7,2022-10-13
45,기타공원,말뫼마을마당,독산1동 1006-41 ,1,1,1,,,,1,1,1,,,,,1,,,,,,,7,2022-10-13
46,기타공원,모아래마을마당,가산동 237-68,1,1,,,1,,,1,1,,,,,,,,,,,,5,2022-10-13
47,기타공원,독산동마을공원,독산2동 1056-5,1,1,1,1,,,2,,,1,,,3,,,1,1,1,,,13,2022-10-13
48,기타공원,댓골마당,시흥4동 산126-28,1,,1,1,,1,,1,1,,,,,1,,1,,,,,8,2022-10-13
49,기타공원,독산3동다목적,독산3동 971-7,,1,1,1,,1,,,1,,,,,,,,,1,,,6,2022-10-13
50,기타공원,삼성체육공원 ,시흥4동 171-1,1,1,1,1,1,1,,,,,,,,,,,,,,,6,2022-10-13
51,기타공원,금빛공원,시흥1동 893일대,1,1,1,,1,1,,1,,,,,,,,,,,,,6,2022-10-13
52,기타공원,공용의청사공원,시흥2동 1013-5,1,,1,,,,,,,,,,,,,,,,,,2,2022-10-13
53,산림,독산3동,"상록배드민턴장 옆(산139-3, 시유지)",1,1,2,1,,1,,,1,,,,,1,1,,,,,,9,2022-10-13
54,산림,독산3동,"만수천약수터 옆(산8, 시유지)",1,1,1,1,,1,2,,1,,,,,,,1,,,,팔굽혀펴기(2),11,2022-10-13
55,산림,독산3동,"만수천공원 능선부 끝지점(산8, 시유지)",,1,1,,,,,,1,,,,,,,,,,,,3,2022-10-13
56,산림,독산3동,"만수천공원 능선부 중간지점(산8, 시유지)",1,,1,,,,,,1,,,,,,,,,,,,3,2022-10-13
57,산림,독산3동,"독산자연공원 정상(182-44, 시유지)",,1,2,,1,,,,,,,1,,,,,,1,,,6,2022-10-13
58,산림,독산3동,"독산자연공원 입구(89-7, 시유지)",1,,1,1,,1,,,1,,1,,,,,,,,,,6,2022-10-13
59,산림,독산3동,"독산자연공원 능선부(89-2, 시유지)",,,,,,1,,,1,,,,,,,,1,1,,,4,2022-10-13
60,산림,독산3동,"독산테니스장 앞(89-7, 시유지)",,1,,1,1,,,,1,,,1,,,,,,1,,,6,2022-10-13
61,산림,독산4동,"산울림다리 앞(산118-4, 시유지)",1,,1,,1,,2,,1,,,,,,,,,1,,,7,2022-10-13
62,산림,독산4동,"아카시아배드민턴장(산202, 시유지)",,,,,,,,1,,,,1,,,,,,,,,2,2022-10-13
63,산림,시흥2동,"잣나무산림욕장(산93-1, 시유지)",1,1,4,,,1,,,2,,,,,,,,,1,,,10,2022-10-13
64,산림,시흥2동,"궁도장 옆(산100-48, 국유지[산림청])",1,,2,1,,1,2,,1,,,,,1,,1,1,,,"옆파도타기(1), 역기(1), 팔굽혀펴기(1)",14,2022-10-13
65,산림,시흥2동,"호암체력장(산93-1, 시유지)",2,1,2,1,2,1,2,,3,,,,,1,,,2,1,,역기(6),24,2022-10-13
66,산림,시흥2동,"늘솔길 장애인주차장 위(산95, 사유지)",1,,1,1,,1,,,1,,,,,,,,1,,,팔굽혀펴기(1),7,2022-10-13
67,산림,시흥2동,"삼각공원(1010-12, 시유지)",1,,2,,,1,2,1,1,,3,,,,,1,,,,,12,2022-10-13
68,산림,시흥3동,"박미배드민턴장(산6-7, 사유지)",1,1,3,1,,1,2,,1,,,,,1,,,1,1,,,13,2022-10-13
69,산림,시흥3동,"불로천약수터(산6-7, 사유지)",1,,1,,,1,1,,1,,,,,,,,1,1,,팔굽혀펴기(1),8,2022-10-13
70,산림,시흥3동,"약청수약수터(산15, 사유지)",2,,3,,,,1,,1,,,,,,,,1,,,팔굽혀펴기(1),9,2022-10-13
71,산림,시흥3동,"남서울약수터(산5, 사유지) ",,,2,1,,1,2,,1,,4,,,,,,1,,,팔굽혀펴기(1),13,2022-10-13
72,산림,시흥3동,"새길어린이집 뒤(957-11, 국유지[국토부])",,,1,1,1,,,,,,,,,,,,,,,,3,2022-10-13
73,산림,시흥4동,"삼익체련장(산132-3, 국유지[산림청])",1,,2,1,,1,4,,2,,,,,1,,1,1,1,,"팔굽혀펴기(1), 역기(1)",17,2022-10-13
74,산림,시흥4동,"시호천약수터(산137, 국유지[산림청])",,,1,,,,3,,1,,,,,,,,2,,,,7,2022-10-13
75,산림,시흥4동,"시호천약수터 위(산 137, 국유지[산림청])",,,2,,,,1,,1,,,,,,,,1,1,,,6,2022-10-13
76,산림,시흥4동,"천불사 옆(산130-1, 국유지[산림청])",1,1,1,,,,,,1,,,,,,,,,,,,4,2022-10-13
77,산림,시흥4동,"유호배드민턴장 위(산132-3, 사유지)",,,2,,,,2,,2,,,,,,,,1,,,,7,2022-10-13
78,산림,시흥4동,"순홍약수터(산126-1, 사유지)",1,,2,,,,2,,1,,,,,,,1,,1,,팔굽혀펴기(1),9,2022-10-13
79,산림,시흥4동,"삼정배드민턴장(산118, 사유지)",1,1,3,1,,1,,,1,,1,,,,,,,,,,9,2022-10-13
80,산림,시흥4동,"구현대아파트 뒤(산118, 사유지)",,,2,,,,2,,1,,3,,,,,,,,,,8,2022-10-13
81,산림,시흥5동,"방수설비잔디광장(412-5, 구유지)",3,1,2,1,1,,2,,,,,,1,1,,,,,,"파도타기+상체근육풀기(2), 레그프레스+역기올리기(1)",15,2022-10-13
82,산림,시흥5동,"홍산배드민턴장(산73-1, 사유지)",1,1,2,,1,1,,,,,,,,1,,,,,,,7,2022-10-13
83,산림,시흥5동,"야호배드민턴장(산73-1, 사유지)",,1,1,,,1,,,,,,,,,,,,1,,,4,2022-10-13
84,산림,시흥5동,"산정배드민턴장(산73-7, 사유지)",2,1,1,,1,1,,,1,,,,,,,,1,,,,8,2022-10-13
85,산림,시흥5동,"호암1터널 상부(산73-5, 사유지)",1,1,2,1,,1,2,,2,,,,,,,,2,1,,팔굽혀펴기(1),14,2022-10-13
86,산림,시흥5동,"옹달샘약수터(산83-39, 사유지)",1,2,1,1,,,1,,1,1,,,,,,,,,,,8,2022-10-13
87,산림,시흥5동,"녹지42초소(산73-1, 사유지)",1,1,4,1,1,1,1,,2,,2,,,1,1,,2,2,,팔굽혀펴기(1),21,2022-10-13
88,산림,시흥5동,"삼성배드민턴장(산76, 사유지)",,,3,,,,3,,2,,,,,1,,,1,1,,역기(1),12,2022-10-13
89,산림,시흥5동,"우정약수터(산83-1, 사유지)",1,1,1,1,,,2,,3,1,,,,1,,,2,,,팔굽혀펴기(1),14,2022-10-13
90,산림,시흥5동,"탑골생태공원 옆(산112-13, 시유지)",1,1,1,1,,,1,,,1,,,,,,,,,,,6,2022-10-13
