연번,하천명,구분,위치,기구명,설치연도,관리부서,기준일시
1,당현천,좌안,상계역 하부 교각P-10,윗몸일으키기,2017,치수과,2022-08-24
2,당현천,좌안,상계역 하부 교각P-10,트윈트위스트,2015,치수과,2022-08-24
3,당현천,좌안,상계역 하부 교각P-10,역기내리기,2020,치수과,2022-08-24
4,당현천,좌안,상계역 하부 교각P-10,달리기운동,2020,치수과,2022-08-24
5,당현천,좌안,상계역 하부 교각P-10,공중걷기,2020,치수과,2022-08-24
6,당현천,좌안,상계역 하부 교각P-10,벤치프레스,2020,치수과,2022-08-24
7,당현천,좌안,당현2교 하부,역기내리기,2020,치수과,2022-08-24
8,당현천,좌안,당현2교 하부,좌우 파도타기,2012,치수과,2022-08-24
9,당현천,좌안,당현2교 하부,달리기운동,2012,치수과,2022-08-24
10,당현천,좌안,당현2교 하부,크로스컨트리,2016,치수과,2022-08-24
11,당현천,좌안,당현2교 하부,트윈트위스트,2015,치수과,2022-08-24
12,당현천,좌안,당현3교 하부,좌우 파도타기,2020,치수과,2022-08-24
13,당현천,좌안,당현3교 하부,공중걷기,2020,치수과,2022-08-24
14,당현천,우안,상계역 하부 교각P1-1,허리돌리기,2020,치수과,2022-08-24
15,당현천,우안,상계역 하부 교각P1-1,역기내리기,2020,치수과,2022-08-24
16,당현천,우안,상계역 하부 교각P1-1,달리기운동,2020,치수과,2022-08-24
17,당현천,우안,상계역 하부 교각P1-1,공중걷기,2020,치수과,2022-08-24
18,당현천,우안,상계역 하부 교각P1-1,롤링웨이스트,2015,치수과,2022-08-24
19,당현천,우안,당현1교 하부,크로스컨트리,2016,치수과,2022-08-24
20,당현천,우안,당현1교 하부,역기내리기,2020,치수과,2022-08-24
21,당현천,우안,당현1교 하부,트윈트위스트,2016,치수과,2022-08-24
22,당현천,우안,당현1교 하부,좌우 파도타기,2020,치수과,2022-08-24
23,당현천,우안,당현1교 하부,달리기운동,2020,치수과,2022-08-24
24,당현천,우안,당현2교 하부,체어웨이트,2016,치수과,2022-08-24
25,당현천,우안,당현2교 하부,롤링웨이스트,2016,치수과,2022-08-24
26,당현천,우안,당현2교 하부,공중걷기,2020,치수과,2022-08-24
27,당현천,우안,당현2교 하부,트윈트위스트,2016,치수과,2022-08-24
28,당현천,우안,당현2교 하부,워밍암,2016,치수과,2022-08-24
29,당현천,우안,당현2교 하부,허벅지근육풀기,2020,치수과,2022-08-24
30,당현천,우안,성서대학 교회,허리돌리기,2020,치수과,2022-08-24
31,당현천,우안,성서대학 교회,공중걷기,2020,치수과,2022-08-24
32,당현천,우안,청소년수련관,좌우 파도타기,2020,치수과,2022-08-24
33,당현천,우안,청소년수련관,공중걷기,2020,치수과,2022-08-24
34,당현천,우안,청소년수련관,허리돌리기,2020,치수과,2022-08-24
35,당현천,우안,당현4교 하부,허리돌리기,2020,치수과,2022-08-24
36,당현천,우안,당현4교 하부,공중걷기,2020,치수과,2022-08-24
37,당현천,우안,당현4교 하부,좌우 파도타기,2020,치수과,2022-08-24
38,우이천,좌안,초안교 진입경사로 앞,등허리지압,2019,치수과,2022-08-24
39,우이천,좌안,초안교 진입경사로 앞,온몸근육풀기,2019,치수과,2022-08-24
40,우이천,좌안,초안교 진입경사로 앞,양팔줄당기기,2019,치수과,2022-08-24
41,우이천,좌안,초안교 진입경사로 앞,레그프레스(오금펴기),2019,치수과,2022-08-24
42,우이천,좌안,초안아파트 204동 앞,공중걷기,2019,치수과,2022-08-24
43,우이천,좌안,초안아파트 204동 앞,하체흔들기,2019,치수과,2022-08-24
44,우이천,좌안,초안아파트 204동 앞,체스트프레스+하이풀리,2019,치수과,2022-08-24
45,우이천,좌안,초안아파트 204동 앞,다리근육풀기,2019,치수과,2022-08-24
46,우이천,좌안,초안아파트 204동 앞,매달리기,2019,치수과,2022-08-24
47,우이천,좌안,유원아파트 101동앞,허리돌리기,2014,치수과,2022-08-24
48,우이천,좌안,유원아파트 101동앞,옆파도타기,2014,치수과,2022-08-24
49,우이천,좌안,유원아파트 101동앞,체어플,2014,치수과,2022-08-24
50,우이천,좌안,유원아파트 101동앞,크로스컨트리,2014,치수과,2022-08-24
51,우이천,좌안,벌리교 진입경사로 부근,철봉,2014,치수과,2022-08-24
52,우이천,좌안,벌리교 진입경사로 부근,오버턴스트레칭,2014,치수과,2022-08-24
53,우이천,좌안,벌리교 진입경사로 부근,워밍암,2014,치수과,2022-08-24
54,우이천,좌안,벌리교 진입경사로 부근,체어웨이트,2014,치수과,2022-08-24
55,우이천,좌안,벌리교 진입경사로 부근,스텝싸이클,2014,치수과,2022-08-24
56,우이천,좌안,벌리교 진입경사로 부근,파도타기,2014,치수과,2022-08-24
57,우이천,좌안,벌리교 진입경사로 부근,바웨이트,2014,치수과,2022-08-24
58,우이천,좌안,벌리교 진입경사로 부근,체어플,2014,치수과,2022-08-24
59,우이천,좌안,신창중 앞(롯데캐슬121동 앞),평행봉,2014,치수과,2022-08-24
60,우이천,좌안,신창중 앞(롯데캐슬121동 앞),다리밀기,2020,치수과,2022-08-24
61,우이천,좌안,신창중 앞(롯데캐슬121동 앞),큰활차,2020,치수과,2022-08-24
62,우이천,좌안,신창중 앞(롯데캐슬121동 앞),공중걷기,2020,치수과,2022-08-24
63,우이천,좌안,신창중 앞(롯데캐슬121동 앞),옆파도타기,2020,치수과,2022-08-24
64,우이천,좌안,신창중 앞(롯데캐슬121동 앞),등당기기,2020,치수과,2022-08-24
65,우이천,좌안,롯데캐슬 118동 앞,가슴밀기,2020,치수과,2022-08-24
66,우이천,좌안,롯데캐슬 118동 앞,온몸허리돌리기,2020,치수과,2022-08-24
67,우이천,좌안,롯데캐슬 118동 앞,공중걷기,2020,치수과,2022-08-24
68,우이천,좌안,롯데캐슬 118동 앞,옆파도타기,2020,치수과,2022-08-24
69,우이천,좌안,롯데캐슬 118동 앞,양팔줄당기기,2020,치수과,2022-08-24
70,우이천,좌안,롯데캐슬 113동 앞,앉아서 다리밀기,2020,치수과,2022-08-24
71,우이천,좌안,롯데캐슬 113동 앞,큰활차,2020,치수과,2022-08-24
72,우이천,좌안,롯데캐슬 113동 앞,하늘걷기,2020,치수과,2022-08-24
73,우이천,좌안,롯데캐슬 113동 앞,옆파도타기,2020,치수과,2022-08-24
74,우이천,좌안,롯데캐슬 113동 앞,등당기기,2020,치수과,2022-08-24
75,우이천,좌안,롯데캐슬 111동 앞,가슴밀기,2020,치수과,2022-08-24
76,우이천,좌안,롯데캐슬 111동 앞,온몸허리돌리기,2020,치수과,2022-08-24
77,우이천,좌안,롯데캐슬 111동 앞,공중걷기,2020,치수과,2022-08-24
78,우이천,좌안,롯데캐슬 111동 앞,옆파도타기,2020,치수과,2022-08-24
79,우이천,좌안,롯데캐슬 111동 앞,자전거,2020,치수과,2022-08-24
80,우이천,좌안,롯데캐슬 111동 앞,거꾸로매달리기,2020,치수과,2022-08-24
81,우이천,좌안,월계2교 하류 150m,큰활차머신,2020,치수과,2022-08-24
82,우이천,좌안,월계2교 하류 150m,레그프레스머신,2020,치수과,2022-08-24
83,우이천,좌안,월계2교 하류 150m,로윙라이더머신,2020,치수과,2022-08-24
84,우이천,좌안,월계2교 하류 150m,트위스트,2020,치수과,2022-08-24
85,우이천,좌안,월계2교 하류 150m,벤치프레스,2020,치수과,2022-08-24
86,우이천,좌안,월계2교 하류 300m ,파도타기,2018,치수과,2022-08-24
87,우이천,좌안,월계2교 하류 300m ,달리기운동,2018,치수과,2022-08-24
88,우이천,좌안,월계2교 하류 300m ,역기올리기,2018,치수과,2022-08-24
89,우이천,좌안,월계2교 하류 300m ,공중걷기,2018,치수과,2022-08-24
90,우이천,좌안,벼루말교 하부,거꾸로매달리기,2017,치수과,2022-08-24
91,우이천,좌안,벼루말교 하부,공중걷기,2018,치수과,2022-08-24
92,우이천,좌안,벼루말교 하부,파도타기,2018,치수과,2022-08-24
93,우이천,좌안,벼루말교 하부,오버헤드폴리머신,2020,치수과,2022-08-24
94,우이천,좌안,벼루말교 하부,싸이클론머신,2020,치수과,2022-08-24
95,우이천,좌안,벼루말교 하부,벤치프레스,2020,치수과,2022-08-24
96,우이천,좌안,광운공고 앞 진입계단 부근,트위스트머신,2020,치수과,2022-08-24
97,우이천,좌안,광운공고 앞 진입계단 부근,써핑롤링머신,2020,치수과,2022-08-24
98,우이천,좌안,광운공고 앞 진입계단 부근,달리기운동,2018,치수과,2022-08-24
99,우이천,좌안,광운공고 앞 진입계단 부근,체스트업머신,2020,치수과,2022-08-24
100,우이천,좌안,장월교 부근,스윙워커머신,2020,치수과,2022-08-24
101,우이천,좌안,장월교 부근,로윙라이더머신,2020,치수과,2022-08-24
102,우이천,좌안,장월교 부근,큰활차머신,2020,치수과,2022-08-24
103,우이천,좌안,장월교 부근,레그플레스머신,2020,치수과,2022-08-24
104,묵동천,우안,묵동천 합류부,자전거,2021,치수과,2022-08-24
105,묵동천,우안,묵동천 합류부,파도타기,2021,치수과,2022-08-24
106,묵동천,우안,묵동천 합류부,매달려회전하기,2021,치수과,2022-08-24
107,묵동천,우안,묵동천 합류부,허리돌리기,2021,치수과,2022-08-24
108,묵동천,우안,묵동천 합류부,큰활차,2021,치수과,2022-08-24
109,묵동천,우안,묵동천 합류부,양팔줄당기기,2021,치수과,2022-08-24
110,묵동천,우안,묵동천 합류부,자유철봉,2021,치수과,2022-08-24
111,묵동천,우안,묵동교 하부,작은활차,2021,치수과,2022-08-24
112,묵동천,우안,묵동교 하부,등당기기,2021,치수과,2022-08-24
113,묵동천,우안,묵동교 하부,가슴밀기,2021,치수과,2022-08-24
114,묵동천,우안,묵동교 하부,윗몸일으키기,2021,치수과,2022-08-24
115,묵동천,우안,묵동교 하부,달리기,2021,치수과,2022-08-24
116,묵동천,우안,묵동교 하부,공중걷기,2021,치수과,2022-08-24
117,묵동천,우안,묵동교 하부,스쿼트,2021,치수과,2022-08-24
118,묵동천,우안,묵동교 하부,허리돌리기,2021,치수과,2022-08-24
119,묵동천,우안,묵동교 하부,앉아서다리밀기,2021,치수과,2022-08-24
120,묵동천,우안,묵동교 하부,등허리지압기,2021,치수과,2022-08-24
121,묵동천,우안,묵동교 하부,거꾸리,2021,치수과,2022-08-24
122,묵동천,우안,구묵동교,윗몸일으키기,2021,치수과,2022-08-24
123,묵동천,우안,구묵동교,허벅지근육풀기,2021,치수과,2022-08-24
124,묵동천,우안,구묵동교,다리뻗치기,2021,치수과,2022-08-24
125,묵동천,우안,구묵동교,역기올리기,2021,치수과,2022-08-24
126,묵동천,우안,구묵동교,등허리 지압기,2021,치수과,2022-08-24
127,묵동천,우안,구묵동교,자전거운동,2021,치수과,2022-08-24
128,묵동천,우안,구묵동교,공중걷기,2021,치수과,2022-08-24
129,묵동천,우안,구묵동교,좌우파도타기,2021,치수과,2022-08-24
130,묵동천,우안,묵동교회앞,역기내리기,2021,치수과,2022-08-24
131,묵동천,우안,묵동교회앞,공중걷기,2021,치수과,2022-08-24
132,묵동천,우안,묵동교회앞,자유철봉,2021,치수과,2022-08-24
133,묵동천,우안,묵동교회앞,좌우파도타기,2021,치수과,2022-08-24
134,묵동천,우안,묵동교회앞,두팔노젓기,2021,치수과,2022-08-24
135,묵동천,우안,묵동교회앞,자유평행봉,2021,치수과,2022-08-24
136,묵동천,우안,묵동교회앞,양팔줄당기기,2021,치수과,2022-08-24
137,묵동천,우안,묵동교회앞,달리기운동,2021,치수과,2022-08-24
138,묵동천,우안,묵동교회앞,근력강화머신,2021,치수과,2022-08-24
139,묵동천,우안,묵동교회앞,큰활차머신,2021,치수과,2022-08-24
140,묵동천,우안,묵동교회앞,허리돌리기,2021,치수과,2022-08-24
141,묵동천,우안,묵동교회앞,거꾸리,2021,치수과,2022-08-24
142,중랑천,우안,월릉교 하부,크로스컨트리,2018,치수과,2022-08-24
143,중랑천,우안,월릉교 하부,롤링웨이스트,2018,치수과,2022-08-24
144,중랑천,우안,월릉교 하부,노젓기(우),2020,치수과,2022-08-24
145,중랑천,우안,월릉교 하부,큰활차(우),2020,치수과,2022-08-24
146,중랑천,우안,월릉교 하부,허리돌리기(우),2020,치수과,2022-08-24
147,중랑천,우안,월릉교 하부,다리뻗치기(우),2020,치수과,2022-08-24
148,중랑천,우안,월릉교 하부,역기올리기+내리기(우),2020,치수과,2022-08-24
149,중랑천,우안,한천교 진입육교 부근,달리기운동(우),2020,치수과,2022-08-24
150,중랑천,우안,한천교 진입육교 부근,다리뻗치기(우),2020,치수과,2022-08-24
151,중랑천,우안,한천교 진입육교 부근,양팔줄당기기(우),2020,치수과,2022-08-24
152,중랑천,우안,한천교 진입육교 부근,허리돌리기(우),2020,치수과,2022-08-24
153,중랑천,우안,한천교 진입육교 부근,역기올리기+역기내리기,2020,치수과,2022-08-24
154,중랑천,우안,한천교 진입육교 부근,노젓기,2020,치수과,2022-08-24
155,중랑천,우안,한천교 진입육교 부근,등허리지압기,2020,치수과,2022-08-24
156,중랑천,우안,한천교 진입육교 부근,철봉,2020,치수과,2022-08-24
157,중랑천,우안,한천교 진입육교 부근,윗몸일으키기,2020,치수과,2022-08-24
158,중랑천,우안,한천교 야외체조교실 단상 부근,큰활차(우),2020,치수과,2022-08-24
159,중랑천,우안,한천교 야외체조교실 단상 부근,좌우파도타기(우),2020,치수과,2022-08-24
160,중랑천,우안,한천교 야외체조교실 단상 부근,공중걷기(우),2020,치수과,2022-08-24
161,중랑천,우안,월계1교 하부,공중걷기+파도타기,2020,치수과,2022-08-24
162,중랑천,우안,월계1교 하부,큰활차+작은활차,2020,치수과,2022-08-24
163,중랑천,우안,월계1교 하부,앉아서 다리밀기,2020,치수과,2022-08-24
164,중랑천,우안,월계1교 하부,가슴밀기+등당기기,2020,치수과,2022-08-24
165,중랑천,우안,월계1교 하부,허리돌리기+자전거,2020,치수과,2022-08-24
166,중랑천,우안,월계1교 하부,허리지압기+윗몸일으키기,2020,치수과,2022-08-24
167,중랑천,우안,한내교 하부,등허리지압기,2021,치수과,2022-08-24
168,중랑천,우안,한내교 하부,온몸근육풀기,2021,치수과,2022-08-24
169,중랑천,우안,한내교 하부,옆파도타기,2021,치수과,2022-08-24
170,중랑천,우안,한내교 하부,허벅지근육풀기,2021,치수과,2022-08-24
171,중랑천,우안,한내교 하부,양팔줄당기기,2021,치수과,2022-08-24
172,중랑천,우안,한내교 하부,온몸허리돌리기,2021,치수과,2022-08-24
173,중랑천,좌안,월릉교 하부,오금펴기,2019,치수과,2022-08-24
174,중랑천,좌안,월릉교 하부,역기내리기+올리기,2019,치수과,2022-08-24
175,중랑천,좌안,월릉교 하부,허리돌리기,2019,치수과,2022-08-24
176,중랑천,좌안,월릉교 하부,달리기운동,2019,치수과,2022-08-24
177,중랑천,좌안,월릉교 하부,파도타기,2019,치수과,2022-08-24
178,중랑천,좌안,월릉교 하부,하체근육풀기,2019,치수과,2022-08-24
179,중랑천,좌안,한천교 하류 200m 지점,하체근육풀기,2021,치수과,2022-08-24
180,중랑천,좌안,한천교 하류 201m 지점,공중걷기+윗몸일으키기,2021,치수과,2022-08-24
