번호,명칭,구분,주소,운동기구 총계
1,거꾸로어린이공원,운동기구,북가좌동 338-21,3
2,은가어린이공원,운동기구,북가좌2동 3-39,4
3,신가어린이공원,운동기구,북가좌2동 318-1,5
4,북가좌 정원지구 어린이공원,운동기구,북가좌동 459-1,4
5,나비울어린이공원,운동기구,북가좌동 475 ,4
6,까치소공원,운동기구,북가좌1동 366-4,2
7,가좌어린이공원,운동기구,남가좌2동 376-4,3
8,연남어린이공원,운동기구,남가좌2동 326-8,4
9,개나리어린이공원,운동기구,남가좌2동 377-3,5
10,삼각소공원,운동기구,남가좌2동 210-16,3
11,가재울어린이공원,운동기구,남가좌동 385-2,3
12,솟대어린이공원,운동기구,남가좌1동 379-3,6
13,모래내쉼터,운동기구,남가좌동 382-12,4
14,백련어린이공원,운동기구,홍은3동 421-1,5
15,홍남어린이공원,운동기구,홍은3동 405-3,3
16,홍연어린이공원,운동기구,홍은3동 408-4,3
17,정연소공원,운동기구,홍은2동 377-9,3
18,정원소공원,운동기구,홍은2동 265-139,3
19,홍은2동주민쉼터,운동기구,홍은동 424-1,10
20,답동소공원,운동기구,홍은2동 190-15,4
21,실락어린이공원,운동기구,홍은1동 71,14
22,홍은동어린이공원,운동기구,홍은동 8-158,3
23,옥천소공원,운동기구,홍은1동 5-96,7
24,홍은3소공원,운동기구,홍은동 산1-549,3
25,홍박소공원,운동기구,홍은1동 11-23,6
26,포방골소공원,운동기구,홍은1동 8-368,5
27,자하문폐가압장휴식공간,운동기구,홍은1동 9-237,6
28,보은소공원,운동기구,홍은1동 48-26,1
29,홍이소공원,운동기구,홍은1동 9-215,2
30,하늘소공원,운동기구,홍은동 19-19,4
31,불천어린이공원,운동기구,홍제3동 287-121,4
32,문화촌어린이공원,운동기구,홍제3동 277-1,1
33,조리소공원,운동기구,홍제3동 5-66,2
34,한마루소공원,운동기구,홍제3동 6-71,7
35,문화소공원,운동기구,홍제동 280-2,3
36,인화소공원,운동기구,홍제3동 8-5,1
37,하나물빛공원,운동기구,홍제동 454-1,5
38,행복한소공원,운동기구,홍제2동 131-7,2
39,고은소공원,운동기구,홍제동 307-11,4
40,송죽소공원,운동기구,홍제동 339-9,5
41,푸른소공원,운동기구,홍제동 357-1,3
42,무궁화소공원,운동기구,홍제동 471-1,3
43,창천동 골목공원,운동기구,연희동 346-3,11
44,대궐재어린이공원,운동기구,연희동 73-8,5
45,다람쥐어린이공원,운동기구,연희동 151-49,3
46,궁뜰어린이공원,운동기구,연희동 123-5,6
47,궁말어린이공원,운동기구,연희동 86-3,2
48,연희어린이공원,운동기구,연희동 446-182,3
49,연서어린이공원,운동기구,연희동 519-7,3
50,연희동주민쉼터,운동기구,연희동104-1,2
51,연희지하차도위휴식공간,운동기구,연희동151-32,3
52,둥글레소공원,운동기구,연희동334-46,5
53,홍연소공원,운동기구,연희동723-15,3
54,봉원소공원,운동기구,봉원동52,4
55,창용소공원,운동기구,창천동361,5
56,한울타리소공원,운동기구,창천동247,3
57,너나들이쉼터,운동기구,북아현동 148-26,4
58,동그라미쉼터,운동기구,대현동 65-12,3
59,너른바위어린이공원,운동기구,북아현동 1014-2 ,4
60,북성어린이공원,운동기구,북아현동 1013-4 ,2
61,명수어린이공원,운동기구,북아현동 210-24,4
62,만우소공원,운동기구,북아현동 1-216,4
63,지용소공원,운동기구,북아현동 1-127,6
64,굴레방소공원,운동기구,북아현동 82,4
65,독립문어린이공원,운동기구,영천동 265,5
66,충정로3가주민쉼터,운동기구,충정로3가 35-35,5
67,동명여중 담장 앞,운동기구,천연동 138-5,5
68,복주산근린공원 조형물,운동기구,북아현동 1012-1(복주산근린공원),6
69,복주산근린공원 (관리사무소),운동기구,북아현동 1016-2(복주산근린공원),5
70,중앙근린공원 래미안 아파트,운동기구,남가좌동384-1(중앙근린공원),4
71,중앙근린공원 입구,운동기구,북가좌동105-8(중앙근린공원),4
72,중앙근린공원 중앙,운동기구,남가좌동384-1(중앙근린공원),2
73,홍제근린공원 유원하나아파트 106동 앞,운동기구,홍제454-2(홍제근린공원),4
74,홍제근린공원화장실 위 정자,운동기구,홍제454-2(홍제근린공원),5
75,홍제근린공원화장실옆,운동기구,홍제454-2(홍제근린공원),4
76,창천근린공원정상부,운동기구,창천4-55(창천근린공원),3
77,창천근린공원입구,운동기구,창천4-55(창천근린공원),8
78,논골 공원화장실 옆,운동기구,홍은동 산 11-59(백련근린공원),17
79,논골 복사골마당,운동기구,홍은동 산 11-41(백련근린공원),6
80,백련약수터 옆 팔각정(목공소 옆),운동기구,홍은동 산 19-19(백련근린공원),9
81,백련산 등산로 (중계소 주변),운동기구,홍은동 산 11-18(백련근린공원),1
82,백련산 등산로 정원여중 갈림길 주변,운동기구,홍은동 산 19-19(백련근린공원),2
83,백련산 정상 체력단련장,운동기구,홍은동 산 11-123(백련근린공원),2
84,장수배드민턴장,운동기구,홍은동 산 11-313(백련근린공원),4
85,자연체험학습장 (힐튼호텔 뒤),운동기구,홍은동 산 11-313(백련근린공원),4
86,백련 정원단지,운동기구,홍은동 산 11-325(백련근린공원),3
87,인왕산 쌈지마당,운동기구,홍제동 산1-1(인왕산),6
88,인왕산 풋살장,운동기구,홍제동 산1-152(인왕산),9
89,인왕산 개미마을 놀이터,운동기구,홍제동 산1-100(인왕산),5
90,유아숲체험장,운동기구,홍제동 산1-1(인왕산),4
91,홍인약수터,운동기구,홍제동 산 1-1(인왕산),1
92,무궁화동산 초입(11번버스 종점),운동기구,홍제동 460-5(인왕산),3
93,무궁화동산,운동기구,홍제동 105-5(인왕산),23
94,용천약수터,운동기구,홍제동 산 1-1(인왕산),2
95,홍심약수터,운동기구,홍제동 산1-100(인왕산),6
96,옥동약수터,운동기구,홍제3동 산33-44(인왕산),7
97,북한산 돌산축구장 옆,운동기구,홍은동10-177(북한산),11
98,홍은1동 1-129 정자(실락어린이공원 위),운동기구,홍은1동 1-129(북한산),17
99,홍록배드민턴장,운동기구,홍은동 산 1-85(북한산),13
100,홍록배드민턴장 위,운동기구,홍은동 산 1-85(북한산),4
101,삼화운수 종점 수세식화장실 옆,운동기구,홍은동 8-627(북한산),3
102,삼화운수 종점 위 자락길,운동기구,홍은동 8-627(북한산),5
103,극동아파트 103동 뒤(자락길 종점),운동기구,홍은동 산 1-112(북한산),3
104,극동아파트 103동 앞(홍은2동 체력단련장),운동기구,홍은동 산 1-121(북한산),13
105,호박골화장실 옆,운동기구,홍은동10-185(북한산),3
106,호박골 배드민턴장,운동기구,홍은동10-186(북한산),7
107,호박골 지구,운동기구,홍은동10-187(북한산),8
108,호박골약수터(홍은한마당),운동기구,홍은동10-188(북한산),5
109,안산도시자연공원 연희숲속쉼터,운동기구,연희동 산2-75 (안산공원),4
110,상암곡 박두진 시비,운동기구,홍제동 산 33-110(안산공원),5
111,현저지구 상부,운동기구,현저동 1-158(안산공원),6
112,현저지구 하부,운동기구,현저동 1-61(안산공원),3
113,천연마당,운동기구,현저동 107-501(안산공원),10
114,안산마당,운동기구,영천동 산 1-56(안산공원),5
115,독립문삼호아파트105동앞(산복도로),운동기구,영천동 5-387(안산공원),8
116,천연동 뜨란채아파트108동 앞(산복도로),운동기구,천연동 145-5(안산공원),8
117,연흥약수터,운동기구,연희 산2-7(안산공원),6
118,양천약수터,운동기구,연희동 산2-7(안산공원),4
119,연수천약수터,운동기구,연희동 산2-17(안산공원),2
120,용천약수터 주변,운동기구,연희동 산2-17(안산공원),4
121,연세배드민턴장,운동기구,연희동 산 2-17(안산공원),7
122,옥천약수터,운동기구,연희동 산2-14(안산공원),9
123,무악정 주변,운동기구,연희동 산 2-15(안산공원),13
124,석천약수터,운동기구,연희동 산2-14(안산공원),2
125,명천약수터,운동기구,연희동 산2-17(안산공원),6
126,덕천약수터,운동기구,연희동 산2-16(안산공원),10
127,맥천약수터,운동기구,연희동 산2-17(안산공원),5
128,봉화약수터,운동기구,홍제2동 산33-44(안산공원),16
129,안산헬스,운동기구,봉원동 4(안산공원),12
130,안산천 약수터운동장 주변,운동기구,봉원동 산 2-1(안산공원),18
131,안산자락길 23,운동기구,현저동 산 5-3(안산공원),3
132,금화체력단련장(능안정운동장),운동기구,현저동 산 12-17(안산공원),17
133,복수천약수터(복주물),운동기구,북아현동 산1-1(안산공원),14
134,광장(자락길19),운동기구,북아현동 산 1-442(안산공원),10
135,홍제약수터,운동기구,홍제동 산33-44(안산공원),6
136,무악정 지나(안심번호 4-4),운동기구,봉원동 산 1(안산공원),3
137,봉구천약수터,운동기구,봉원동 산2-1(안산공원),5
138,상암곡 밑(풍진베어스타운 인근),운동기구,홍제동 322-11(안산공원),4
139,장수천약수터,운동기구,봉원동 산2-1(안산공원),10
