공원명, 기구설치장소 , 설치기구수 ,관리부서
응봉,25,201,공원녹지과
무학봉,3,29,공원녹지과
금호,1,4,공원녹지과
용답휴식,1,14,공원녹지과
성수근린공원,1,5,공원녹지과
달맞이,6,35,공원녹지과
성원,1,0,공원녹지과
동마장,1,8,공원녹지과
사근,1,4,공원녹지과
마장,1,3,공원녹지과
성삼,1,4,공원녹지과
은행나무터,1,0,공원녹지과
아남,1,3,공원녹지과
미소,1,6,공원녹지과
응삼,1,2,공원녹지과
상원,1,7,공원녹지과
도선,1,7,공원녹지과
살구골,1,3,공원녹지과
금동,1,6,공원녹지과
푸른,1,5,공원녹지과
논골새싹,1,8,공원녹지과
청계꿈나무,1,3,공원녹지과
꽃재,1,4,공원녹지과
전관원,1,3,공원녹지과
견우,1,3,공원녹지과
직녀,1,4,공원녹지과
장미,1,5,공원녹지과
동부,1,4,공원녹지과
청송,1,5,공원녹지과
향림,1,4,공원녹지과
금옥,1,3,공원녹지과
금남,1,4,공원녹지과
옥정,1,4,공원녹지과
매봉,1,4,공원녹지과
어울림,1,4,공원녹지과
하왕제1-5구역,0,4,공원녹지과
