구분,공원명,주소,운동기구명,수량,
시공원,북한산도시자연공원,정릉동 산1-1,공중걷기,11,
시공원,북한산도시자연공원,정릉동 산1-2,파도타기,7,
시공원,북한산도시자연공원,정릉동 산1-3,허리돌리기,15,
시공원,북한산도시자연공원,정릉동 산1-4,상체근육풀기,1,
시공원,북한산도시자연공원,정릉동 산1-5,달리기,7,
시공원,북한산도시자연공원,정릉동 산1-6,역기올리기,6,
시공원,북한산도시자연공원,정릉동 산1-7,레그프레스,1,
시공원,북한산도시자연공원,정릉동 산1-8,어깨근육풀기,7,
시공원,북한산도시자연공원,정릉동 산1-9,윗몸일으키기,7,
시공원,북한산도시자연공원,정릉동 산1-10,역기내리기,3,
시공원,북한산도시자연공원,정릉동 산1-11,등허리지압기,5,
시공원,북한산도시자연공원,정릉동 산1-12,노젓기,3,
시공원,북한산도시자연공원,정릉동 산1-13,입식싸이클,5,
시공원,북한산도시자연공원,정릉동 산1-14,하체근육풀기,2,
시공원,북한산도시자연공원,정릉동 산1-15,양팔줄당기기,4,
시공원,북한산도시자연공원,정릉동 산1-16,철봉,6,
시공원,북한산도시자연공원,정릉동 산1-17,평행봉,5,
시공원,북한산도시자연공원,정릉동 산1-18,팔굽혀펴기,3,
시공원,북한산도시자연공원,정릉동 산1-19,벤치프레스,1,
시공원,북한산도시자연공원,정릉동 산1-20,"손목관절, 작은어깨운동",1,
시공원,북한산도시자연공원,정릉동 산1-21,어깨돌리기(복합),2,
시공원,북한산도시자연공원,정릉동 산1-22,온몸근육풀기,1,
시공원,북한산도시자연공원,정릉동 산1-23,앉아무릎펴기,3,
시공원,북한산도시자연공원,정릉동 산1-24,하체근력운동,1,
시공원,북한산도시자연공원,정릉동 산1-25,앉아무릎펴기&파도타기,1,
시공원,북한산도시자연공원,정릉동 산1-26,어깨돌리기&허리돌리기,1,
시공원,북한산도시자연공원,정릉동 산1-27,오금펴기&역기내리기,1,
시공원,북한산도시자연공원,정릉동 산1-28,양팔줄당기기&철봉운동,1,
시공원,북한산도시자연공원,정릉동 산1-29,싸이클&달리기,1,
시공원,북한산도시자연공원,정릉동 산1-30,역기올리기&물결타기,1,
시공원,북한산도시자연공원,정릉동 산1-31,허리돌리기&하늘걷기,1,
시공원,북한산도시자연공원,정릉동 산1-32,싸이클&허리돌리기,1,
시공원,북한산도시자연공원,정릉동 산1-33,노젓기&어깨유연성,1,
시공원,북한산도시자연공원,정릉동 산1-34,달리기&윗몸일으키기,1,
시공원,북한산도시자연공원,정릉동 산1-35,시티드체스트프레스,2,
시공원,북한산도시자연공원,정릉동 산1-36,숄더프레스,2,
시공원,북한산도시자연공원,정릉동 산1-37,레그익스텐션,2,
시공원,북한산도시자연공원,정릉동 산1-38,업도미널,2,
시공원,북한산도시자연공원,정릉동 산1-39,스피드레이서,1,
시공원,북한산도시자연공원,정릉동 산1-40,기타운동기구,2,
시공원,성북근린공원                   (북악산도시자연공원구역 포함,돈암2동 산85-1 등,공중걷기,4,
시공원,성북근린공원                   (북악산도시자연공원구역 포함,돈암2동 산85-1 등,파도타기,3,
시공원,성북근린공원                   (북악산도시자연공원구역 포함,돈암2동 산85-1 등,허리돌리기,5,
시공원,성북근린공원                   (북악산도시자연공원구역 포함,돈암2동 산85-1 등,상체근육풀기,2,
시공원,성북근린공원                   (북악산도시자연공원구역 포함,돈암2동 산85-1 등,달리기,2,
시공원,성북근린공원                   (북악산도시자연공원구역 포함,돈암2동 산85-1 등,역기올리기,2,
