연번,시설지명,위치,위도 ,경도,시설물현황,시설물종류(종)
1,사직체육회,서울특별시 종로구 사직동 산1-11,37.577137,126.964862,"허리돌리기, 윗몸일으키기, 철봉, 평행봉, 오금펴기, 역기, 벤치프레스, 펀치걸이대, 로프당기기머신, 스텝퍼, 하체 근육운동, 하체흔들기, 등 허리지압기, 온몸 노젓기, 온몸근육풀기, 풀웨이트, 옆 파도타기, 오버턴 스트레칭",18
2,인왕산자연공원,서울특별시 종로구 누상동 산1-38,37.580423,126.96238,"공중걷기, 윗몸일으키기, 철봉, 평행봉, 오금펴기, 역기, 벤치프레스, 펀치걸이대, 로프당기기머신, 스텝퍼, 하체 근육운동, 거꾸로 머신, 등 허리지압기, 온몸 노젓기, 온뭄 근육풀기, 풀웨이트, 옆 파도타기, 오버턴 스트레칭, 등허리펴기, 중심서기, 등허리젓히기, 균형잡기, 무릅펴기",23
3,인왕배드민턴장,서울특별시 종로구 누상동 산1-38,37.580415,126.962369,"윗몸일으키기, 거꾸로머신, 상체근육풀기, 체스트업머신, 허리돌리기",5
4,인왕산약수터,서울특별시 종로구 무악동 산3-4,37.579082,126.958973,"윗몸일으키기, 거꾸로머신, 상체근육풀기, 체스트업머신, 허리돌리기",6
5,무악농구장,서울특별시 종로구 무악동 57-10,37.576534,126.959814,,
6,무악배드민턴장,서울특별시 종로구 무악동 48,37.578006,126.958365,"윗몸일으키기, 하늘걷기, 마라톤운동, 허리돌리기, 역기내리기, 평행봉",6
7,무악약수체육공원,서울특별시 종로구 무악동 48,37.578006,126.958365,,
8,인왕천약수터아래산책로,서울특별시 종로구 옥인동 산3-1,37.584425,126.963863,"철봉, 허리돌리기, 평행봉, 팔굽혀펴기, 하늘걷기, 온몸근육풀기, 마라톤운동",7
9,인왕천약수터,서울특별시 종로구 옥인동 산3-14,37.584555,126.960737,"거꾸로매달리기, 역기올리기, 윗몸일으키기, 철봉, 하늘걷기, 온몸역기내리기, 허리펴기",7
10,석굴암약수터,서울특별시 종로구 옥인동 산3-14,37.584555,126.960737,"공중걷기, 파도타기, 철봉, 역기, 평행봉, 허리돌리기, 팔팍굽혀펴기, 매달려 무릎올리기, 윗몸일으키기",9
11,만수천약수터,서울특별시 종로구 옥인동 산3-14,37.584555,126.960737,"디핑머신, 싯업머신, 체스트업머신, 허리돌리기, 등허리지압기, 워킹트레이너머신, 평행봉, 큰활차머신, 허리돌리기, 레그프레스머신, 스윙워커머신, 오버헤드폴리머신",12
12,평창동(1)운동장,서울특별시 종로구 평창동 344-6,37.607392,126.965475,"윗몸일으키기, 하늘걷기, 온몸근육풀기",3
