공원명,설치년도,설치주소,설치운동기구종류,연간운동기구관리횟수,고장난운동기구명,위도 ,경도,담당부서명,담당부서전화번호,데이터기준일자
갈매기근린공원,,서울특별시 강남구 압구정동 480(갈매기근린공원),"농구대, 공중걷기, 평행봉, 역기올리기, 상체근육풀기, 허리돌리기, 물구나무서기, 터닝암, 레그프레스푸쉬, 워킹트레이너머신, 역기내리기, 푸쉬업철봉",12회 이상,없음,37.531496,127.030123,공원녹지과,02-3423-6244,2022-08-08
개포근린공원,,서울특별시 강남구 개포동 139(개포근린공원),"모험놀이대,물결타기,허리돌리기,어깨유연성운동,달리기,하늘걷기,등허리지압기,푸쉬업봉,역기내리기,평행봉,역기올리기,옴금펴기,상체근육풀기,윗몸일으키기,2단철봉",12회 이상,없음,37.4830336,127.063861,공원녹지과,02-3423-6245,2022-08-08
개포동근린공원,,서울특별시 강남구 개포동 13-1(개포동근린공원),"레그프레스, 등허리 젖히기, 허리돌리기, 하체흔들기, 휠돌리기, 자전거, 거꾸로 뒤집기 줄당기기, 윗몸일으키기, 평행봉, 체어웨이트",12회 이상,없음,37.489686,127.059526,공원녹지과,02-3423-6245,2022-08-08
개포서근린공원,,서울특별시 강남구 개포동 180 외 2필지(개포서근린공원),"스텝싸이클,트렁크웨이트,크로스컨트리,롤링웨이스트",12회 이상,없음,37.488628,127.064142,공원녹지과,02-3423-6245,2022-08-08
길섶근린공원,,서울특별시 강남구 역삼동 757-1(길섶근린공원),스카이워크,12회 이상,없음,37.498081,127.046708,공원녹지과,02-3423-6245,2022-08-08
늘벗근린공원,,서울특별시 강남구 대치동 501(늘벗근린공원),"허리돌리기, 윗몸일으키기, 철봉, 등허리근육풀기, 오금펴기, 파도타기, 등허리지압기, 발지압기, 달리기운동, 거꾸로매달리기, 역기올리기, 스트레칭운동기구, 유산소성 운동기구, 평행봉 ",12회 이상,없음,37.489623,127.048394,공원녹지과,02-3423-6245,2022-08-08
늘푸른근린공원,,서울특별시 강남구 일원동 690(늘푸른근린공원),"철봉 3단,거꾸리,윗몸일으키기,달리기,역기올리기,등 허리지압기, 상체근육풀기, 옆 파도타기, 하늘걷기, 온몸 허리돌리기, 허리돌리기, 평행봉, 구름다리, 통돌리기, 배드민턴",12회 이상,없음,37.489885,127.077436,공원녹지과,02-3423-6245,2022-08-08
달터근린공원,,서울특별시 강남구 개포동 156외 23필지(달터근린공원),"마사지롤,바스트풀,스카이워킹,크리스워킹",12회 이상,없음,37.485434,127.052354,공원녹지과,02-3423-6245,2022-08-08
대진근린공원,,서울특별시 강남구 개포동 13-1(대진근린공원),"웨이스트,롤링,레그프레스,워밍암,코르스워킹,풀웨이트,크로스컨트리,허리돌리기,윗몸일으키기,철봉,사이클링,철봉매달리기, 체어웨이트,스트레칭로라",12회 이상,없음,37.496049,127.0788531,공원녹지과,02-3423-6245,2022-08-08
대청근린공원,,서울특별시 강남구 일원동 621(대청근린공원),"레그프레스,체스트프레스,하체흔들기,트위스트좌식,워밍암,달리기운동,윗몸일으키기,허리돌리기,거꾸로매달리기,공중걷기",12회 이상,없음,37.49319912,127.0830019,공원녹지과,02-3423-6245,2022-08-08
대치근린공원,,서울특별시 강남구 대치동 512(대치근린공원),"평행봉, 역기, 철봉, 트위스트, 허리운동, 뱃살운동, 팔내리기운동, 다리운동, 양다리운동, 팔올리기운동, 원그리기운동, 양회전운동, 거꾸로매달리기, 타이어운동기구",12회 이상,없음,37.495123,127.061109,공원녹지과,02-3423-6244,2022-08-08
도곡근린공원,,서울특별시 강남구 도곡동 산31-1 외 193필지(도곡근린공원),"크로스컨트리, 체어웨이트, 스텝싸이클, 체어풀, 트윈트위스트, 트윈바디싣업, 평행봉, 철봉3단, 철봉1단, 팔굽혀펴기, 윗몸일으키기, 허리돌리기, 워밍암, 롤링웨이스트, 다리운동, 파워싸이클, 터닝암, 마사지롤, 바디싣업, 스탠드업, 거꾸리머신, 몸통운동, 스카이워킹, 자가발전자전거, 역기, 다리스트레칭, 전신달리기, 써핑롤링머신, 큰활차머신",12회 이하,자가발전자전거,37.48963705,127.041861,공원녹지과,02-3423-6248,2022-08-08
도곡단비소공원,,서울특별시 강남구 도곡동 539-6(도곡단비소공원),"풀웨이트,크로스컨트리,트윈트위스트",12회 이상,없음,37.493903,127.046942,공원녹지과,02-3423-6244,2022-08-08
도곡햇살 소공원,,서울특별시 강남구 도곡동 538-4(도곡햇살 소공원),"온몸근육풀기,온몸허리돌리기,공중걷기",12회 이상,없음,37.49580707,127.0523046,공원녹지과,02-3423-6244,2022-08-08
도산근린공원,,서울특별시 강남구 신사동 649-9(도산근린공원),"철봉, 평행봉, 허리돌리기, 허리운동기, 타이어허리펴기, 윗몸일으키기, 파도타기, 공중걷기, 상체근육풀기, 역기올리기, 양팔줄당기기, 입식사이클, 스텝사이클, ",12회 이상,없음,37.523911,127.0356032,공원녹지과,02-3423-6244,2022-08-08
독골근린공원,,서울특별시 강남구 도곡동 461(독골근린공원),"철봉, 평행봉, 윗몸일으키기, 옆으로돌리기, 노젓기, 파도타기, 허리돌리기, 오금펴기, 공중걷기, 역기올리기",12회 이상,없음,37.484552,127.0468249,공원녹지과,02-3423-6244,2022-08-08
매봉근린공원,,서울특별시 강남구 도곡동 527-7(매봉근린공원),런닝머신,12회 이상,없음,37.492589,127.045762,공원녹지과,02-3423-6244,2022-08-08
못골아래근린공원,,서울특별시 강남구 자곡동 607번지(못골아래근린공원),"자전거,허리돌리기",12회 이상,없음,37.47330498,127.0997276,공원녹지과,02-3423-6245,2022-08-08
