체육시설명,시설주소,위도,경도,공중걷기 유형,파도타기 유형,허리돌리기 유형,상체근육풀기 유형,달리기 유형,역기올리기 유형,레그프레스 유형,어깨근육풀기 유형,윗몸일으키기 유형,역기내리기 유형,등허리지압기 유형,노젓기 유형,입식싸이클 유형,거꾸로매달리기 유형,하체근육풀기 유형,양팔줄당기기 유형,철봉 유형,평행봉 유형,스쿼트머신 유형,좌식싸이클 유형,기타유형 종류,기타유형,운동기구 관리횟수,고장난 실외운동기구,고장난 실외운동기구 수량,최근 3년 설치현황(2019-2022),관리부서,데이터기준일자
배봉산근린공원,서울특별시 동대문구 전농동 산32-20 ,37.58121369,127.0675923,8,5,27,4,8,15,3,2,19,6,2,3,0,2,10,4,6,12,0,0,가슴모아주기 등 ,23,수시,0,0,공중걷기 외 13개,공원녹지과,2023-05-03
답십리근린공원,서울특별시 동대문구 답십리동 산2-9,37.573094,127.063823,7,7,21,4,4,12,4,0,11,1,7,1,1,3,5,2,6,7,0,0,스트레칭기구 등,13,수시,0,0,,공원녹지과,2023-05-03
홍릉근린공원,서울특별시 동대문구 청량리동 산1-145,37.589274,127.043205,2,2,2,1,2,6,2,0,3,1,1,2,3,3,0,0,1,3,0,0,팔굽혀펴기 등,2,수시,0,0,,공원녹지과,2023-05-03
장평근린공원,서울특별시 동대문구 장안동 356,37.56748813,127.0737398,1,1,2,3,1,1,1,0,1,1,3,1,1,0,0,2,0,0,0,0,0,0,수시,0,0,,공원녹지과,2023-05-03
장안근린공원,서울특별시 동대문구 장안동 300,37.57716529,127.0709026,1,1,1,1,1,2,0,0,1,0,2,1,0,1,0,0,3,0,0,0,0,0,수시,0,0, 철봉 ,공원녹지과,2023-05-03
용두근린공원,서울특별시 동대문구 용두동 34-1,37.573134,127.040461,1,1,1,1,1,2,0,0,2,0,1,0,1,1,0,1,0,0,0,0,0,0,수시,0,0,,공원녹지과,2023-05-03
텃골근린공원,서울특별시 동대문구 전농동 690-1,37.577563,127.051427,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,수시,0,0,,공원녹지과,2023-05-03
새샘근린공원,서울특별시 동대문구 답십리동 1004-,37.569038,127.055026,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,수시,0,0,0,공원녹지과,2023-05-03
천장어린이공원,서울특별시 동대문구 이문동 264-181,37.59889444,127.0538436,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,수시,0,0,0,공원녹지과,2023-05-03
마로니에어린이공원,서울특별시 동대문구 장안동 325,37.570627,127.070651,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,수시,0,0,0,공원녹지과,2023-05-03
아름어린이공원,서울특별시 동대문구 휘경동 43-178,37.586334,127.066514,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,수시,0,0,0,공원녹지과,2023-05-03
장일어린이공원,서울특별시 동대문구 장안동 164-1,37.569871,127.065175,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,수시,0,0,,공원녹지과,2023-05-03
미리내어린이공원,서울특별시 동대문구 장안동 93-29,37.58072,127.071679,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,수시,0,0,,공원녹지과,2023-05-03
늘푸른어린이공원,서울특별시 동대문구 장안동 303,37.570627,127.070651,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,수시,0,0,0,공원녹지과,2023-05-03
한내어린이공원,서울특별시 동대문구 장안동 348,37.570627,127.070651,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,수시,0,0,0,공원녹지과,2023-05-03
쉼터어린이공원,서울특별시 동대문구 답십리동 952-5,37.56484697,127.0593171,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,수시,0,0,0,공원녹지과,2023-05-03
동산어린이공원,서울특별시 동대문구 답십리동 998-1,37.566904,127.057577,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,수시,0,0,,공원녹지과,2023-05-03
휘봉어린이공원,서울특별시 동대문구 휘경동 43-275,37.586887,127.069106,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,수시,0,0,0,공원녹지과,2023-05-03
늘봄어린이공원,서울특별시 동대문구 장안동 343,37.5713224,127.0725893,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,수시,0,0,,공원녹지과,2023-05-03
우산각어린이공원,서울특별시 동대문구 신설동 109-4,37.57385655,127.0241852,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,수시,0,0,,공원녹지과,2023-05-03
미나리어린이공원,서울특별시 동대문구 장안동 449,37.5638584,127.0679937,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,수시,0,0,0,공원녹지과,2023-05-03
안골어린이공원,서울특별시 동대문구 장안동 402,37.56526436,127.0643819,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,수시,0,0,,공원녹지과,2023-05-03
꿈동산어린이공원,서울특별시 동대문구 답십리동 1002-1,37.569659,127.057606,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,수시,0,0,,공원녹지과,2023-05-03
용두희망어린이공원,서울특별시 동대문구 용두동 175일대,37.580154,127.026725,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,수시,0,0,0,공원녹지과,2023-05-03
아름드리어린이공원,서울특별시 동대문구 전농동 688-7,37.579262,127.055441,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,온몸뻗치기,1,수시,0,0,0,공원녹지과,2023-05-03
방아다리어린이공원,서울특별시 동대문구 제기동 132-1일대,37.585062,127.034812,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,수시,0,0,0,공원녹지과,2023-05-03
장미어린이공원,서울특별시 동대문구 장안동 386,37.570627,127.070651,1,1,2,0,1,1,0,2,1,1,1,0,1,1,0,1,0,1,0,0,0,0,수시,0,0,입식싸이클,공원녹지과,2023-05-03
샛별어린이공원,서울특별시 동대문구 장안동 379,37.56784857,127.0674928,1,1,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,수시,0,0,0,공원녹지과,2023-05-03
샛말어린이공원,서울특별시 동대문구 전농동 695-1,37.577498,127.050252,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,스텝퍼,1,수시,0,0, 사이클외4개 ,공원녹지과,2023-05-03
새움어린이공원,서울특별시 동대문구 답십리동 1009-1,37.570733,127.048815,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,수시,0,0, 상체근육풀기외2개 ,공원녹지과,2023-05-03
휘경어린이공원,서울특별시 동대문구 휘경동 372-2,37.5935,127.06777,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,수시,0,0,공중걷기 등 6개,공원녹지과,2023-05-03
작은언덕소공원,서울특별시 동대문구 회기동 351-6,37.594094,127.052309,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,수시,0,0,0,공원녹지과,2023-05-03
내길소공원,서울특별시 동대문구 휘경동 368-4,37.590018,127.063619,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,수시,0,0,0,공원녹지과,2023-05-03
휘경마당소공원,서울특별시 동대문구 휘경동 375-1,37.591079,127.061154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,활차돌리기,1,수시,0,0,활차돌리기 외 1개,공원녹지과,2023-05-03
용두5구역어린이공원,서울특별시 동대문구 용두동 251-13,37.571164,127.028504,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,스텝퍼 외 1종,2,수시,0,0,공중걷기 외 7개,공원녹지과,2023-05-03
중랑천 제방,서울특별시 동대문구 장안동 481-6 일대(군자교~성북구경계),37.56962,127.07888,14,15,15,7,0,5,8,0,25,9,9,2,3,12,7,8,8,13,0,0,지압로 외 2종,10,수시,0,0,0,공원녹지과,2023-05-03
경원제4녹지,서울특별시 동대문구 이문동 216-7,37.6038,127.06756,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,수시,0,0,0,공원녹지과,2023-05-03
떡전교수림대,서울특별시 동대문구 전농동 112-1 일대,37.58763,127.05411,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,수시,0,0,0,공원녹지과,2023-05-03
다솜 마을마당,서울특별시 동대문구 휘경동 49-308,37.58481,127.07161,1,0,2,2,1,2,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,수시,0,0, 거꾸로매달리기 외 7개 ,공원녹지과,2023-05-03
