설치연도,최근5년간의 실외 운동기구 설치주소,실외운동기구종류,담당부서,설치업체
2015,없음,,문화체육과,
2016,서울특별시 송파구 잠실동 24,파도타기,문화체육과,
2016,서울특별시 송파구 잠실동 24,로프당기기,문화체육과,
2016,서울특별시 송파구 풍납동 121-26,체스트업머신,문화체육과,
2016,서울특별시 송파구 풍납동 121-26,치닝머신,문화체육과,
2016,서울특별시 송파구 풍납동 121-26,디핑머신,문화체육과,
2016,서울특별시 송파구 송파동 106,싣업머신,문화체육과,
2017,서울특별시 송파구 풍납동 121-26,벤치프레스,문화체육과,예도건설조경
2017,서울특별시 송파구 풍납동 121-26,철봉,문화체육과,예도건설조경
2017,서울특별시 송파구 풍납동 121-26,거꾸리머신,문화체육과,예도건설조경
2017,서울특별시 송파구 신천동 9,철봉,문화체육과,예도건설조경
2017,서울특별시 송파구 신천동 9,거꾸리머신,문화체육과,예도건설조경
2018,서울특별시 송파구 풍납동 183-5,큰활차+작은활차,문화체육과,(주)카이로스
2018,서울특별시 송파구 풍납동 183-5,다리밀기+양팔줄당기기,문화체육과,(주)카이로스
2018,서울특별시 송파구 풍납동 183-5,역기올리기+역기내리기,문화체육과,(주)카이로스
2018,서울특별시 송파구 풍납동 183-5,거꾸리머신,문화체육과,(주)카이로스
2018,서울특별시 송파구 풍납동 183-5,자전거타기+허리돌리기,문화체육과,(주)카이로스
2018,서울특별시 송파구 풍납동 121-26,옆파도타기+등허리지압기,문화체육과,(주)카이로스
2018,서울특별시 송파구 오금동 163,큰활차+양팔줄당기기,문화체육과,(주)카이로스
2018,서울특별시 송파구 송파동 106,달리기+하늘걷기,문화체육과,(주)카이로스
2018,서울특별시 송파구 신천동 9,큰활차+양팔줄당기기,문화체육과,(주)카이로스
2019,서울특별시 송파구 풍납동 108-7,트리플트위스트,문화체육과,㈜디자인파크개발
2019,서울특별시 송파구 풍납동 108-7,오버턴스트레칭,문화체육과,㈜디자인파크개발
2019,서울특별시 송파구 풍납동 108-7,크로스컨트리,문화체육과,㈜디자인파크개발
2019,서울특별시 송파구 풍납동 108-7,워밍암,문화체육과,㈜디자인파크개발
2019,서울특별시 송파구 풍납동 108-7,양팔줄당기기,문화체육과,㈜디자인파크개발
2019,서울특별시 송파구 풍납동 108-7,롤링웨이스트,문화체육과,㈜디자인파크개발
2019,서울특별시 송파구 풍납동 108-7,스텝사이클,문화체육과,㈜디자인파크개발
2019,서울특별시 송파구 풍납동 108-7,레그프레스,문화체육과,㈜디자인파크개발
2019,"서울특별시 송파구 신천동 6, 9",스텝사이클,문화체육과,㈜디자인파크개발
2020,서울특별시 송파구 풍납동 108-7,스트레칭롤러,문화체육과,㈜디자인파크개발
2020,서울특별시 송파구 풍납동 313,롤링웨이스트,문화체육과,㈜디자인파크개발
2020,서울특별시 송파구 풍납동 313,크로스컨트리,문화체육과,㈜디자인파크개발
2020,서울특별시 송파구 풍납동 313,풀웨이트,문화체육과,㈜디자인파크개발
2020,"서울특별시 송파구 신천동 6, 9",크로스컨트리,문화체육과,㈜디자인파크개발
2020,"서울특별시 송파구 신천동 6, 9",트윈트위스트,문화체육과,㈜디자인파크개발
2020,"서울특별시 송파구 신천동 6, 9",롤링웨이스트,문화체육과,㈜디자인파크개발
2020,"서울특별시 송파구 신천동 6, 9",스트레칭롤러,문화체육과,㈜디자인파크개발
2020,서울특별시 송파구 송파동 106,양팔줄당기기,문화체육과,㈜디자인파크개발
2020,서울특별시 송파구 송파동 106,스트레칭롤러,문화체육과,㈜디자인파크개발
,서울특별시 송파구 거여동 1-20,풀웨이트,치수과,
,서울특별시 송파구 거여동 1-20,스트레칭로라,치수과,
,서울특별시 송파구 거여동 1-20,트윈바디싵업,치수과,
,서울특별시 송파구 거여동 1-20,롤링웨이스트,치수과,
,서울특별시 송파구 거여동 1-20,크로스컨트리,치수과,
,서울특별시 송파구 거여동 1-20,트윈바디싵업,치수과,
,서울특별시 송파구 거여동 1-20,롤링웨이스트,치수과,
,서울특별시 송파구 거여동 1-20,트윈트위스트,치수과,
,서울특별시 송파구 거여동 1-20,폴웨이트,치수과,
,서울특별시 송파구 거여동 1-20,크로스컨트리,치수과,
,서울특별시 송파구 거여동 1-20,스트레칭로라,치수과,
,서울특별시 송파구 오금동 141,체어웨이트,치수과,
,서울특별시 송파구 오금동 141,풀웨이트,치수과,
,서울특별시 송파구 오금동 141,트윈바디싵업,치수과,
,서울특별시 송파구 오금동 141,스트레칭로라,치수과,
,서울특별시 송파구 오금동 141,핸들웨이트,치수과,
,서울특별시 송파구 오금동 141,롤링웨이스트,치수과,
,서울특별시 송파구 오금동 141,트윈트위스트,치수과,
,서울특별시 송파구 오금동 141,레그스트레치,치수과,
,서울특별시 송파구 오금동 141,크로스컨트리,치수과,
,서울특별시 송파구 오금동 141,레그스트레치,치수과,
,서울특별시 송파구 오금동 141,워밍암,치수과,
,서울특별시 송파구 오금동 141,트윈바디싵업,치수과,
,서울특별시 송파구 오금동 141,트윈트위스트,치수과,
,서울특별시 송파구 오금동 141,롤링웨이스트,치수과,
,서울특별시 송파구 오금동 141,스트레칭로라,치수과,
,서울특별시 송파구 오금동 141,풀웨이트,치수과,
,서울특별시 송파구 오금동 141,핸들웨이트,치수과,
,서울특별시 송파구 오금동 141,체어웨이트,치수과,
,서울특별시 송파구 오금동 141,크로스컨트리,치수과,
,서울특별시 송파구 오금동 75-4,워밍암,치수과,
,서울특별시 송파구 오금동 75-4,트위트위스트,치수과,
,서울특별시 송파구 오금동 75-4,워밍암,치수과,
,서울특별시 송파구 오금동 75-4,트윈바디싵업,치수과,
,서울특별시 송파구 오금동 75-4,체어웨이트,치수과,
,서울특별시 송파구 오금동 75-4,롤링웨이스트,치수과,
,서울특별시 송파구 오금동 75-4,풀웨이트,치수과,
,서울특별시 송파구 오금동 75-4,크로스컨트리,치수과,
,서울특별시 송파구 오금동 75-4,윗몸일으키기,치수과,
,서울특별시 송파구 오금동 75-4,핸들웨이트,치수과,
,서울특별시 송파구 오금동 75-4,스트레칭로라,치수과,
,서울특별시 송파구 방이동 452-6,팔굽혀펴기,치수과,
,서울특별시 송파구 방이동 452-6,철봉,치수과,
,서울특별시 송파구 방이동 452-6,평행봉,치수과,
,서울특별시 송파구 방이동 452-6,팔굽혀펴기,치수과,
,서울특별시 송파구 방이동 452-6,윗몸일으키기,치수과,
,서울특별시 송파구 방이동 452-6,구름사다리,치수과,
