번호,시설물명,위치(주소),위도,경도,설치면적,종류,제조사,설치연도,관리기관,전화번호,데이터기준일자
대관령-1,송천변 운동기구,강원도 평창군 대관령면 횡계리 299-4,37.676152,128.709312,20,양팔줄당기기+하늘걷기+윗몸일으키기+다리뻗치기+온몸근육풀기+온몸역기올리기+스카이워킹+크로스워킹+트위스트+파워싸이클,㈜케이엘에스+그린나래,2012,평창군 대관령면사무소,033-330-2103,2022-09-30
대관령-10,차항1리 노인회관 앞 운동기구,강원도 평창군 대관령면 차항리 58-4,37.690125,128.692389,6,허리돌리기+상체근육풀기+공중걷기,경일산업주식회사,2008,평창군 대관령면사무소,033-330-2103,2022-09-30
대관령-11,차항2리 궁도장 운동기구,강원도 평창군 대관령면 차항리 29-27,37.687824,128.700042,8,공중걷기+역기올리기+허리돌리기+양팔줄당기기,평창종합상사,2015,평창군 대관령면사무소,033-330-2103,2022-09-30
대관령-12,유천1리 체육공원 운동기구,강원도 평창군 대관령면 유천리 678,37.66948,128.605556,12,온몸허리비틀기+다리뻗치기+옆파도타기+하늘걷기+등지압기+허리지압기,멕스벨로㈜,2014,평창군 대관령면사무소,033-330-2103,2022-09-30
대관령-13,유천2리 노인회관 앞,강원도 평창군 대관령면 유천리 155-11,37.676787,128.638054,4,옆파도타기+온몸허리돌리기+온몸역기내리기+자유평행봉,㈜케이엘에스,2015,평창군 대관령면사무소,033-330-2103,2022-09-30
대관령-14,유천3리마을회관 ,강원도 평창군 대관령면 유천리 344-2,37.63949418,128.6312702,4,파도타기+허리돌리기+공중걷기,평창종합상사,2016,평창군 대관령면사무소,033-330-2103,2022-09-30
대관령-15,병내리 마을회관 앞 야외운동기구,강원도 평창군 대관령면 병내리 484-1,37.706449,128.611047,10,"달리기+공중걷기+좌식허리돌리기+어깨,팔 늘리기",신우건업,2017,평창군 대관령면사무소,033-330-2103,2022-09-30
대관령-16,장미아파트 육각정 운동기구,강원도 평창군 대관령면 횡계리 275-9,37.670848,128.713993,4,양팔줄당기기+공중걷기+상체근육풀기+역기올리기,지스포텍㈜,2017,평창군 대관령면사무소,033-330-2103,2022-09-30
대관령-17,차항1리(비점오염 저감시설) 야외 운동기구,강원도 평창군 대관령면 차항리 92-20,37.697022,128.688845,4,허리돌리기+공중걷기+자전거타기+몸퉁흔들기,㈜가인조경,2018,평창군 대관령면사무소,033-330-2103,2022-09-30
대관령-18,용평연립 옆 소공원 운동기구,강원도 평창군 대관령면 횡계리 379-17,37.67648,128.70142,6,허리돌리기(입식)+허리돌리기(좌식)+옆으로 몸통흔들기+공중걷기+팔돌리기(큰)+팔돌리기(작은),SM VIEW TECH,2018,평창군 대관령면사무소,033-330-2103,2022-09-30
대관령-2,트레킹코스 알림판 앞 운동기구,강원도 평창군 대관령면 횡계리 670,37.680153,128.735997,14,어깨근육풀기+하늘걷기+온몸허리돌리기+마라톤운동+온몸근육풀기+온몸역기올리기,㈜케이엘에스,2008,평창군 대관령면사무소,033-330-2103,2022-09-30
대관령-3,119안전센터 맞은편,강원도 평창군 대관령면 횡계리 371-28,37.67182,128.702907,6,온몸허리돌리기+온몸허리돌리기+하늘걷기,㈜케이엘에스,2013,평창군 대관령면사무소,033-330-2103,2022-09-30
대관령-4,더마루 호텔 옆 운동기구(선진건설 옆 도로변 운동기구),강원도 평창군 대관령면 횡계리 661-36~38,37.671124,128.711007,12,옆파도타기+온몸허리돌리기+마라톤운동+등허리지압기+양팔줄당기기+하늘걷기,㈜케이엘에스,2014,평창군 대관령면사무소,033-330-2103,2022-09-30
