시설명,주소,기구수량,기구현황,담당부서
안동체육공원,경상남도 김해시 삼안로112번길 20-61 (안동),14,가로하늘타기(1)+다리뻗치기(3)+앉아밀기(1)+온몸허리돌리기(3)+윗몸일으키기(2)+하늘걷기(4),도시개발공사 체육시설관리팀
어방체육공원,경상남도 김해시 어방동 653,13,가로하늘타기(1)+구름다리(1)+다리걸이운동(1)+다리뻗치기(1)+철봉(1)+체조링(1)+팔굽혀펴기(1)+평행봉(1)+하늘걷기(1)+허리돌리기(2)+달리기+윗몸일으키기(1)+하늘걷기+어깨운동(1),도시개발공사 체육시설관리팀
분성체육공원,경상남도 김해시 동상동 분성산 일원,12,가로타기(2)+달리기(1)+양팔줄당기기(1)+어깨운동(1)+역기당기기(1)+역기밀기(1)+온몸노젖기(1)+하늘걷기(2)+허리돌리기(2),도시개발공사 체육시설관리팀
임호체육공원,경상남도 김해시 금관대로1134번길 4 (외동),7,다리뻗치기(1)+마라톤달리기(1)+양팔줄당기기(1)+역기내리기(1)+옆파도타기(1)+하늘걷기(1)+허리돌리기(1),도시개발공사 체육시설관리팀
임호체육공원(쌍용),경상남도 김해시 금관대로1134번길 4 (외동),13,양팔줄당기기(1)+역기들기(1)+스텝터(1)+허리돌리기(1)+역기당기기(1)+가로타기(1)+허리맛사지(2)+팔운동(1)+달리기(1)+온몸노젓기(1)+어깨운동(1)+윗몸일으키기(1),도시개발공사 체육시설관리팀
장유체육공원,경상남도 김해시 대청로 345길 (부곡동),8,가로타기(2)+달리기(1)+양팔줄당기기(2)+자전거타기(1)+하늘걷기(1)+허리돌리기(1),도시개발공사 체육시설관리팀
하키경기장,경상남도 김해시 인제로284번길 15-90 (삼방동),7,가로하늘타기(1)+달리기(1)+복근기르기(1)+앉아당기기(1)+팔관절운동(1)+하늘걷기(1)+허리돌리기(1),도시개발공사 체육시설관리팀
시민체육공원,경상남도 김해시 가야로 245 (구산동),2,달리기+허리돌리기(1)+어깨돌리기+하늘걷기(1),도시개발공사 체육시설관리팀
시민체육공원(사격장),경상남도 김해시 가야로 245 (구산동),10,나무오르기(2)+다리걸기(2)+윗몸일으키기(1)+철봉(1)+팔굽혀펴기(2)+허리돌리기(2),도시개발공사 체육시설관리팀
시민체육공원(암벽장),경상남도 김해시 가야로 245 (구산동),10,나무오르기(2)+다리걸기(2)+윗몸일으키기(1)+철봉(1)+팔굽혀펴기(2)+평행봉(1)+허리돌리기(1),도시개발공사 체육시설관리팀
삼안공원,경상남도 김해시 삼방동 26,7,등허리맛사지(2)+허리운동(2)+하늘걷기(1)+하늘걷기(1)+허리돌리기(3)+좌우파도타기(2)+양팔관절운동(2),공원녹지과
인제공원,경상남도 김해시 삼방동 161-2,2,하늘걷기(2)+허리돌리기(2),공원녹지과
제말공원,경상남도 김해시 삼방동 179-2,2,하늘걷기(2)+스테퍼(2),공원녹지과
문화공원,경상남도 김해시 삼방동 198,3,등허리맛사지(2)+양팔돌리기(2)+허리돌리기(2),공원녹지과
고천공원,경상남도 김해시 삼방동 233,3,스텝퍼(2)+허리돌리기(2)+하늘걷기(2),공원녹지과
신어1공원,경상남도 김해시 삼방동 563-8,3,하늘걷기(1)+노젖기(1)+등허리맛사지(2),공원녹지과
신어2공원,경상남도 김해시 삼방동 992-4,3,노젓기+허리돌리기+하늘걷기(2)+좌우파도타기(2),공원녹지과
신어공원,경상남도 김해시 삼방동 646,5,역기당기기(2)+팔운동(2)+하늘걷기(2)+허리돌리기(2)+스텝퍼(2)+,공원녹지과
삼방공원,경상남도 김해시 삼방동 674-1,7,팔운동(2)+허리운동(1)+윗몸일으키기(2)+역기당기기(2)+좌우파도타기(2)+하늘걷기(2)+허리돌리기(2),공원녹지과
정자공원,경상남도 김해시 삼방동 678-3,6,팔운동(2)+등허리맛사지(2)+양팔줄당기기(2)+하늘걷기(2)+허리돌리기(2)+달리기,공원녹지과
동원공원,경상남도 김해시 삼방동 690-2,3,허리돌리기(2)+스텝퍼(2)+하늘걷기(2),공원녹지과
한일공원,경상남도 김해시 삼방동 691-1,3,등허리맛사지(2)+하늘걷기(2)+허리돌리기(2),공원녹지과
