체육시설명,도로명주소,지번주소
그린환경센터 동네체육시설,경상북도 영천시 완산동  ,경상북도 영천시 완산동 81
영천강변공원 동네체육시설,경북 영천시 완산동 1048-3  ,경북 영천시 완산동 1048-3  
영천공설시장 고객건강증진센터,경상북도 영천시 완산동  ,경상북도 영천시 완산동 982-3
완산 5통 동네체육시설,경상북도 영천시 완산동  ,경상북도 영천시 완산동 1269-38
완산10통 동네체육시설,경상북도 영천시 완산동  ,경상북도 영천시 완산동 1090-13
완산3통 동네체육시설물,경상북도 영천시 완산2길 24(완산동) 완산3통 경로당,경상북도 영천시 완산동 966-17 완산3통 경로당
완산8통 동네체육시설,   ,경북 영천시 완산동 907-2  
은하맨션 동네체육시설물,경북 영천시 완산동 939-21  ,경북 영천시 완산동 939-21  
도남동 야외운동기구,경상북도 영천시 도남공단3길 96(도남동) 도남동 182,경상북도 영천시 도남동 193 화신정공 도남동 182
고지2리 동네체육시설,   ,경북 영천시 북안면 고지리 868  
용계리 동네체육시설,   ,경북 영천시 북안면 용계리 452  
신광2리 야외운동기구,경상북도 영천시 대창면 영지길 111  ,경상북도 영천시 대창면 신광리 705-1  
망정3통 체육시설,경북 영천시 망정동 523-1  ,경북 영천시 망정동 523-1 (229-1 인근)
대전 1동 마을회관,경상북도 영천시 대전길 121(대전동)  ,경상북도 영천시 대전동 365-1  
매양2리 동네체육시설,경북 영천시 신녕면 매양리 262  ,경북 영천시 신녕면 매양리 262  
부산1리 동네체육시설,경상북도 영천시 신녕면 부산직동길 62-11  ,경상북도 영천시 신녕면 부산리 1128  
부산2리 동네체육시설,경북 영천시 신녕면 부산리 668-10  ,경북 영천시 신녕면 부산리 668-10  
성환산공원,경북 영천시 신녕면 화성리 732-1  ,경북 영천시 신녕면 화성리 732-1 38856
연정1리 동네체육시설,   ,경북 영천시 신녕면 연정리 480  
연정2리 동네체육시설,경북 영천시 신녕면 연정리 546-1  ,경북 영천시 신녕면 연정리 546-1  
왕산2리 동네체육시설,경상북도 영천시 신녕면 왕산과수길 30-5  ,경상북도 영천시 신녕면 왕산리 1137-1  
치산1리 동네체육시설,경상북도 영천시 신녕면 신암길 17  ,경상북도 영천시 신녕면 치산리 1344-3  
치산2리 동네체육시설,경북 영천시 신녕면 치산리 산 216  ,경북 영천시 신녕면 치산리 산 216  
치산2리 동네체육시설,경북 영천시 신녕면 치산리 1965  ,경북 영천시 신녕면 치산리 1965  
화성3리 동네체육시설,경북 영천시 신녕면 화성리 847-16  ,경북 영천시 신녕면 화성리 847-16  
덕정리,경상북도 영천시 고경면 용담로 1522-17  ,경상북도 영천시 고경면 덕정리 247 덕정리마을회관 덕정리 마을회관 뒤뜰
상덕리 경로당 야외 체육시설,경상북도 영천시 고경면 양달길 30  ,경상북도 영천시 고경면 상덕리 410-2 상덕경로당  
계포리 동네체육시설물,경상북도 영천시 청통면 금송로 1097-66 계포리 경로당 앞마당,경상북도 영천시 청통면 계포리 산16 계포리 경로당 앞마당
치일2리 동네체육시설물,경상북도 영천시 청통면 부흥길 22-6  ,경상북도 영천시 청통면 치일리 22-7  
대전 1동 마을회관,경상북도 영천시 대전길 121(대전동)  ,경상북도 영천시 대전동 365-1  
우로지 자연생태공원 체육시설,경북 영천시 망정동 432  ,경북 영천시 망정동 432  
15통 체육시설(언하2동),경북 영천시 언하동 386-2  ,경북 영천시 언하동 386-2  
야사5통 체육시설,경상북도 영천시 새말1길 46(야사동)  ,경상북도 영천시 야사동 154-89  
조교1통 체육시설,경상북도 영천시 조흔달3길 18(조교동)  ,경상북도 영천시 조교동 309-2  
조교2통 체육시설,경상북도 영천시 장천1길 18-3(조교동)  ,경상북도 영천시 조교동 883-1 (883-70 인근)
관정1리 동네체육시설물,경상북도 영천시 금호읍 관황길 31  ,경상북도 영천시 금호읍 관정리 173-2  
구암리 동네체육시설물,경상북도 영천시 금호읍 칠백로 604-6 958-1,경상북도 영천시 금호읍 구암리 958-1 958-1
녹전1동 정자 앞,경상북도 영천시 녹전길 78-14(녹전동)  ,경상북도 영천시 녹전동 521  
