번호,기구명,개수,위치,설치연도,담당부서,비고
1,달리기,1,효동어린이공원(효목동 120-1),2019,대구광역시 동구청 공원녹지과,㈜미래파크
2,앉아밀기,1,효동어린이공원(효목동 120-1),2019,대구광역시 동구청 공원녹지과,㈜미래파크
3,말타기,1,효동어린이공원(효목동 120-1),2019,대구광역시 동구청 공원녹지과,㈜미래파크
4,가로하늘타기,1,효동어린이공원(효목동 120-1),2019,대구광역시 동구청 공원녹지과,㈜미래파크
5,큰활차,1,효동어린이공원(효목동 120-1),2019,대구광역시 동구청 공원녹지과,㈜미래파크
6,하늘걷기,1,효동어린이공원(효목동 120-1),2019,대구광역시 동구청 공원녹지과,㈜미래파크
7,허리돌리기,1,효동어린이공원(효목동 120-1),2019,대구광역시 동구청 공원녹지과,㈜미래파크
8,스텝사이클,1,효목어린이공원(효목동 409),2016,대구광역시 동구청 공원녹지과,㈜디자인파크개발
9,트리플트위스트,1,효목어린이공원(효목동 409),2016,대구광역시 동구청 공원녹지과,㈜디자인파크개발
10,체어풀,1,효목어린이공원(효목동 409),2016,대구광역시 동구청 공원녹지과,㈜디자인파크개발
11,크로스컨트리,1,효목어린이공원(효목동 409),2016,대구광역시 동구청 공원녹지과,㈜디자인파크개발
12,체어웨이트,1,효목어린이공원(효목동 409),2016,대구광역시 동구청 공원녹지과,㈜디자인파크개발
13,스텝사이클,1,망우당공원(효목동 산234-38),2011,대구광역시 동구청 공원녹지과,㈜디자인파크개발
14,워밍암,1,망우당공원(효목동 산234-38),2011,대구광역시 동구청 공원녹지과,㈜디자인파크개발
15,트리플트위스트,1,망우당공원(효목동 산234-38),2011,대구광역시 동구청 공원녹지과,㈜디자인파크개발
16,하늘걷기,1,망우당공원(효목동 산234-38),2011,대구광역시 동구청 공원녹지과,㈜디자인파크개발
17,허리돌리기,1,해맞이동산(효목동 212-23),2019,대구광역시 동구청 공원녹지과,㈜H&S 스포메딕
18,로프당기기,1,해맞이동산(효목동 212-23),2019,대구광역시 동구청 공원녹지과,㈜H&S 스포메딕
19,롤링웨이스트,2,해맞이동산(효목동 212-23),2019,대구광역시 동구청 공원녹지과,㈜디자인파크개발
20,스트레칭로라 ,1,해맞이동산(효목동 212-23),2019,대구광역시 동구청 공원녹지과,㈜디자인파크개발
21,워밍암,1,해맞이동산(효목동 212-23),2019,대구광역시 동구청 공원녹지과,㈜디자인파크개발
22,스텝사이클,1,해맞이동산(효목동 212-23),2019,대구광역시 동구청 공원녹지과,㈜디자인파크개발
23,체어풀,1,해맞이동산(효목동 212-23),2019,대구광역시 동구청 공원녹지과,㈜디자인파크개발
24,트리플트위스트,1,해맞이동산(효목동 212-23),2019,대구광역시 동구청 공원녹지과,㈜디자인파크개발
25,트윈바디싣업,2,해맞이동산(효목동 212-23),2019,대구광역시 동구청 공원녹지과,㈜디자인파크개발
26,풀웨이트,1,해맞이동산(효목동 212-23),2019,대구광역시 동구청 공원녹지과,㈜디자인파크개발
27,하늘걷기,1,해맞이동산(효목동 212-23),2019,대구광역시 동구청 공원녹지과,㈜디자인파크개발
28,핸들웨이트,1,해맞이동산(효목동 212-23),2019,대구광역시 동구청 공원녹지과,㈜디자인파크개발
29,트윈워밍암,1,해맞이동산(효목동 212-23),2019,대구광역시 동구청 공원녹지과,㈜디자인파크개발
30,허리돌리기,1,해맞이동산(효목동 212-23),2019,대구광역시 동구청 공원녹지과,
31,평행봉,1,해맞이동산(효목동 212-23),2019,대구광역시 동구청 공원녹지과,
32,팔다리 마사지,1,신천어린이공원(신천동 1504),2019,대구광역시 동구청 공원녹지과,㈜예건산업
33,허리 안마기,1,신천어린이공원(신천동 1505),2019,대구광역시 동구청 공원녹지과,㈜예건산업
34,전신 달리기,1,신천어린이공원(신천동 1506),2019,대구광역시 동구청 공원녹지과,㈜예건산업
35,전신 올리기,1,신천어린이공원(신천동 1507),2019,대구광역시 동구청 공원녹지과,㈜예건산업
36,윗몸 일으키기,1,신천어린이공원(신천동 1508),2019,대구광역시 동구청 공원녹지과,㈜예건산업
37,철봉,1,신천어린이공원(신천동 1509),2019,대구광역시 동구청 공원녹지과,㈜예건산업
38,다리 벌려 몸 굽히기,1,신천어린이공원(신천동 1510),2019,대구광역시 동구청 공원녹지과,㈜예건산업
39,허리돌리기,1,선진신암어린이공원(신암동 187-1),2018,대구광역시 동구청 공원녹지과,㈜미래파크
40,앉아밀기,1,선진신암어린이공원(신암동 187-1),2018,대구광역시 동구청 공원녹지과,㈜미래파크
41,큰활차,1,선진신암어린이공원(신암동 187-1),2018,대구광역시 동구청 공원녹지과,㈜미래파크
42,자전거,1,선진신암어린이공원(신암동 187-1),2018,대구광역시 동구청 공원녹지과,㈜미래파크
43,하늘걷기,1,선진신암어린이공원(신암동 187-1),2018,대구광역시 동구청 공원녹지과,㈜미래파크
44,앉아밀기,1,덕성어린이공원(신암동 282-2),2019,대구광역시 동구청 공원녹지과,㈜디자인파크개발
45,스트레칭로라 ,1,덕성어린이공원(신암동 282-2),2019,대구광역시 동구청 공원녹지과,㈜디자인파크개발
46,워밍암,1,덕성어린이공원(신암동 282-2),2019,대구광역시 동구청 공원녹지과,㈜디자인파크개발
47,트윈바디싣업,1,덕성어린이공원(신암동 282-2),2019,대구광역시 동구청 공원녹지과,㈜디자인파크개발
48,풀웨이트,1,덕성어린이공원(신암동 282-2),2019,대구광역시 동구청 공원녹지과,㈜디자인파크개발
49,크로스컨트리,1,신암어린이공원(신암동 669),2009,대구광역시 동구청 공원녹지과,㈜디자인파크개발
50,스텝사이클,1,신암어린이공원(신암동 669),2009,대구광역시 동구청 공원녹지과,㈜디자인파크개발
51,체어웨이트,1,신암어린이공원(신암동 669),2009,대구광역시 동구청 공원녹지과,㈜디자인파크개발
52,가로하늘타기,1,기상대기념공원(신암동 716-87),2021,대구광역시 동구청 공원녹지과,㈜미래파크
53,앉아밀기,1,기상대기념공원(신암동 716-87),2021,대구광역시 동구청 공원녹지과,㈜미래파크
54,팔관절운동,1,기상대기념공원(신암동 716-87),2021,대구광역시 동구청 공원녹지과,㈜미래파크
55,원그리기,1,기상대기념공원(신암동 716-87),2021,대구광역시 동구청 공원녹지과,㈜미래파크
56,달리기,1,기상대기념공원(신암동 716-87),2021,대구광역시 동구청 공원녹지과,㈜미래파크
57,하늘걷기,1,기상대기념공원(신암동 716-87),2021,대구광역시 동구청 공원녹지과,㈜미래파크
58,양팔줄당기기,1,기상대기념공원(신암동 716-87),2021,대구광역시 동구청 공원녹지과,㈜그린나래
59,허리돌리기,1,기상대기념공원(신암동 716-87),2021,대구광역시 동구청 공원녹지과,㈜그린나래
60,온몸허리돌리기,1,기상대기념공원(신암동 716-87),2021,대구광역시 동구청 공원녹지과,㈜케이엘에스
61,다리뻗치기,1,기상대기념공원(신암동 716-87),2021,대구광역시 동구청 공원녹지과,㈜케이엘에스
62,"등,허리지압기",1,기상대기념공원(신암동 716-87),2021,대구광역시 동구청 공원녹지과,㈜케이엘에스
63,온몸역기내리기,1,기상대기념공원(신암동 716-87),2021,대구광역시 동구청 공원녹지과,㈜케이엘에스
64,온몸근육풀기,1,기상대기념공원(신암동 716-87),2021,대구광역시 동구청 공원녹지과,㈜케이엘에스
65,옆타도타기,1,기상대기념공원(신암동 716-87),2021,대구광역시 동구청 공원녹지과,㈜케이엘에스
66,윗몸일으키기,1,기상대기념공원(신암동 716-87),2021,대구광역시 동구청 공원녹지과,㈜케이엘에스
67,온몸노젓기,1,기상대기념공원(신암동 716-87),2021,대구광역시 동구청 공원녹지과,㈜케이엘에스
