연번,시도명,시군구명,소재지 지번주소,설치장소,운동기구종류,수량,관리부서,관리부서연락처,데이터기준일자
1,대구광역시,북구,대구광역시 북구 검단동 1393,금호2교 동네체육시설,공중걷기 외5종,6,체육진흥과,053-665-3952,2022-06-13
2,대구광역시,북구,대구광역시 북구 검단동 887-144 일원,유성아파트 내 녹지대,공중걷기 외5종,14,체육진흥과,053-665-3952,2022-06-13
3,대구광역시,북구,대구광역시 북구 고성동1가 111-44 일원,철도변(고성동) 녹지대,달리기 외4종,10,체육진흥과,053-665-3952,2022-06-13
4,대구광역시,북구,대구광역시 북구 매천동 649 일원(87-1 인근),매천동 쉼터,공중걷기 외2종,3,체육진흥과,053-665-3952,2022-06-13
5,대구광역시,북구,대구광역시 북구 매천동 633-1 일원(매천동 199건너),소래실공원,공중걷기 외6종,7,체육진흥과,053-665-3952,2022-06-13
6,대구광역시,북구,대구광역시 북구 매천동 742,매천휴먼시아공원,공중걷기 외6종,8,체육진흥과,053-665-3952,2022-06-13
7,대구광역시,북구,대구광역시 북구 매천동 752,매천무지개공원,공중걷기 외3종,4,체육진흥과,053-665-3952,2022-06-13
8,대구광역시,북구,대구광역시 북구 매천동 727,송천공원,파도타기 외2종,3,체육진흥과,053-665-3952,2022-06-13
9,대구광역시,북구,대구광역시 북구 사수동 898,금호지구 유수지 체육시설,공중걷기 외5종,7,체육진흥과,053-665-3952,2022-06-13
10,대구광역시,북구,대구광역시 북구 금호동 879,새터공원,공중걷기 외1종,2,체육진흥과,053-665-3952,2022-06-13
11,대구광역시,북구,대구광역시 북구 매천동 671,매천근린공원,공중걷기 외4종,5,체육진흥과,053-665-3952,2022-06-13
12,대구광역시,북구,대구광역시 북구 사수동 788,내곡근린공원,공중걷기 외5종,6,체육진흥과,053-665-3952,2022-06-13
13,대구광역시,북구,대구광역시 북구 금호동 815,금호근린공원,공중걷기 외10종,11,체육진흥과,053-665-3952,2022-06-13
14,대구광역시,북구,대구광역시 북구 사수동 804,한강근린공원,공중걷기 외5종,6,체육진흥과,053-665-3952,2022-06-13
15,대구광역시,북구,대구광역시 북구 팔달동 220-9(매천대교 하단),팔달동 동네체육시설,공중걷기 외7종,8,체육진흥과,053-665-3952,2022-06-13
16,대구광역시,북구,대구광역시 북구 사수동 783,사수어린이공원,공중걷기 외2종,3,체육진흥과,053-665-3952,2022-06-13
17,대구광역시,북구,대구광역시 북구 장태실2길 55,관문동 방범초소옆,상체근육풀기 외3종,4,체육진흥과,053-665-3952,2022-06-13
18,대구광역시,북구,대구광역시 북구 노곡동 282-1(노곡교 옆),노곡동 쌈지공원,공중걷기 외5종,6,체육진흥과,053-665-3952,2022-06-13
19,대구광역시,북구,대구광역시 북구 노곡동 72-7,노곡동 동네체육시설(노곡터널고지배수시설),공중걷기 외3종,4,체육진흥과,053-665-3952,2022-06-13
20,대구광역시,북구,대구광역시 북구 사수동 811,한강근린공원,공중걷기 외3종,4,체육진흥과,053-665-3952,2022-06-13
21,대구광역시,북구,대구광역시 북구 금호동 227-4,문주경로당,공중걷기 외3종,4,체육진흥과,053-665-3952,2022-06-13
22,대구광역시,북구,대구광역시 북구 매천동 71,매남경로당,공중걷기 외2종,3,체육진흥과,053-665-3952,2022-06-13
23,대구광역시,북구,대구광역시 북구 관음동 1372,관음근린공원,공중걷기 외13종,32,체육진흥과,053-665-3952,2022-06-13
