시도명,시군구명,설치장소,주소,행정동명,운동기구명,수량,관리부서,관리부서연락처,설치년도,데이터기준
대구광역시,수성구,매호천,시지로 3길,시지동,윗몸일으키기,1,건설과,053-666-2995,2018,2023-04-12
대구광역시,수성구,매호천,시지로 3길,시지동,파도타기+역기올리기,1,건설과,053-666-2995,2018,2023-04-12
대구광역시,수성구,매호천,시지로 3길,시지동,노젓기운동+허리돌리기,1,건설과,053-666-2995,2018,2023-04-12
대구광역시,수성구,매호천,시지로 3길,시지동,등허리근육풀기,1,건설과,053-666-2995,2018,2023-04-12
대구광역시,수성구,구민운동장,동대구로50길 121-7,범어1동,평행봉,1,체육진흥과,053-666-2194,2019,2023-04-12
대구광역시,수성구,구민운동장,동대구로50길 121-7,범어1동,다리로밀기,1,체육진흥과,053-666-2194,2019,2023-04-12
대구광역시,수성구,구민운동장,동대구로50길 121-7,범어1동,다리근육풀기,1,체육진흥과,053-666-2194,2019,2023-04-12
대구광역시,수성구,구민운동장,동대구로50길 121-7,범어1동,윗몸일으키기,1,체육진흥과,053-666-2194,2019,2023-04-12
대구광역시,수성구,구민운동장,동대구로50길 121-7,범어1동,공중걷기,1,체육진흥과,053-666-2194,2019,2023-04-12
대구광역시,수성구,구민운동장,동대구로50길 121-7,범어1동,달리기운동,1,체육진흥과,053-666-2194,2019,2023-04-12
대구광역시,수성구,구민운동장,동대구로50길 121-7,범어1동,허리돌리기,1,체육진흥과,053-666-2194,2019,2023-04-12
대구광역시,수성구,구민운동장,동대구로50길 121-7,범어1동,등허리지압기,1,체육진흥과,053-666-2194,2019,2023-04-12
대구광역시,수성구,구민운동장,동대구로50길 121-7,범어1동,두팔노젖기,2,체육진흥과,053-666-2194,2019,2023-04-12
대구광역시,수성구,구민운동장,동대구로50길 121-7,범어1동,자전거타기,1,체육진흥과,053-666-2194,2019,2023-04-12
대구광역시,수성구,구민운동장,동대구로50길 121-7,범어1동,파도타기,1,체육진흥과,053-666-2194,2019,2023-04-12
대구광역시,수성구,구민운동장,동대구로50길 121-7,범어1동,큰활차머신양팔줄당기기,1,체육진흥과,053-666-2194,2019,2023-04-12
대구광역시,수성구,구민운동장,동대구로50길 121-7,범어1동,역기내리기,1,체육진흥과,053-666-2194,2019,2023-04-12
대구광역시,수성구,구민운동장,동대구로50길 121-7,범어1동,달리기운동,1,체육진흥과,053-666-2194,2019,2023-04-12
대구광역시,수성구,구민운동장,동대구로50길 121-7,범어1동,작은활차머신,1,체육진흥과,053-666-2194,2019,2023-04-12
대구광역시,수성구,구민운동장,동대구로50길 121-7,범어1동,역기올리기,1,체육진흥과,053-666-2194,2019,2023-04-12
대구광역시,수성구,구민운동장,동대구로50길 121-7,범어1동,등허리지압기,1,체육진흥과,053-666-2194,2019,2023-04-12
대구광역시,수성구,구민운동장,동대구로50길 121-7,범어1동,허리돌기기,1,체육진흥과,053-666-2194,2019,2023-04-12
대구광역시,수성구,구민운동장,동대구로50길 121-7,범어1동,거꾸로매달리기,1,체육진흥과,053-666-2194,2019,2023-04-12
대구광역시,수성구,구민운동장,동대구로50길 121-7,범어1동,클활차머신,1,체육진흥과,053-666-2194,2019,2023-04-12
대구광역시,수성구,구민운동장,동대구로50길 121-7,범어1동,파도타기,1,체육진흥과,053-666-2194,2019,2023-04-12
대구광역시,수성구,구민운동장,동대구로50길 121-7,범어1동,자전거타기,1,체육진흥과,053-666-2194,2019,2023-04-12
대구광역시,수성구,구민운동장,동대구로50길 121-7,범어1동,두팔노젖기,1,체육진흥과,053-666-2194,2019,2023-04-12
대구광역시,수성구,구민운동장,동대구로50길 121-7,범어1동,3단철봉(구형),1,체육진흥과,053-666-2194,2019,2023-04-12
대구광역시,수성구,구민운동장,동대구로50길 121-7,범어1동,평행봉(구형),1,체육진흥과,053-666-2194,2019,2023-04-12
대구광역시,수성구,동문고교,효행로 17,만촌1동,트윈바디싵업,1,체육진흥과,053-666-2194,2007,2023-04-12
대구광역시,수성구,동문고교,효행로 17,만촌1동,레그프레스,1,체육진흥과,053-666-2194,2007,2023-04-12
대구광역시,수성구,동문고교,효행로 17,만촌1동,스텝싸이클,1,체육진흥과,053-666-2194,2007,2023-04-12
대구광역시,수성구,동문고교,효행로 17,만촌1동,스트레칭로라,1,체육진흥과,053-666-2194,2007,2023-04-12
대구광역시,수성구,동문고교,효행로 17,만촌1동,워밍암,1,체육진흥과,053-666-2194,2007,2023-04-12
대구광역시,수성구,동문고교,효행로 17,만촌1동,롤링웨이스트,1,체육진흥과,053-666-2194,2007,2023-04-12
대구광역시,수성구,동문고교,효행로 17,만촌1동,크로스컨트리,1,체육진흥과,053-666-2194,2007,2023-04-12
대구광역시,수성구,동문고교,효행로 17,만촌1동,트윈트위스트,1,체육진흥과,053-666-2194,2007,2023-04-12
대구광역시,수성구,동문고교,효행로 17,만촌1동,평행봉(구형),1,체육진흥과,053-666-2194,2007,2023-04-12
대구광역시,수성구,수성대학교 후문,달구벌대로522길 97-7,만촌3동,작은활차+큰활차,1,체육진흥과,053-666-2194,2020,2023-04-12
대구광역시,수성구,수성대학교 후문,달구벌대로522길 97-7,만촌3동,등허리지압기,1,체육진흥과,053-666-2194,2020,2023-04-12
대구광역시,수성구,수성대학교 후문,달구벌대로522길 97-7,만촌3동,파도타기+허리돌리기,1,체육진흥과,053-666-2194,2020,2023-04-12
대구광역시,수성구,수성대학교 후문,달구벌대로522길 97-7,만촌3동,공중걷기+달리기,1,체육진흥과,053-666-2194,2020,2023-04-12
대구광역시,수성구,수성대학교 후문,달구벌대로522길 97-7,만촌3동,2단철봉,1,체육진흥과,053-666-2194,2021,2023-04-12
대구광역시,수성구,수성대학교 후문,달구벌대로522길 97-7,만촌3동,아래로당기기,1,체육진흥과,053-666-2194,2022,2023-04-12
대구광역시,수성구,삼익아파트,신천동로 278,수성1가,허리돌리기,1,체육진흥과,053-666-2194,2021,2023-04-12
대구광역시,수성구,삼익아파트,신천동로 278,수성1가,허리마사지,1,체육진흥과,053-666-2194,2021,2023-04-12
대구광역시,수성구,삼익아파트,신천동로 278,수성1가,가로하늘타기,1,체육진흥과,053-666-2194,2021,2023-04-12
대구광역시,수성구,삼익아파트,신천동로 278,수성1가,큰활차,1,체육진흥과,053-666-2194,2021,2023-04-12
대구광역시,수성구,삼익아파트,신천동로 278,수성1가,달리기,2,체육진흥과,053-666-2194,2021,2023-04-12
대구광역시,수성구,삼익아파트,신천동로 278,수성1가,하늘걷기,2,체육진흥과,053-666-2194,2021,2023-04-12
대구광역시,수성구,삼익아파트,신천동로 278,수성1가,말타기+윗몸일으키기,1,체육진흥과,053-666-2194,2021,2023-04-12
대구광역시,수성구,삼익아파트,신천동로 278,수성1가,거꾸로매달리기,1,체육진흥과,053-666-2194,2021,2023-04-12
대구광역시,수성구,삼익아파트,신천동로 278,수성1가,앉아당기기+앉아밀어주기,1,체육진흥과,053-666-2194,2021,2023-04-12
대구광역시,수성구,삼익아파트,신천동로 278,수성1가,앉아밀기,1,체육진흥과,053-666-2194,2021,2023-04-12
대구광역시,수성구,남산고,신천동로 364,수성1가,앉아밀기,1,체육진흥과,053-666-2194,2021,2023-04-12
대구광역시,수성구,남산고,신천동로 364,수성1가,자전거타기,1,체육진흥과,053-666-2194,2021,2023-04-12
대구광역시,수성구,남산고,신천동로 364,수성1가,팔관절+원그리기,1,체육진흥과,053-666-2194,2021,2023-04-12
대구광역시,수성구,남산고,신천동로 364,수성1가,앉아당기기+앉아밀어주기,1,체육진흥과,053-666-2194,2021,2023-04-12
대구광역시,수성구,대구교육청,수성로76길 11,"수성2,3가",허리돌리기,1,체육진흥과,053-666-2194,2021,2023-04-12
대구광역시,수성구,대구교육청,수성로76길 11,"수성2,3가",공중걷기,1,체육진흥과,053-666-2194,2021,2023-04-12
대구광역시,수성구,대구교육청,수성로76길 11,"수성2,3가",하체흔들기,1,체육진흥과,053-666-2194,2021,2023-04-12
