시도명,시군구명,관리번호,기구명,위치,주소,유형,담당부서
대구광역시,중구,문화교육과-001,트윈트위스트,신천교 조경지,동인동3가 406-12,도시공원,문화교육과
대구광역시,중구,문화교육과-002,트윈바디싵업,신천교 자전거 수리센터 앞,동인동 3가(신천둔치),신천둔치,문화교육과
대구광역시,중구,문화교육과-003,롤링웨이스트,신천교 자전거 수리센터 앞,동인동 3가(신천둔치),신천둔치,문화교육과
대구광역시,중구,문화교육과-004,워밍암,신천교 자전거 수리센터 앞,동인동 3가(신천둔치),신천둔치,문화교육과
대구광역시,중구,문화교육과-005,크로스컨트리,신천교 자전거 수리센터 앞,동인동 3가(신천둔치),신천둔치,문화교육과
대구광역시,중구,문화교육과-006,스트레칭로라,신천교 자전거 수리센터 앞,동인동 3가(신천둔치),신천둔치,문화교육과
대구광역시,중구,문화교육과-007,오버턴스트레칭,신천교 자전거 수리센터 앞,동인동 3가(신천둔치),신천둔치,문화교육과
대구광역시,중구,문화교육과-008,오버턴스트레칭,삼덕지하보도 앞,삼덕동 3가 377-3(신천둔치),신천둔치,문화교육과
대구광역시,중구,문화교육과-009,레그프레스,삼덕지하보도 앞,삼덕동 3가 377-3(신천둔치),신천둔치,문화교육과
대구광역시,중구,문화교육과-010,등허리지압기,삼덕지하보도 앞,삼덕동 3가 377-3(신천둔치),신천둔치,문화교육과
대구광역시,중구,문화교육과-011,롤링웨이스트,삼덕지하보도 앞,삼덕동 3가 377-3(신천둔치),신천둔치,문화교육과
대구광역시,중구,문화교육과-012,트윈트위스트,삼덕지하보도 앞,삼덕동 3가 377-3(신천둔치),신천둔치,문화교육과
대구광역시,중구,문화교육과-013,크로스컨트리,삼덕지하보도 앞,삼덕동 3가 377-3(신천둔치),신천둔치,문화교육과
대구광역시,중구,문화교육과-014,크로스컨트리,삼덕지하보도 앞,삼덕동 3가 377-3(신천둔치),신천둔치,문화교육과
대구광역시,중구,문화교육과-015,크로스컨트리,삼덕지하보도 앞,삼덕동 3가 377-3(신천둔치),신천둔치,문화교육과
대구광역시,중구,문화교육과-016,스텝사이클,삼덕지하보도 앞,삼덕동 3가 377-3(신천둔치),신천둔치,문화교육과
대구광역시,중구,문화교육과-017,워밍암,삼덕지하보도 앞,삼덕동 3가 377-3(신천둔치),신천둔치,문화교육과
대구광역시,중구,문화교육과-018,트윈바디싵업,삼덕지하보도 앞,삼덕동 3가 377-3(신천둔치),신천둔치,문화교육과
대구광역시,중구,문화교육과-019,롤링웨이스트,삼덕지하보도 앞,삼덕동 3가 377-3(신천둔치),신천둔치,문화교육과
대구광역시,중구,문화교육과-020,트윈트위스트,삼덕지하보도 앞,삼덕동 3가 377-3(신천둔치),신천둔치,문화교육과
대구광역시,중구,문화교육과-021,오버턴스트레칭,대봉교 체조광장 옆,대봉동 214-3(신천둔치),신천둔치,문화교육과
대구광역시,중구,문화교육과-022,크로스컨트리,대봉교 테니스장 옆,대봉동 665-1(신천둔치),신천둔치,문화교육과
대구광역시,중구,문화교육과-023,롤링웨이스트,대봉교 테니스장 옆,대봉동 665-1(신천둔치),신천둔치,문화교육과
대구광역시,중구,문화교육과-024,트윈트위스트,대봉교 테니스장 옆,대봉동 665-1(신천둔치),신천둔치,문화교육과
대구광역시,중구,문화교육과-025,워밍암,대봉교 테니스장 옆,대봉동 665-1(신천둔치),신천둔치,문화교육과
대구광역시,중구,문화교육과-026,트윈바디싵업,방천둑길 숲 조경지,대봉동 6-11,도시공원,문화교육과
대구광역시,중구,문화교육과-027,크로스컨트리,방천둑길 숲 조경지,대봉동 6-11,도시공원,문화교육과
대구광역시,중구,문화교육과-028,롤링웨이스트,방천둑길 숲 조경지,대봉동 6-11,도시공원,문화교육과
대구광역시,중구,문화교육과-029,트윈트위스트,청운맨션,동덕로 33,기타지역,문화교육과
대구광역시,중구,문화교육과-030,스텝사이클,청운맨션,동덕로 33,기타지역,문화교육과
대구광역시,중구,문화교육과-031,크로스컨트리,청운맨션,동덕로 33,기타지역,문화교육과
대구광역시,중구,문화교육과-032,워밍암,청운맨션,동덕로 33,기타지역,문화교육과
대구광역시,중구,문화교육과-033,트윈트위스트,청운맨션,동덕로 33,기타지역,문화교육과
대구광역시,중구,문화교육과-034,스트레칭로라,청운맨션,동덕로 33,기타지역,문화교육과
대구광역시,중구,문화교육과-035,워밍암,청운맨션,동덕로 33,기타지역,문화교육과
대구광역시,중구,문화교육과-036,크로스컨트리,청운맨션,동덕로 33,기타지역,문화교육과
대구광역시,중구,문화교육과-037,레그프레스,청운맨션,동덕로 33,기타지역,문화교육과
대구광역시,중구,문화교육과-038,롤링웨이스트,청운맨션,동덕로 33,기타지역,문화교육과
