행정동,설치장소,소재지지번주소,소재지도로명주소,설치운동기구,운동기구종류수,운동기구수,설치연도,데이터기준일자
대화동,천성원 뒤편언덕,대전광역시 대덕구 대화동 39-33,,크로스컨트리트윈트위스트,2,2,2011,2023-06-08
대화동,산업용재유통단지 인접 동산,대전광역시 대덕구 대화동 534-21,,"트위스트워밍쇼울더에어워킹스텝싸이클,레그프레스,풀웨이트,트윈바디싣업,체어풀에어서핑, 평행봉(2020)",10,10,2015,2023-06-08
덕암동,가칭: 덤바위공원(덕바위정),대전광역시 대덕구 상서동 산61-5,,허리돌리기등지치기바디싣업팔굽혀펴기철봉평행봉크로스컨트리앉아밀기롤링웨이스트,5,6,2004,2023-06-08
덕암동,지수체육공원,대전광역시 대덕구 상서동 산66-6,,에어워킹워밍쇼울더트위스트마사지로라,4,4,2003,2023-06-08
덕암동,청자마을 위 등산로 입구,대전광역시 대덕구 평촌동 산5-6,,롤링웨이스트크로스컨트리트윈트위스트(11.6),3,3,2011,2023-06-08
덕암동,상서동 830-6 앞 인도 옆,대전광역시 대덕구 상서동 830-6,대전광역시 대덕구 덕암로118번길 47 (상서동),롤링웨이스트레그프레스체어웨이트풀웨이트스텝사이클,5,5,2015,2023-06-08
덕암동,산막경로당 공터,대전광역시 대덕구 상서동 271-18,대전광역시 대덕구 신탄진로567번길 29 (상서동),트위스트마사지롤러+워밍쇼울더싸이클,3,3,2019,2023-06-08
덕암동,덤바위경로당,대전광역시 대덕구 덕암동 62-16,대전광역시 대덕구 덕암로181번길 39 (덕암동),트위스트,1,1,2018,2023-06-08
목상동,신일경로당 뒤,대전광역시 대덕구 신일동 21-7,대전광역시 대덕구 산업단지로97번길 66 (신일동),상체근육풀기(고급형)허리돌리기+파도타기SET,2,2,2013,2023-06-08
목상동,남해경로당,대전광역시 대덕구 목상동 213-4,대전광역시 대덕구 대덕대로1504번길 27 (목상동),트위스트마사지롤라+에어서핑,2,2,2017,2023-06-08
목상동,대덕문화체육관,대전광역시 대덕구 목상동 산6-2,대전광역시 대덕구 대덕대로1486번길 85 (목상동),워밍쇼올더거꾸로매달리기에어서핑+레그프레스,4,3,2020,2023-06-08
법2동,한마음아파트내,대전광역시 대덕구 법2동 188,대전광역시 대덕구 계족로664번길 27 (법동),트위스트+워밍숄더바디싯업+트위스트마사지롤러+워밍숄더마사지롤러+에어서핑레그프레스+에어워킹로우잉머신+체스트프레스,9,6,2021,2023-06-08
법2동,법동초등학교,대전광역시 대덕구 법2동 191-3,대전광역시 대덕구 계족로664번길 74 (법동),트위스트워밍쇼울더에어워킹에어서핑마사지롤라,5,5,2018,2023-06-08
비래동,비래초등학교,대전광역시 대덕구 비래 241-1,,크로스컨트리x2트윈트위스트롤링웨이스트x2체어웨이트풀웨이트체어풀트렁크웨이트,7,9,2005,2023-06-08
비래동,비래골느티나무,대전광역시 대덕구 비래 407,,롤링웨이스트트윈트위스트스텝사이클(2011.12)크로스컨트리(2011.12),4,6,2009,2023-06-08
비래동,남도약수터,대전광역시 대덕구 비래동 산8-4,,트위스트,1,1,2018,2023-06-08
석봉동,망골경로당,대전광역시 대덕구 석봉동 322-4,대전광역시 대덕구 석봉로44번안길 16 (석봉동),트위스트마사지롤러&에어서핑,2,2,2017,2023-06-08
송촌동,국유지 공터,대전광역시 대덕구 송촌동 246-18,,에어워킹트위스트마사지롤라워밍쇼올더자전거타기,5,5,0,2023-06-08
송촌동,송촌고등학교,대전광역시 대덕구 송촌동 507-9,,크로스컨트리트윈바디싣업2,2,3,2005,2023-06-08
송촌동,송촌전천후게이트볼장,대전광역시 대덕구 송촌동 166-9,,레그프레스+에어워킹트위스트,3,2,2017,2023-06-08
신탄진동,신탄진평생학습도서관,대전광역시 대덕구 신탄진동 150-9,대전광역시 대덕구 신탄진동로 64 (신탄진동),싸이클링스쿼드머신철봉,3,3,2018,2023-06-08
신탄진동,한국이연뒤쉼터,대전광역시 대덕구 신탄진동 261-3,,트위스트에어서핑,2,2,2009,2023-06-08
신탄진동,남경마을인근,대전광역시 대덕구 신탄진동 708-26,,트위스트워밍쇼울더레그프레스에어워킹,4,4,2010,2023-06-08
신탄진동,현도교 아래,대전광역시 대덕구 신탄진동(국지도32호),,트리플트위스트크로스컨트리노르딕머신에어서핑,4,4,2014,2023-06-08
신탄진동,석봉초등학교,대전광역시 대덕구 신탄진동 163-2,대전광역시 대덕구 신탄진남로 20 (신탄진동),허리돌리기파도타기공중걷기상체근육풀기앉아밀기윗몸일으키기,6,6,2012,2023-06-08
신탄진동,석봉구름다리 아래,대전광역시 대덕구 신탄진동 176-2,대전광역시 대덕구 신탄진로 783 (신탄진동),크로스컨트리롤링웨이스트트윈트위스트트윈바디싯업,4,4,2007,2023-06-08
신탄진동,대호건업 앞,대전광역시 대덕구 신탄진동 245-4,,마사지롤러+워밍숄더 레그프레스+에어워킹,4,2,2021,2023-06-08
신탄진동,삼정취수장 앞,대전광역시 대덕구 삼정동 산27-5,,바디싯업+트위스트에어서핑+레그프레스로우잉머신+체스트프레스노르딕머신+에어워킹에어워킹+트위스트,10,6,2020,2023-06-08
신탄진동,여수로 교각(미호교) 휴식 데크,대전광역시 대덕구 미호동 산49-2,,롤링웨이스트트윈워밍암트윈트위스트,3,3,2013,2023-06-08
신탄진동,새여울대우아파트 뒤편,대전광역시 대덕구 신탄진동 22-2,대전광역시 대덕구 대청로64번길 41 (신탄진동),에어워킹+노르딕머신워밍쇼울더+트위스트,2,2,2016,2023-06-08
