연번,행정동,시설명,상세주소,설치기구
1,가양1동,가양초등학교,대전광역시 동구 가양로 61,노르딕 머신+레그 프레스+에어 서핑+에어 워킹+허리 돌리기
2,가양1동,동부갱이경로당,대전광역시 동구 가양남로13번길 57,트위스트+마사지 롤러+워밍 쇼올더+에어서핑+
3,가양1동,아침마을아파트 103동 앞,대전광역시 동구 우암로 192,체어 웨이트+스텝 사이클+워밍암+허리 돌리기+자전거 타기
4,가양2동,가양큰솔아파트,대전광역시 동구 충정로18번길 60,워밍 쇼올더+마사지 롤러+레그 프레스+에어 워킹+
5,가양2동,남간정사 뒤(등산로),대전광역시 동구 가양동4-15,에어 워킹+상체 근육 풀기+에어 서핑+트위스트+노르딕 머신
6,가양2동,대주파크빌아파트,대전광역시 동구 충정로 136,바디 싯업+트위스트+에어 서핑+에어 워킹+싸이클링
7,가양2동,조일아파트,대전광역시 동구 충정로 5,역기 올리기+상체 근육 풀기+싸이클링+역기 내리기+오금 펴기
8,가양2동,흥룡초등학교,대전광역시 동구 동대전로256번길 21,크로스컨트리+체어 웨이트+트윈 트위스트+레그프레스+
9,대동,대동천하상 (煎 롯데마트옆 하상),대전광역시 동구 대동 162-2,트위스트+에어워킹+에어서핑++
10,대동,대전여자고등학교,대전광역시 동구 용운로1번길28-37,허리 돌리기+윗몸 일으키기+허리 돌리기+허리 운동기+하늘 걷기 2
11,대동,별장맨션,대전광역시 동구 대동28-24,워밍 쇼올더+바디 싯업+트위스트+에어서핑+마사지 롤러
12,대동,새들뫼아파트 1단지 (111동 옆),대전광역시 동구 계족로137,크로스 컨트리+바웨이트+터닝 트위스트++
13,대동,새들뫼아파트 2단지 (202동 옆),대전광역시 동구 계족로135,에어워킹+트위스트+싸이드 파도타기+상체 근육 풀기+
14,대동,한밭여중,대전광역시 동구 동대전로110번길74-57,싸이클링+노르딕 머신+워밍 쇼올더+마사지 롤러+바디 싯업
15,대청동,가래울노인회관,대전광역시 동구 추동477-19,마사지롤러+바디싯업+레그프레스+로우잉 머신+트위스트
16,대청동,비룡2동 마을회관,대전광역시 동구 비룡로13,양팔줄당기기+워밍쇼올더+트위스트+에어워킹+노르딕머신
17,대청동,세천동 76-1,대전광역시 동구 세천동 76-1,에어서핑+마사지롤러+자전거타기+트위스트+워밍쇼올더
18,대청동,세천동 다목적회관 옆,대전광역시 동구 세천로 3,트위스트+바디 싯업+마사지 롤러+에어 서핑+싸이클러
19,대청동,세천체육공원,대전광역시 동구 세천동 74-32,평행봉+평행봉+철봉(4단)+윗몸일으키기+철봉(낮은 3단)
20,대청동,주산동마을회관,대전광역시 동구 대청호수로337번길 49,워밍쇼올더+트위스트+양팔줄당기기+노르딕머신+에어워킹
21,대청동,주촌경로당,대전광역시 동구 회남로1085번길 19,공중걷기+파도타기+허리돌리기+등.허리지압기+
22,대청동,직동경로당,대전광역시 동구 냉천로 703,트위스트+워밍쇼울더+에어서핑+에어워킹+로우잉머신
23,대청동,천개동 향토회관,대전광역시 동구 천개동로251번길10,워밍쇼올더+에어서핑+체스트프레스+싸이클링+트위스트
24,대청동,효평경로당,대전광역시 동구 천개동로 451,노르딕 머신+에어워킹+에어서핑+레그프레스+트위스트
25,산내동,고산사 동네체육시설,대전광역시 동구 대성동 산15-1,워밍쇼울더+레그프레스+바디싯업+에어서핑+에어워킹
26,산내동,대별3교 게이트볼장 옆 하상,대전광역시 동구 대성동 400-35,마사지 롤러+워밍 쇼올더+에어 워킹+트위스트+
27,산내동,대별동 족구장 옆,대전광역시 동구 대별동 221-2번지,바디 싯업+트위스트+체스트 프레스+로우잉 머신+에어 서핑
28,산내동,대별동 초지공원 하상천 맞은편(목록에없음),대전광역시 동구 낭월동 288-147,거꾸로 매달리기+트위스트+워밍 쇼올더+에어 서핑+마사지 롤러
29,산내동,대성동 대성경로당,대전광역시 동구 대전로316번길 19,워밍 쇼올더+노르딕 머신+허리 돌리기+옆 파도타기+
30,산내동,대성동삼익세라믹 아파트 (108동 뒤),대전광역시 동구 대전로 340번길 20,에어 워킹+트위스트+싸이클링+마사지 롤러+노르딕 머신
31,산내동,동구청소년수련원,대전광역시 동구 상소동 375-1,트위스트+윗몸 일으키기+평행봉+철봉+
32,산내동,삼괴동 공주마을,대전광역시 동구 삼괴동 211-13,크로스 컨트리+워밍 쇼올더+마사지 롤러+바디 싯업+트위스트
33,산내동,소룡골아랫마을(하소룡골),대전광역시 동구 삼괴동 656-1,달리기 운동+옆 파도타기+큰 활차 머신+허리 돌리기+
34,산내동,소룡골윗마을(상소룡골),대전광역시 동구 삼괴동 696-4,달리기 운동+허리 돌리기+큰 활차 머신+옆 파도타기+
35,산내동,오투그란데아파트 105동 옆,대전광역시 동구 산내로 1375,에어 워킹+트위스트+싸이클링+마사지 롤러+워밍 쇼올더
36,산내동,이사동 사우당,대전광역시 동구 이사동 132-2,에어 서핑+워밍 쇼올더+에어 워킹+트위스트+
37,산내동,이사동제2경로당,대전광역시 동구 이사로 90-19,달리기 운동+하늘 걷기+허리 돌리기+옆 파도타기+등허리지압기
38,산내동,하소동 가목정마을,대전광역시 동구 하소동 448-1,큰활차머신+옆파도타기+하늘 걷기+작은 활차 머신+허리 돌리기
39,삼성동,보문고등학교뒤 하천변,대전광역시 동구 삼성동 315-1,트위스트+워밍쇼울더+에어서핑+에어워킹+거꾸로 매달리기
40,삼성동,삼성근린공원,대전광역시 동구 삼성동 478,마사지롤라+로르딕머신+양팔줄당기기+싸이클링+바디싯업
41,삼성동,삼성타운 1단지 (103동 뒤),대전광역시 동구 우암로133,큰활차머신+허리돌리기+옆파도타기+하늘걷기+달리기운동
42,삼성동,삼성타운 2단지 (202동 뒤),대전광역시 동구 우암로133-1,등허리지압기+큰 활차머신+역기올리기+역기올리기+하늘걷기
43,삼성동,솔랑마을아파트,대전광역시 동구 삼성동 369-1,트위스트+에어워킹+에어서핑+역기올리기+달리기운동
44,삼성동,현암초등학교,대전광역시 동구 현암로 19,에어서핑+트위스트+레그프레스+워밍쇼울더+마시지롤라
45,성남동,석촌마을아파트 (104동 앞 광장),대전광역시 동구 우암로 186,에어서핑+워밍쇼올더+마사지 롤러+에어워킹+레그 프레스
46,성남동,성남동 37-59,대전광역시 동구 성남동 37-59,마사지롤라+워밍쇼울더+노르딕머신+에어워킹+에어서핑
47,성남동,성남초등학교,대전광역시 동구 성남로32번길 5,등허리지압기+워밍 쇼올더+에어 서핑+레그 프레스+트위스트
48,성남동,큰솔아파트 뒷편,대전광역시 동구 삼성동 154-8,워밍 쇼올더+에어 워킹+에어 서핑++
49,성남동,효촌마을아파트 (204동 옆),대전광역시 동구 계족로368번길 11,바디 싯업+에어 워킹+마사지 롤러+트위스트+스쿼트 머신
50,신인동,신흥마을아파트 (105동),대전광역시 동구 옥천로 38,스쿼트머신+워밍쇼울더+마사지롤라+싸이클링+허리돌리기
51,신인동,어진마을아파트 (101동),대전광역시 동구 계족로 65,워밍쇼올더+트위스트+싸이클링+레그프레스+에어워킹
52,신인동,어진마을아파트 (103동),대전광역시 동구 계족로 65,스쿼트머신+백스트레칭+레그스트레치+허리돌리기+평행봉
53,신인동,어진마을아파트 (109동),대전광역시 동구 계족로 65,에어워킹+바디싯업+워밍쇼울더+싸이클링+마사지롤라
54,신인동,인동누리보듬아파트 입구옆 공원,대전광역시 동구 인동 175-64,로우잉머신+체스트프레스+바디싯업+트위스트+
55,신인동,인동물류창고 (뒤),대전광역시 동구 충무로190-24,자유철봉+마라톤운동+온몸허리돌리기+하늘걷기+
56,신인동,인동현대아파트 (108동 옆),대전광역시 동구 대전로 664,마시지롤라+트위스트+싸이클링+바디싯업+워밍쇼울더
57,용운동,꿈에그린아파트 114동 옆,대전광역시 동구 대학로50번길 53,마사지 롤러+워밍 쇼올더+트위스트+레그 프레스+에어 워킹
58,용운동,삼정하이츠,대전광역시 동구 동부로73번길 95,워밍 쇼올더+트위스트+에어워킹+에어서핑+
59,용운동,용방마을아파트 305동 앞,대전광역시 동구 용운로 80,전신 하늘 걷기+상체 근육 풀기+에어서핑+마사지 롤러+싸이클링
60,용운동,용수골 약수터,대전광역시 동구 용운동74-6,트위스트+바디 싯업+워밍 쇼올더+철봉+평행봉
61,용운동,용운고층아파트 204동 앞,대전광역시 동구 백룡로 138,에어 워킹+마사지 롤러+트위스트+에어서핑+바디 싯업
62,용전동,새피앙아파트 (101동),대전광역시 동구 홍도로46번길 20,트위스트+바디싯업+++
63,용전동,새피앙아파트 (102동),대전광역시 동구 홍도로46번길 20,에어워킹+마사지롤라+++
64,용전동,용전동 신동아아파트 10동뒤 언덕,대전광역시 동구 한밭대로1237번길 52,에어워킹+트위스트+싸이클링+워밍쇼울더+에어서핑
65,용전동,신동아아파트,대전광역시 동구 한밭대로1237번길 52,레그프레스+에어서핑+워밍쇼울더+트위스트+에어서핑
66,용전동,신진크로바아파트 (울타리 쪽),대전광역시 동구 계족로 443,트위스트+싸이클링+에어워킹++
67,용전동,용원경로당,대전광역시 동구 계족로489번길22-19,옆파도타기+달리기운동+큰활차머신+허리돌리기+
68,용전동,용전초등학교,대전광역시 동구 계족로505번길49,트위스트++++
69,용전동,큰솔아파트,대전광역시 동구 계족로512번길 42,워밍쇼울더+마사지롤라+레그프레스+에어워킹+
70,용전동,푸른아파트,대전광역시 동구 계족로512번길 96,워밍쇼울더+마사지롤라+레그프레스+에어워킹+허리돌리기
71,용전동,한숲아파트 (104동 뒤),대전광역시 동구 계족로488번길73,바디싯업+마사지롤라+트위스트+에어워킹+워밍쇼올더
72,자양동,대전시립중고등학교,대전광역시 동구 동대전로144번길 47,트위스트+에어워킹+워밍 쇼올더++
73,자양동,동광어린이공원,대전광역시 동구 자양동 94-6,트윈바디싯업+스트레칭로라+롤링웨이스트+트윈트위스트+크로스컨트리
74,자양동,동아마이스터고,대전광역시 동구 충정로 97 ,큰 활차 머신+풀 웨이트+레그 프레스+체어 웨이트+허리 돌릭
75,자양동,동아아파트 (106동 뒤 놀이터),대전광역시 동구 성동로 74,트위스트+스쿼트머신+에어워킹+마사지 롤러+사이클링
76,자양동,자양초등학교,대전광역시 동구 계족로 184-55,옆파도타기+다리뻗치기+하늘걷기+허리돌리기+바디싯업
77,중앙동,대동천 하상(소제동 298-2),대전광역시 동구 소제동 298-2,로우밍머신+에어워킹+에어서핑+바디싯업+트위스트
78,중앙동,대동천우안4길 74,대전광역시 동구 대동천우안4길 74,트위스트+에어서핑+++
79,판암1동,방주아파트 101동 놀이터,대전광역시 대전광역시 동구 판암동 328,공중걷기+파도타기+자전거타기+양팔줄당기기+작은활차머신
80,판암1동,삼정동 189-33번지,대전광역시 동구 삼정동 189-33번지,에어서핑+체스트프레스+워밍쇼올더+로우잉머신+
81,판암1동,삼징이 경로당,대전광역시 동구 삼정로 130번길 27,상체근육풀기+공중걷기+파도타기+허리돌리기+등.허리지압기
82,판암1동,옻샘약수터,대전광역시 동구 판암동38,롤링 웨이스트+레그 스트레치+스트레칭 롤러+철봉+줄 웨이트
83,판암1동,판암미리내아파트 102동 뒤,대전광역시 동구 동구청로203번길 35,트위스트+싸이클링+에어서핑+에어워킹+
84,판암1동,판암미리내아파트 104동 옆,대전광역시 동구 동구청로203번길 35,트위스트+싸이클링+에어워킹++
85,판암1동,판암주공1단지 108동 근처,대전광역시 동구 판암동 178,스쿼트 머신+트위스트+마사지 롤러+에어 워킹+바디 싯업
86,판암1동,판암주공3단지 302동옆,대전광역시 동구 판암동 314,체어 워이트+워밍암+롤링 웨이스트+레그 프레스+스트레칭 로라
87,판암2동,판암주공4단지 414동앞(목록에없음),대전광역시 동구 판암동 239-1,레그프레스+워밍암+허리돌리기++
88,판암2동,판암주공4단지 족구장옆,대전광역시 동구 동부로 56-7,크로스컨트리+메달리기+웨이스트+롤링웨이스트+트윈트위스트
89,판암2동,판암주공5단지 관리사무소 뒤,대전광역시 동구 동부로 73,크라임스텝피+크로스컨트리+트윈트위스트+스트레칭로라+워밍암
90,판암2동,판암주공6단지 602동 앞,대전광역시 동구 동부로55-58,크로스컨트리+레그프레스+워밍암+스트레칭로라+롤링웨이스트
91,판암2동,판암주공6단지 603동 옆,대전광역시 동구 동부로55-58,허리돌리기+하늘걷기+역기올리기+역기내리기+옆파도타기
92,홍도동,경성맨션아파트 1차,대전광역시 동구 동산초교로23번길 15,스쿼트머신+워밍쇼울더+싸이클링+트위스트+에어워킹
93,홍도동,서우홍도아파트,대전광역시 동구 동서대로 1579,에어워킹+트위스트+워밍쇼울더+싸이클링+에어서핑
94,홍도동,시영아파트 1동 옆,대전광역시 동구 대전로1002번길 24-4,역기내리기+파도타기+공중걷기+자전거타기+역기올리기
95,홍도동,시영아파트 3동 옆,대전광역시 동구 대전로1002번길 24-4,크로스컨트리+트위스트+++
96,홍도동,청룡아파트,대전광역시 동구 동산초교로22번길 17,에어워킹+트위스트+에어서핑+워밍쇼울더+싸이클링
97,홍도동,현암아파트,대전광역시 동구 대전로994번길 75,싸이클+풀웨이트+롤링웨이스트+크로스컨트리+워밍쇼울더
98,홍도동,현암아파트 후문 도로가,대전광역시 동구 홍도동 16-29,역기올리기+자전거타기+달리기운동++
99,효동,가오동 아이파크 3단지(303동 옆),대전광역시 동구 은어송로 117,바디 싯업+에어 워킹+트위스트+워밍 쇼올더+
100,효동,가오동 유성아파트,대전광역시 동구 대전로 470번길 25,레그 프레스+에어 워킹+워밍 쇼올더+트위스트+마사지 롤러
101,효동,가오주공1단지아파트 (101동),대전광역시 동구 대전로 448번길 11,마사리 롤러+싸이클링+바디 싯업+스쿼트 머신+트위스트
102,효동,대전맹학교,대전광역시 동구 은어송로 95,트위스트+바디 싯업+하늘 걷기+옆 파도타기+
103,효동,우미린아파트 (502동 옆),대전광역시 동구 은어송로100,바디 싯업+트위스트+마사지 롤러+레그 프레스+에어 워킹
104,효동,은어송1단지 (107동 옆),대전광역시 동구 동구청로67,레그 프레스+에어 워킹+마사지 롤러+에어 서핑+워밍 쇼올더
105,효동,효동현대아파트 (103동 옆),대전광역시 동구 대전로 646,트위스트+에어워킹+싸이클링+스쿼트 머신+에어 서핑
106,효동,효동현대아파트 (105동 옆),대전광역시 동구 대전로 646,바디 싯업+풀 웨이트+싸이클링+워밍 쇼올더+
107,효동,효동현대아파트 (106동 옆),대전광역시 동구 대전로 646,싸이클링+에어워킹+마사지 롤러++
108,효동,효동현대아파트 (109동 앞),대전광역시 동구 대전로 646,싸이클링+스쿼트머신+++
109,효동,효천경로당,대전광역시 동구 효천1길 69,마사지 롤러+에어 서핑+워밍 쇼올더+마사지 롤러+
