연번,소재지,공원명,주소,공중걷기 유형,파도타기 유형,허리돌리기 유형,상체근육풀기 유형,달리기 유형,역기올리기 유형,레그프레스 유형,어깨근육풀기 유형,윗몸일으키기 유형,역기내리기 유형,등허리지압기 유형,노젓기 유형,입식싸이클 유형,거꾸로매달리기 유형,하체근육풀기 유형,양팔줄당기기 유형,철봉 유형,평행봉 유형,스쿼트머신 유형,좌식싸이클 유형,팔굽혀펴기 유형
1,유성구,신성근린공원,대전 유성구 신성동 11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2
2,유성구,성두산근린공원,대전 유성구 구성동 20,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3,유성구,궁동근린공원,대전 유성구 궁동 390외 1필,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
4,유성구,엑스포근린공원,대전 유성구 전민동 46703,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
5,유성구,왕골근린공원,대전 유성구 전민동 46302,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,유성구,송강근린공원,대전 유성구 송강동 9,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
7,유성구,금성근린공원,대전 유성구 신성동 206,1,0,2,1,0,0,1,0,,0,2,0,1,0,0,0,0,0,0,1,0
8,유성구,진잠근린공원,대전 유성구 원내동 358,1,2,2,1,1,0,1,0,1,0,2,0,1,0,0,1,0,0,0,1,0
9,유성구,두루봉근린공원,대전 유성구 지족동 87106외 1필,2,2,2,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
10,유성구,은구비근린공원,대전 유성구 노은동 523외 1필,2,3,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0
11,유성구,갈마봉근린공원,대전 유성구 지족동 837,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
12,유성구,장현근린공원,대전 유성구 궁동 477,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,유성구,한샘근린공원,대전 유성구 대정동 305,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,유성구,소라실근린공원,대전 유성구 지족동 994,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,유성구,퇴고개근린공원,대전 유성구 하기동 543,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,유성구,장배기근린공원,대전 유성구 관평동 886 외1필,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,유성구,동화울수변근린공원,대전 유성구 관평동 771,2,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,유성구,덕명1근린공원,대전 유성구 덕명동 509,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,유성구,복용근린공원,대전 유성구 복용동 568,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,유성구,청벽산근린공원,대전 유성구 탑립동 712,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,유성구,용반들근린공원,대전 유성구 봉명동 102501,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
22,유성구,상대근린공원,대전 유성구 상대동 45802,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
23,유성구,천년근린공원,대전 유성구 상대동 486 외 1필,0,0,2,0,4,0,0,0,2,0,3,0,0,0,0,3,0,0,0,0,0
24,유성구,덜레기근린공원,대전 유성구 원신흥동 523외 1필,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
25,유성구,원내어린이공원,유성구 원내동 20605,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,유성구,청룡어린이공원,유성구 원내동 34007,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,유성구,봉명어린이공원,유성구 봉명동 45106,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,유성구,원골어린이공원,유성구 봉명동 560014,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29,유성구,구암어린이공원,유성구 봉명동 55705,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,유성구,진터어린이공원,유성구 구암동 609,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,유성구,들말어린이공원,유성구 봉명동 568020,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,유성구,인삼어린이공원,유성구 구암동 61406,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,유성구,방죽어린이공원,유성구 구암동 61801,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,유성구,창리어린이공원,유성구 구암동 58809,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,유성구,삼정어린이공원,유성구 구암동 60301,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,유성구,남산어린이공원,유성구 구암동 62801,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,유성구,봉암어린이공원,유성구 궁동 42801,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,유성구,어은어린이공원,유성구 어은동 108,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
39,유성구,활골어린이공원,유성구 궁동 7203,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,유성구,장수어린이공원,유성구 도룡동 398,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,유성구,주막어린이공원,유성구 신성동 390외 1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
