번호,명칭,설치기구종류,위치,운동기구 총계,담당부서,데이터기준일
1,도림천,큰활차(1)+등허리지압기(3)+윗몸일으키기(4)+허리돌리기(3)+양팔줄당기기(2)+역기올리기(4)+공중걷기(2)+마라톤(4)+철봉(1)+평행봉(3)+헬스핀(4)+공중걷기+허리돌리기(1)+트윈트위스트(2)+크로스컨트리(2)+롤링웨이스트(2)+워밍암(3)+자유평행봉(1)+매달리기(2)+역기내리기(2)+오금펴기(1)+스트레칭로라(2)+2인골반운동(1)+허리돌리기+등허리지압기(2)+워킹머신(1)+옆파도타기(1),신림동 808-126 ~ 구로교(구로디지털단지역)+(관악구 6.7km 관리),54,치수과,2023-05-03
2,관악산 야외식물원,등허리운동+뱃살운동+다리운동+허리운동+노젓기운동+괄약근운동+양다리운동+옆회전운동+평행봉,신림동 205-1  ,9,공원녹지과,2023-05-03
3,관악산 샘말공원,양다리운동+옆회전운동+원그리기운동+허리운동+노젓기운동+마라톤운동+팔올리기운동+하체단련기+팔내리기+허벅지운동+다리운동,대학20길 9 ,11,공원녹지과,2023-05-03
4,맨발공원,원그리기운동+팔내리기운동+옆회전운동+허리돌리기+역기+윗몸일으키기+평행봉+ 철봉+달리기운동+등허리지압기+스윙워커머신,신림동 산 27-5,14,공원녹지과,2023-05-03
5,제2구민운동장,원그리기운동+허리운동+옆회전운동+양다리운동+팔올리기운동+노젓기운동+뱃살운동,신림동 58-8,7,공원녹지과,2023-05-03
6,신림2-1배수지,철봉+역기+평행봉+자전거+오금펴기+원그리기+양회전+파도타기+달리기+등허리지압+허리돌리기+윗몸일으키기+노젓기+역기내리기+양팔줄당기기+허리돌리기,,13,공원녹지과,2023-05-03
7,봉천11배수지공원(놀이터부근),파도타기+등허리지압기+양다리운동+원그리기운동+팔올리기+허리운동,,6,공원녹지과,2023-05-03
8,봉천11배수지공원(배드민턴장부근),크로스컨트리+워밍암+롤링웨이트+윗몸일으키기+평행봉+2단철봉,,6,공원녹지과,2023-05-03
9,신림6배수지공원,윗몸일으키기+역기+철봉+평행봉+허리돌리기+원그리기운동+허리운동+팔내리기운동+양다리운동+옆회전운동+뱃살운동+팔올리기운동+노젓기운동+오금펴기운동+등허리지압기+양회전운동+괄약근운동+공중걷기+거꾸로매달리기+골반운동,,29,공원녹지과,2023-05-03
10, 선우공원,다리벌리기+스트레칭벤치+허리펴기+오금펴기+역기올리기+등펴기+달리기+공중걷기+윗몸일으키기+평행봉+허리돌리기+노젓기운동+원그리기운동+옆회전운동+역기운동+공중걷기+양팔줄당기기+파도타기,신림동 산 117-28,19,공원녹지과,2023-05-03
