실외운동기구설치주소,설치기구종류,담당부서,최근5년간설치현황,설치업체 운동기구 관리 횟수,고장여부
서울 광진구 자양4동 553-22,"공중걷기, 허리돌리기, 레그프레스",공원녹지과,수시설치 및 교체,수시점검,X
서울 광진구 능동 369-12,"허리돌리기, ",공원녹지과,수시설치 및 교체,수시점검,X
서울 광진구 능동 242-26,"공중걷기, 허리돌리기, 달리기, 역기올리기",공원녹지과,수시설치 및 교체,수시점검,X
서울 광진구 자양4동 784-2,"공중걷기, 파도타기, 허리돌리기, 상체근육풀기, 달리기, 역기올리기, 레그프레스, 윗몸일으키기, 등마사지기",공원녹지과,수시설치 및 교체,수시점검,X
서울 광진구 아차산로31길 14,"공중걷기, 파도타기, 허리돌리기, 상체근육풀기, 달리기, 철봉",공원녹지과,수시설치 및 교체,수시점검,X
서울 광진구 군자로3길 15,"공중걷기, 허리돌리기, 달리기, 윗몸일으키기",공원녹지과,수시설치 및 교체,수시점검,X
서울 광진구 동일로28길 16,"파도타기, 허리돌리기, 상체근육풀기",공원녹지과,수시설치 및 교체,수시점검,X
서울 광진구 아차산로25길 27,"공중걷기, 파도타기, 허리돌리기, 상체근육풀기, 달리기, 역기올리기",공원녹지과,수시설치 및 교체,수시점검,X
서울 광진구 동일로52길 27,"파도타기, 허리돌리기",공원녹지과,수시설치 및 교체,수시점검,X
서울 광진구 군자동 159-1,허리돌리기,공원녹지과,수시설치 및 교체,수시점검,X
서울 광진구 긴고랑로5길 10,"파도타기, 허리돌리기, 어깨근육풀기",공원녹지과,수시설치 및 교체,수시점검,X
서울 광진구 중곡2동 51-6,"공중걷기, 파도타기, 허리돌리기, 역기올리기, 어깨근육풀기, 양팔줄당기기",공원녹지과,수시설치 및 교체,수시점검,X
서울 광진구 동일로76나길 20,"공중곧기, 파도타기, 달리기",공원녹지과,수시설치 및 교체,수시점검,X
