연번,위치,상세위치,기구명,설치년월,설치년도,관리번호,행정동
1,우이천,수유교 아래(한일병원),거꾸로매달리기,2011.5,2011,우이천 1-1,쌍문3동
2,우이천,수유교 아래(한일병원),공중걷기,2019.10.,2019.10.,우이천 1-2,쌍문3동
3,우이천,수유교 아래(한일병원),좌우파도타기,2019.10.,2019.10.,우이천 1-3,쌍문3동
4,우이천,수유교 아래(한일병원),2인 윗몸일으키기,2007,2007,우이천 1-4,쌍문3동
5,우이천,수유교 아래(한일병원),3단철봉,2007,2007,우이천 1-5,쌍문3동
6,우이천,수유교 아래(한일병원),상체근육풀기,2018.3.,2018,우이천 1-6,쌍문3동
7,우이천,수유교 아래(한일병원),역기올리기+역기내리기,2018.3.,2018,우이천 1-7,쌍문3동
8,우이천,수유교 아래(한일병원),평형봉,2005,2005,우이천 1-8,쌍문3동
9,우이천,수유교 아래(한일병원),역기,2010,2010,우이천 1-9,쌍문3동
10,우이천,수유교 아래(분수대 주변),등허리지압기,2018.11.,2018.11,우이천 2-1,쌍문3동
11,우이천,수유교 아래(분수대 주변),2인 윗몸일으키기,2018.11.,2018.11.,우이천 2-2,쌍문3동
12,우이천,수유교 아래(분수대 주변),3단철봉,2015.7,2015,우이천 2-3,쌍문3동
13,우이천,수유교 아래(분수대 주변),팔굽혀펴기,2008,2008,우이천 2-4,쌍문3동
14,우이천,수유교 아래(분수대 주변),노젓기,2018.11.,2018.11.,우이천 2-5,쌍문3동
15,우이천,수유교 아래(분수대 주변),달리기,2018.11.,2018.11.,우이천 2-6,쌍문3동
16,우이천,수유교 아래(분수대 주변),2인 허리돌리기,2020.2.,2020.2.,우이천 2-7,쌍문3동
17,우이천,수유교 아래(분수대 주변),2인 허리돌리기,2020.2.,2020.2.,우이천 2-8,쌍문3동
18,우이천,수유교 아래(분수대 주변),파도타기,2020.2.,2020.2.,우이천 2-9,쌍문3동
19,우이천,수유교 아래(분수대 주변),오금펴기,2008,2008,우이천 2-10,쌍문3동
20,우이천,수유교 아래(분수대 주변),평행봉,2008,2008,우이천 2-11,쌍문3동
21,우이천,우이1교 아래,파도타기,2018.3.,2018,우이천 3-1,쌍문3동
22,우이천,우이1교 아래,역기올리기+역기내리기,2018.3.,2018,우이천 3-2,쌍문3동
23,우이천,우이1교 아래,역기올리기+역기내리기,2018.3.,2018,우이천 3-3,쌍문3동
24,우이천,우이1교 아래,달리기,2018.3.,2018,우이천 3-4,쌍문3동
25,우이천,우이1교 아래,2인 윗몸일으키기,2019.3,2019.3,우이천 3-5,쌍문3동
26,우이천,우이1교 아래,팔굽혀펴기,2008,2008,우이천 3-6,쌍문3동
27,우이천,우이1교 아래,오금펴기,2008,2008,우이천 3-7,쌍문3동
28,우이천,우이1교 아래,오금펴기,2018.3.,2018,우이천 3-8,쌍문3동
29,우이천,우이1교~ 번창교,달리기,2018.11.,2018.11.,우이천 4-1,창2동
30,우이천,우이1교~ 번창교,어깨유연성운동,2018.11.,2018.11.,우이천 4-2,창2동
31,우이천,우이1교~ 번창교,등허리지압기,2018.11.,2018.11.,우이천 4-3,창2동
