연번,부서명,공원명,주소,위도 ,경도 ,설치 운동기구 종류,업체 관리회수(월_회),고장난 운동기구,데이터기준일자
1,공원녹지과,노량진근린공원(대방공원),서울특별시 동작구 대방동 23-176,37.51085349,126.9295878,싱글워밍암머신+트렁크로라머신+트위스트머신+로윙라이더머신+써핑롤링머신+체스트업머신+체스트풀머신+워킹트레이너머신,수시관리,없음,2023-05-31
2,공원녹지과,노량진근린공원(대방공원),서울특별시 동작구 대방동 23-189,37.50775194,126.9267361,트위스트머신+로윙라이더머신+워킹트레이너머신+큰활차머신+로라맛사지머신+써핑롤링머신+체스트업머신+레그프레스머신+스윙워커머신,수시관리,없음,2023-05-31
3,공원녹지과,노량진근린공원(대방공원),서울특별시 동작구 대방동 350-2,37.50775194,126.9267361,레그프레스머신+워킹트레이너 2+거꾸리머신+온몸역기내리기+온몸역기올리기+양팔줄당기기+하체흔들기,수시관리,없음,2023-05-31
4,공원녹지과,노량진근린공원(대방공원),서울특별시 동작구 대방동 375-78,데이터 미집계,데이터 미집계,큰활차머신 2+로윙라이더머신+레그프레스머신+워킹트레이너머신+로라맛사지머신+스윙워커머신 2+써핑롤링머신+온몸역기내리기+온몸역기올리기+양팔줄당기기+온몸허리돌리기+윗몸일으키기+자유철봉,수시관리,없음,2023-05-31
5,공원녹지과,노량진근린공원(대방공원),서울특별시 동작구 상도동 335-207,데이터 미집계,데이터 미집계,싣업머신+트위스트머신+레그프레스머신+체스트업머신+로윙라이더머신+체스트풀머신+로라맛사지머신,수시관리,없음,2023-05-31
6,공원녹지과,노량진근린공원(대방공원),서울특별시 동작구 상도동 335-194,데이터 미집계,데이터 미집계,큰활차머신+스윙워커머신+레그프레스머신+위킹트레이너머신+써핑롤링머신+트위스트머신,수시관리,없음,2023-05-31
7,공원녹지과,노량진근린공원(장승공원),서울특별시 동작구 상도동 900-5,데이터 미집계,데이터 미집계,역기올리기2+다리뻗치기+자유평행봉+허리돌리기+윗몸일으키기+공중걷기,수시관리,없음,2023-05-31
8,공원녹지과,노량진근린공원(송학대),서울특별시 동작구 노량진동 325-2,데이터 미집계,데이터 미집계,로라맛사지머신+작은활차머신+싣업머신+로윙라이더머신+써핑롤링머신+온몸허리돌리기,수시관리,없음,2023-05-31
9,공원녹지과,노량진근린공원(고구동산),서울특별시 동작구 본동 산6-13,데이터 미집계,데이터 미집계,레그프레스머신+써핑롤링머신+트위스트머신+싣업머신+로라맛사지머신+싱글워밍암,수시관리,없음,2023-05-31
10,공원녹지과,노량진근린공원(고구동산),서울특별시 동작구 본동 126-456,데이터 미집계,데이터 미집계,온몸역기올리기+하늘걷기+옆파도타기+온몸허리돌리기,수시관리,없음,2023-05-31
11,공원녹지과,노량진근린공원(고구동산),서울특별시 동작구 본동 126-450,37.50832549,126.9537671,스윙워커머신+체스트업머신+트위스트머신+로라맛사지머신+싱글워밍암+스쿼트+시티드체스트프레스+버터플라이+이너싸이+숄더프레스+레그익스텐션+윗몸일으키기+거꾸로매달리기,수시관리,없음,2023-05-31
12,공원녹지과,사육신역사공원,서울특별시 동작구 노량진동 152-3,37.51345799,126.9494111,온몸허리돌리기+온몸노젓기+거꾸로매달리기+윗몸일으키기2+온몸역기올리기2+하늘걷기2,수시관리,없음,2023-05-31
13,공원녹지과,삼일근린공원,서울특별시 동작구 사당동 산24-17,37.48659191,126.9735224,역기내리기+공중걷기+등허리지압운동+달리기운동기구+자유철봉+윗몸일으키기+레그프레스+온몸허리돌리기+양팔줄당기기+거꾸로매달리기,수시관리,없음,2023-05-31
14,공원녹지과,까치산근린공원,서울특별시 동작구 사당동 산32-85,37.48229315,126.9623845,윗몸일으키기 2+온몸역기올리기+온몸역기내리기+마라톤운동+양팔줄당기기+온몸근육풀기+하체흔들기+등허리지압기+철봉운동기구+스윙워커머신+거꾸로매달리기,수시관리,없음,2023-05-31
15,공원녹지과,상도근린공원,서울특별시 동작구 상도동 산65-149,37.49543351,126.9405902,다리근육풀기+달리기운동+윗몸일으키기+어깨근육풀기+허리돌리기+등지압운동+매달려건너기+레그익스텐션+하체흔들기+숄더프레스+하이풀리+공중걷기+체스트프레스+입식헬스싸이클+온몸근육풀기+양팔줄당기기+철봉운동기구2+거꾸로매달리기+온몸역기내리기+온몸역기올리기,수시관리,없음,2023-05-31
16,공원녹지과,상도근린공원,서울특별시 동작구 상도동 산65-235,37.49243585,126.9433231,업도미널+레그익스텐션+레그프레스+하이풀리+시티드체스트프레스+버터플라이+온몸역기올리기+온몸역기내리기,수시관리,없음,2023-05-31
17,공원녹지과,상도근린공원,서울특별시 동작구 상도동 산76-1(사자암입구),데이터 미집계,데이터 미집계,레그프레스+윗몸일으키기+허리돌리기+달리기+하체흔들기,수시관리,없음,2023-05-31
18,공원녹지과,상도근린공원,서울특별시 동작구 상도동 산75-1,37.49411181,126.9375944,거꾸로매달리기,수시관리,없음,2023-05-31
