공원명,소재지지번주소,시설명,경도,위도,관리부서,조사일자
연희지하차도위휴식공간,서울특별시 서대문구 연희동 151-32,기타(체어풀),126.934158,37.576803,서대문구청 푸른도시과,2021-07-05
연희지하차도위휴식공간,서울특별시 서대문구 연희동 151-32,공중걷기,126.934127,37.576792,서대문구청 푸른도시과,2021-07-05
연희지하차도위휴식공간,서울특별시 서대문구 연희동 151-32,상체근육풀기,126.934164,37.576783,서대문구청 푸른도시과,2021-07-05
연희지하차도위휴식공간,서울특별시 서대문구 연희동 151-32,허리돌리기,126.934135,37.576773,서대문구청 푸른도시과,2021-07-05
연희지하차도위휴식공간,서울특별시 서대문구 연희동 151-32,기타(스텝사이클),126.934151,37.576791,서대문구청 푸른도시과,2021-07-05
다람쥐어린이공원,서울특별시 서대문구 연희동 151-49,윗몸일으키기,126.934473,37.575994,서대문구청 푸른도시과,2021-07-05
다람쥐어린이공원,서울특별시 서대문구 연희동 151-49,상체근육풀기,126.934454,37.576045,서대문구청 푸른도시과,2021-07-05
다람쥐어린이공원,서울특별시 서대문구 연희동 151-49,공중걷기,126.934456,37.576071,서대문구청 푸른도시과,2021-07-05
홍연소공원,서울특별시 서대문구 연희동 723-15,등허리지압기,126.93246,37.576124,서대문구청 푸른도시과,2021-07-05
홍연소공원,서울특별시 서대문구 연희동 723-15,공중걷기,126.932452,37.57616,서대문구청 푸른도시과,2021-07-05
홍연소공원,서울특별시 서대문구 연희동 723-15,역기올리기,126.932487,37.576187,서대문구청 푸른도시과,2021-07-05
홍연소공원,서울특별시 서대문구 연희동 723-15,파도타기,126.932516,37.576177,서대문구청 푸른도시과,2021-07-05
홍연소공원,서울특별시 서대문구 연희동 723-15,기타(양팔줄당기기),126.932517,37.576185,서대문구청 푸른도시과,2021-07-05
홍연소공원,서울특별시 서대문구 연희동 723-15,파도타기,126.932562,37.576198,서대문구청 푸른도시과,2021-07-05
홍연소공원,서울특별시 서대문구 연희동 723-15,기타(물구나무),126.932598,37.5762,서대문구청 푸른도시과,2021-07-05
홍연소공원,서울특별시 서대문구 연희동 723-15,허리돌리기,126.932598,37.576198,서대문구청 푸른도시과,2021-07-05
궁뜰어린이공원,서울특별시 서대문구 연희동 123-5,기타(철봉),126.930317,37.569082,서대문구청 푸른도시과,2021-07-06
궁뜰어린이공원,서울특별시 서대문구 연희동 123-5,허리돌리기,126.930323,37.569092,서대문구청 푸른도시과,2021-07-06
궁뜰어린이공원,서울특별시 서대문구 연희동 123-5,상체근육풀기,126.93031,37.569121,서대문구청 푸른도시과,2021-07-06
궁뜰어린이공원,서울특별시 서대문구 연희동 123-5,기타,126.930327,37.569072,서대문구청 푸른도시과,2021-07-06
궁뜰어린이공원,서울특별시 서대문구 연희동 123-5,공중걷기,126.930289,37.569101,서대문구청 푸른도시과,2021-07-06
궁뜰어린이공원,서울특별시 서대문구 연희동 123-5,파도타기,126.930294,37.569098,서대문구청 푸른도시과,2021-07-06
궁말어린이공원,서울특별시 서대문구 연희동 86-3,공중걷기,126.933655,37.571179,서대문구청 푸른도시과,2021-07-06
궁말어린이공원,서울특별시 서대문구 연희동 86-3,상체근육풀기,126.933675,37.571167,서대문구청 푸른도시과,2021-07-06
대궐재어린이공원,서울특별시 서대문구 연희동 73-8,역기올리기,126.937132,37.574129,서대문구청 푸른도시과,2021-07-06
대궐재어린이공원,서울특별시 서대문구 연희동 73-8,기타(레그프레스),126.937062,37.574148,서대문구청 푸른도시과,2021-07-06
