시도명,시군구명,공원명,주소,운동기구명,수량,관리번호,데이터기준
서울특별시,서초구,뒷벌어린이공원,방배동 821-1,자유철봉,1,02-2155-6864,2022-08-04
서울특별시,서초구,뒷벌어린이공원,방배동 821-1,철봉(3단),1,02-2155-6864,2022-08-04
서울특별시,서초구,뒷벌어린이공원,방배동 821-1,평행봉,1,02-2155-6864,2022-08-04
서울특별시,서초구,뒷벌어린이공원,방배동 821-1,싸이드파도타기,1,02-2155-6864,2022-08-04
서울특별시,서초구,뒷벌어린이공원,방배동 821-1,터닝암,1,02-2155-6864,2022-08-04
서울특별시,서초구,뒷벌어린이공원,방배동 821-1,하늘걷기,1,02-2155-6864,2022-08-04
서울특별시,서초구,뒷벌어린이공원,방배동 821-1,윗몸일으키기,1,02-2155-6864,2022-08-04
서울특별시,서초구,뒷벌어린이공원,방배동 821-1,허리돌리기,2,02-2155-6864,2022-08-04
서울특별시,서초구,뒷벌어린이공원,방배동 821-1,온몸역기올리기,1,02-2155-6864,2022-08-04
서울특별시,서초구,뒷벌어린이공원,방배동 821-1,거꾸로매달리기,1,02-2155-6864,2022-08-04
서울특별시,서초구,뒷벌어린이공원,방배동 821-1,다리들어올리기,1,02-2155-6864,2022-08-04
서울특별시,서초구,뒷벌어린이공원,방배동 821-1,역기올리기,1,02-2155-6864,2022-08-04
서울특별시,서초구,뒷벌어린이공원,방배동 821-1,누워역기,1,02-2155-6864,2022-08-04
서울특별시,서초구,뒷벌어린이공원,방배동 821-1,하체근육풀기,1,02-2155-6864,2022-08-04
서울특별시,서초구,뒷벌어린이공원,방배동 821-1,상체근육풀기,1,02-2155-6864,2022-08-04
서울특별시,서초구,뒷벌어린이공원,방배동 821-1,어깨근육풀기,1,02-2155-6864,2022-08-04
서울특별시,서초구,뒷벌어린이공원,방배동 821-1,다리근육운동,1,02-2155-6864,2022-08-04
서울특별시,서초구,뒷벌어린이공원,방배동 821-1,등허리지압기,1,02-2155-6864,2022-08-04
서울특별시,서초구,뒷벌어린이공원,방배동 821-1,복부강화운동,1,02-2155-6864,2022-08-04
서울특별시,서초구,뒷벌어린이공원,방배동 821-1,제자리걷기,1,02-2155-6864,2022-08-04
서울특별시,서초구,뒷벌어린이공원,방배동 821-1,상체원그리기,1,02-2155-6864,2022-08-04
서울특별시,서초구,뒷벌어린이공원,방배동 821-1,가슴운동,1,02-2155-6864,2022-08-04
서울특별시,서초구,뒷벌어린이공원,방배동 821-1,역기올리기,1,02-2155-6864,2022-08-04
서울특별시,서초구,뒷벌어린이공원,방배동 821-1,온몸역기내리기,1,02-2155-6864,2022-08-04
서울특별시,서초구,뒷벌어린이공원,방배동 821-1,허리돌리기,1,02-2155-6864,2022-08-04
서울특별시,서초구,뒷벌어린이공원,방배동 821-1,다리쭉뻗치기,1,02-2155-6864,2022-08-04
서울특별시,서초구,방현어린이공원,방배동 537-50,싸이드파도타기,1,02-2155-6864,2022-08-04
서울특별시,서초구,방현어린이공원,방배동 537-50,온몸근육풀기,1,02-2155-6864,2022-08-04
서울특별시,서초구,방현어린이공원,방배동 537-50,온몸허리돌리기,1,02-2155-6864,2022-08-04
서울특별시,서초구,방현어린이공원,방배동 537-50,온몸역기올리기,1,02-2155-6864,2022-08-04
서울특별시,서초구,방현어린이공원,방배동 537-50,하늘걷기,1,02-2155-6864,2022-08-04
서울특별시,서초구,방현어린이공원,방배동 537-50,양팔줄당기기,1,02-2155-6864,2022-08-04
서울특별시,서초구,동덕어린이공원,방배동 593-43,제자리걷기,1,02-2155-6864,2022-08-04
서울특별시,서초구,동덕어린이공원,방배동 593-43,허리돌리기,1,02-2155-6864,2022-08-04
서울특별시,서초구,동덕어린이공원,방배동 593-43,상체원그리기,1,02-2155-6864,2022-08-04
서울특별시,서초구,청두어린이공원,방배동 463-14,온몸허리돌리기,2,02-2155-6864,2022-08-04
서울특별시,서초구,청두어린이공원,방배동 463-14,마라톤,2,02-2155-6864,2022-08-04
서울특별시,서초구,청두어린이공원,방배동 463-14,싸이드파도타기,1,02-2155-6864,2022-08-04
서울특별시,서초구,청두어린이공원,방배동 463-14,양팔줄당기기,1,02-2155-6864,2022-08-04
서울특별시,서초구,청두어린이공원,방배동 463-14,등허리지압기,1,02-2155-6864,2022-08-04
서울특별시,서초구,청두어린이공원,방배동 463-14,자유철봉,1,02-2155-6864,2022-08-04
서울특별시,서초구,청두어린이공원,방배동 463-14,하늘걷기,1,02-2155-6864,2022-08-04
서울특별시,서초구,청두어린이공원,방배동 463-14,어깨근육풀기,1,02-2155-6864,2022-08-04
서울특별시,서초구,새말어린이공원,방배동 794-16,철봉,1,02-2155-6864,2022-08-04
서울특별시,서초구,새말어린이공원,방배동 794-16,마라톤+온몸허리돌리기,1,02-2155-6864,2022-08-04
서울특별시,서초구,새말어린이공원,방배동 794-16,온몸근육풀기,1,02-2155-6864,2022-08-04
서울특별시,서초구,새말어린이공원,방배동 794-16,하늘걷기,1,02-2155-6864,2022-08-04
서울특별시,서초구,새말어린이공원,방배동 794-16,윗몸일으키기,1,02-2155-6864,2022-08-04
