기관명,실외운동기구설치주소,설치기구종류(개수),개수,담당부서,최근5년간설치현황,설치업체 운동기구 관리 횟수,고장난 실외운동기구,장소
서울특별시 양천구,서울특별시 양천구 신정동 1319-2,터닝암+마사지롤+복합형+파워싸이클+크로스워킹+스카이워킹+사이드스윙+레그프레스,8,문화체육과,2017 설치,수시점검,없음,연의체육공원
서울특별시 양천구,서울특별시 양천구 안양천로 711,워킹트레이너머신+트위스트머신+스윙워커머신+오버헤드풀리머신,4,문화체육과,2018 설치,수시점검,없음,해누리체육공원
서울특별시 양천구,서울특별시 양천구 목2동 산7-1 외 41,,69,공원녹지과,2022 설치,수시점검,없음,용왕산근린공원
서울특별시 양천구,서울특별시 양천구 신정7동 산73-4 외 40,,35,공원녹지과,,수시점검,없음,갈산근린공원
서울특별시 양천구,서울특별시 양천구 신정3동 44-2 외 65,,112,공원녹지과,2022 설치,수시점검,없음,계남근린공원
서울특별시 양천구,서울특별시 양천구 신월동 산85-4,,48,공원녹지과,,수시점검,없음,온수근린공원
서울특별시 양천구,서울특별시 양천구 목1동 925-1,,4,공원녹지과,,수시점검,없음,무지개어린이공원
서울특별시 양천구,서울특별시 양천구 목3동 712-1,,3,공원녹지과,2020 설치,수시점검,없음,무궁화어린이공원
서울특별시 양천구,서울특별시 양천구 목3동 611-1,,3,공원녹지과,,수시점검,없음,한두어린이공원
서울특별시 양천구,서울특별시 양천구 목3동 646-23,,8,공원녹지과,,수시점검,없음,백석어린이공원
서울특별시 양천구,서울특별시 양천구 목4동 772-1,,3,공원녹지과,,수시점검,없음,모세미어린이공원
서울특별시 양천구,서울특별시 양천구 목4동 791-22,,5,공원녹지과,,수시점검,없음,마장어린이공원
서울특별시 양천구,서울특별시 양천구 목4동 767-1,,6,공원녹지과,,수시점검,없음,정목어린이공원
서울특별시 양천구,서울특별시 양천구 목4동 724-1,,8,공원녹지과,,수시점검,없음,나말어린이공원
서울특별시 양천구,서울특별시 양천구 목5동 903-2,,5,공원녹지과,,수시점검,없음,영도어린이공원
서울특별시 양천구,서울특별시 양천구 목5동 904-1,,8,공원녹지과,,수시점검,없음,진달래어린이공원
서울특별시 양천구,서울특별시 양천구 목5동 913-1,,10,공원녹지과,,수시점검,없음,은하수어린이공원
서울특별시 양천구,서울특별시 양천구 목5동 912-1,,9,공원녹지과,,수시점검,없음,장미어린이공원
서울특별시 양천구,서울특별시 양천구 목5동 901-2,,11,공원녹지과,,수시점검,없음,햇님어린이공원
서울특별시 양천구,서울특별시 양천구 목5동 902-2,,8,공원녹지과,,수시점검,없음,별님어린이공원
서울특별시 양천구,서울특별시 양천구 목5동 911-5,,10,공원녹지과,,수시점검,없음,달님어린이공원
서울특별시 양천구,서울특별시 양천구 신월1동 240,,3,공원녹지과,,수시점검,없음,신월어린이공원
서울특별시 양천구,서울특별시 양천구 신월1동 119,,3,공원녹지과,,수시점검,없음,돌다리어린이공원
서울특별시 양천구,서울특별시 양천구 신월1동 100-1,,6,공원녹지과,,수시점검,없음,신대어린이공원
서울특별시 양천구,서울특별시 양천구 신월2동 459,,4,공원녹지과,2020,수시점검,없음,신곡어린이공원
서울특별시 양천구,서울특별시 양천구 신월2동 486,,3,공원녹지과,,수시점검,없음,신장어린이공원
서울특별시 양천구,서울특별시 양천구 신월2동 471,,4,공원녹지과,,수시점검,없음,꽃동산어린이공원
서울특별시 양천구,서울특별시 양천구 신월3동 196,,7,공원녹지과,,수시점검,없음,경인어린이공원
서울특별시 양천구,서울특별시 양천구 신월3동 156,,5,공원녹지과,2021,수시점검,없음,남부어린이공원
서울특별시 양천구,서울특별시 양천구 신월4동 515,,4,공원녹지과,,수시점검,없음,문화어린이공원
서울특별시 양천구,서울특별시 양천구 신월4동 531,,4,공원녹지과,,수시점검,없음,꿀벌어린이공원
서울특별시 양천구,서울특별시 양천구 신월4동 422-1,,3,공원녹지과,,수시점검,없음,태양어린이공원
서울특별시 양천구,서울특별시 양천구 신월4동 426-4,,3,공원녹지과,2021,수시점검,없음,남도어린이공원
서울특별시 양천구,서울특별시 양천구 신월4동 542,,4,공원녹지과,,수시점검,없음,당곡어린이공원
서울특별시 양천구,서울특별시 양천구 신월5동 73-2,,3,공원녹지과,,수시점검,없음,신오어린이공원
서울특별시 양천구,서울특별시 양천구 신월5동 13-1,,7,공원녹지과,,수시점검,없음,당뒤어린이공원
서울특별시 양천구,서울특별시 양천구 신월5동 56-1,,5,공원녹지과,,수시점검,없음,방아다리어린이공원
서울특별시 양천구,서울특별시 양천구 신월6동 1012-2,,4,공원녹지과,,수시점검,없음,강신어린이공원
서울특별시 양천구,서울특별시 양천구 신월6동 1004,,10,공원녹지과,,수시점검,없음,강월어린이공원
서울특별시 양천구,서울특별시 양천구 신월7동 922-1,,7,공원녹지과,,수시점검,없음,아동어린이공원
서울특별시 양천구,서울특별시 양천구 신월7동 985,,5,공원녹지과,,수시점검,없음,금실어린이공원
서울특별시 양천구,서울특별시 양천구 신정1동 1017-5,,4,공원녹지과,,수시점검,없음,해태어린이공원
서울특별시 양천구,서울특별시 양천구 신정1동 1050-3,,6,공원녹지과,,수시점검,없음,양명어린이공원
서울특별시 양천구,서울특별시 양천구 신정1동 313-2,,5,공원녹지과,,수시점검,없음,꽃사과어린이공원
서울특별시 양천구,서울특별시 양천구 신정1동 312-2,,3,공원녹지과,,수시점검,없음,개나리어린이공원
서울특별시 양천구,서울특별시 양천구 신정1동 311-1,,4,공원녹지과,,수시점검,없음,꿈나무어린이공원
서울특별시 양천구,서울특별시 양천구 신정2동 119-3,,3,공원녹지과,,수시점검,없음,신세계어린이공원
서울특별시 양천구,서울특별시 양천구 신정3동 1195,,4,공원녹지과,,수시점검,없음,꽃사슴어린이공원
서울특별시 양천구,서울특별시 양천구 신정3동 1260,,4,공원녹지과,,수시점검,없음,신기어린이공원
서울특별시 양천구,서울특별시 양천구 신정3동 1283-1,,3,공원녹지과,,수시점검,없음,푸른어린이공원
서울특별시 양천구,서울특별시 양천구 신정3동 1284-1,,7,공원녹지과,,수시점검,없음,신이어린이공원
서울특별시 양천구,서울특별시 양천구 신정3동 1293-4,,5,공원녹지과,,수시점검,없음,학마을어린이공원
서울특별시 양천구,서울특별시 양천구 신정3동 1322-10,,2,공원녹지과,,수시점검,없음,숲속어린이공원
서울특별시 양천구,서울특별시 양천구 신정4동 975-30,,7,공원녹지과,,수시점검,없음,은행정어린이공원
서울특별시 양천구,서울특별시 양천구 신정4동 955-1,,6,공원녹지과,,수시점검,없음,새뚝어린이공원
서울특별시 양천구,서울특별시 양천구 신정4동 949-4,,4,공원녹지과,,수시점검,없음,안산어린이공원
서울특별시 양천구,서울특별시 양천구 신정4동 990-1,,3,공원녹지과,,수시점검,없음,아랫말어린이공원
서울특별시 양천구,서울특별시 양천구 신정4동 888-1,,3,공원녹지과,,수시점검,없음,오구어린이공원
서울특별시 양천구,서울특별시 양천구 신정4동 910-9,,4,공원녹지과,,수시점검,없음,앞산어린이공원
서울특별시 양천구,서울특별시 양천구 신정4동 936-13,,5,공원녹지과,,수시점검,없음,음골어린이공원
서울특별시 양천구,서울특별시 양천구 신정4동 876-1,,4,공원녹지과,,수시점검,없음,동개울어린이공원
서울특별시 양천구,서울특별시 양천구 신정4동 896-22,,4,공원녹지과,,수시점검,없음,홍익어린이공원
서울특별시 양천구,서울특별시 양천구 신정4동 920-3,,4,공원녹지과,,수시점검,없음,진주어린이공원
서울특별시 양천구,서울특별시 양천구 신정6동 314-1,,3,공원녹지과,,수시점검,없음,꿈동산어린이공원
서울특별시 양천구,서울특별시 양천구 신정6동 327-1,,3,공원녹지과,,수시점검,없음,다람쥐어린이공원
