장소,위도,경도,설치기구,설치연도,관리업체명,관리업체 전화번호
메뚜기 다리 아래 (좌안 / 힐스테이트 405동 앞),37.6291460000,126.9297830000,역기올리기,2015,은평구시설관리공단,02-350-5243
메뚜기 다리 아래 (좌안 / 힐스테이트 405동 앞),37.6291460000,126.9297830000,공중걷기,2015,은평구시설관리공단,02-350-5243
메뚜기 다리 아래 (좌안 / 힐스테이트 405동 앞),37.6291460000,126.9297830000,파도타기,2015,은평구시설관리공단,02-350-5243
메뚜기 다리 아래 (좌안 / 힐스테이트 405동 앞),37.6291460000,126.9297830000,온몸근육풀기,2015,은평구시설관리공단,02-350-5243
메뚜기 다리 아래 (좌안 / 힐스테이트 405동 앞),37.6291460000,126.9297830000,싣업머신,2015,은평구시설관리공단,02-350-5243
메뚜기 다리 아래 (좌안 / 힐스테이트 405동 앞),37.6291460000,126.9297830000,거꾸로 매달리기,2015,은평구시설관리공단,02-350-5243
반딧불이다리 아래,37.6296710000,126.9295320000,평행봉,2016,은평구시설관리공단,02-350-5243
반딧불이다리 아래,37.6296710000,126.9295320000,철봉,2017,은평구시설관리공단,02-350-5243
반딧불이다리 아래,37.6296710000,126.9295320000,역기,2017,은평구시설관리공단,02-350-5243
반딧불이다리 아래,37.6296710000,126.9295320000,팔굽혀펴기,2017,은평구시설관리공단,02-350-5243
반딧불이다리 아래,37.6296710000,126.9295320000,허리돌리기,2017,은평구시설관리공단,02-350-5243
"만남의 다리 아래 (좌, 우안 / 동부센트레빌307동 앞)",37.6317480000,126.9286350000,역기올리기,2015,은평구시설관리공단,02-350-5243
"만남의 다리 아래 (좌, 우안 / 동부센트레빌307동 앞)",37.6317480000,126.9286350000,거꾸로매달리기,2015,은평구시설관리공단,02-350-5243
"만남의 다리 아래 (좌, 우안 / 동부센트레빌307동 앞)",37.6317480000,126.9286350000,싣업머신,2015,은평구시설관리공단,02-350-5243
"만남의 다리 아래 (좌, 우안 / 동부센트레빌307동 앞)",37.6317480000,126.9286350000,허리돌리기,2015,은평구시설관리공단,02-350-5243
"진관교 아래 (좌, 우안)",37.6331860000,126.9227840000,파도타기,2015,은평구시설관리공단,02-350-5243
"진관교 아래 (좌, 우안)",37.6331860000,126.9227840000,온몸근육풀기,2015,은평구시설관리공단,02-350-5243
"진관교 아래 (좌, 우안)",37.6331860000,126.9227840000,허리돌리기,2016,은평구시설관리공단,02-350-5243
"진관교 아래 (좌, 우안)",37.6331860000,126.9227840000,공중걷기,2016,은평구시설관리공단,02-350-5243
진관교 부근 천변 좌안(박석힐스테이트 123동 앞),37.6331860000,126.9227840000,제자리높이뛰기,2016,은평구시설관리공단,02-350-5243
진관교 부근 천변 좌안(박석힐스테이트 123동 앞),37.6331860000,126.9227840000,역기내리기,2016,은평구시설관리공단,02-350-5243
진관교 부근 천변 좌안(박석힐스테이트 123동 앞),37.6331860000,126.9227840000,싣업머신,2015,은평구시설관리공단,02-350-5243
진관교 부근 천변 좌안(박석힐스테이트 123동 앞),37.6331860000,126.9227840000,거꾸로 매달리기,2015,은평구시설관리공단,02-350-5243
진관교 부근 천변 좌안(박석힐스테이트 123동 앞),37.6331860000,126.9227840000,역기올리기,2015,은평구시설관리공단,02-350-5243
진관교 부근 천변 좌안(박석힐스테이트 123동 앞),37.6331860000,126.9227840000,허리돌리기,2018,은평구시설관리공단,02-350-5243
진관교 부근 천변 좌안(박석힐스테이트 123동 앞),37.6331860000,126.9227840000,다리뻗치기,2018,은평구시설관리공단,02-350-5243
상림마을 실개천 (아이파크 706동 옆),37.6465250000,126.9265250000,온몸근육풀기,2015,은평구시설관리공단,02-350-5243
상림마을 실개천 (아이파크 706동 옆),37.6465250000,126.9265250000,역기올리기,2015,은평구시설관리공단,02-350-5243
상림마을 실개천 (아이파크 706동 옆),37.6465250000,126.9265250000,싣업머신,2015,은평구시설관리공단,02-350-5243
상림마을 실개천 (아이파크 706동 옆),37.6291460000,126.9297830000,허리돌리기,2015,은평구시설관리공단,02-350-5243
삼각산다리 아래,37.6441810000,126.9294260000,거꾸로 매달리기,2016,은평구시설관리공단,02-350-5243
삼각산다리 아래,37.6441810000,126.9294260000,허리돌리기,2016,은평구시설관리공단,02-350-5243
삼각산다리 아래,37.6441810000,126.9294260000,허리돌리기,2016,은평구시설관리공단,02-350-5243
삼각산다리 아래,37.6441810000,126.9294260000,철봉,2017,은평구시설관리공단,02-350-5243
삼각산다리 아래,37.6441810000,126.9294260000,파도타기,2017,은평구시설관리공단,02-350-5243
삼각산다리 아래,37.6441810000,126.9294260000,윗몸일으키기,2017,은평구시설관리공단,02-350-5243
