연번,종류,수량,주소,담당부서,고장난 수량
1,철봉,3,서울특별시 중랑구 묵동 361-5,치수과,0
2,철봉,2,서울특별시 중랑구 면목동 1031-25,치수과,0
3,철봉,3,서울특별시 중랑구 면목동 727-94,치수과,0
4,평행봉,2,서울특별시 중랑구 묵동 361-5,치수과,0
5,평행봉,2,서울특별시 중랑구 면목동 1049-12,치수과,0
6,평행봉,1,서울특별시 중랑구 면목동 1031-25,치수과,0
7,평행봉,2,서울특별시 중랑구 면목동 727-94,치수과,0
8,농구골대,2,서울특별시 중랑구 중화동 363,치수과,0
9,농구골대,2,서울특별시 중랑구 중화동 381-5,치수과,0
10,농구골대,4,서울특별시 중랑구 면목동 1031-451,치수과,0
11,농구골대,2,서울특별시 중랑구 면목동 723,치수과,0
12,등지압기,1,서울특별시 중랑구 신내동 315-5(신내어울공원),치수과,0
13,어깨유연성운동,1,서울특별시 중랑구 신내동 315-5(신내어울공원),치수과,0
14,파도타기,1,서울특별시 중랑구 신내동 315-5(신내어울공원),치수과,0
15,허리돌리기,1,서울특별시 중랑구 신내동 315-5(신내어울공원),치수과,0
16,달리기,2,서울특별시 중랑구 신내동 315-5(신내어울공원),치수과,0
17,역기올리기,1,서울특별시 중랑구 신내동 315-5(신내어울공원),치수과,0
18,오금펴기,1,서울특별시 중랑구 신내동 315-5(신내어울공원),치수과,0
19,상체근육풀기,2,서울특별시 중랑구 신내동 315-5(신내어울공원),치수과,0
20,달리기,2,서울특별시 중랑구 신내동 315-5(신내어울공원),치수과,0
21,공중걷기,2,서울특별시 중랑구 신내동 315-5(신내어울공원),치수과,0
22,역기내리기,2,서울특별시 중랑구 신내동 315-5(신내어울공원),치수과,0
23,허리돌리기,2,서울특별시 중랑구 신내동 315-5(신내어울공원),치수과,0
24,레그프레스,2,서울특별시 중랑구 신내동 315-5(신내어울공원),치수과,0
