번호,운동장명,주소,운동기구,합계
1,관산운동장,원곡동 936,"어깨돌리기, 턱걸이, 등지압, 윗몸일으키기, 허리돌리기, 다리들어올리기, 역기들어올리기, 온몸들어올리기, 전신운동기, 평행봉",10
2,능길운동장,신길동 1053,"체스트프레스, 레그프레스, 허리돌리기, 하체흔딜기, 온몸근육풀기, 윗몸일으키기",6
3,능안운동장,목내동 472,"체스트프레스, 레그프레스, 달리기운동기구, 노젓기",4
4,당곡운동장,고잔동 677-1,"허리돌리기(3), 자유평행봉, 어깨돌리기, 턱걸이, 온몸역기올리기, 마라톤운동, 철봉, 팔굽혀펴기, 윗몸일으키기",11
5,돌안말운동장,성곡동 627-2,"체스트프레스, 레그프레스(2), 달리기운동기구, 노젓기, 공중걷기, 하이풀리운동기구, 좌식헬스사이클, 평행봉, 등허리지압기, 철봉, 허리돌리기(3), 옆파도타기, 온몸노젓기, 마라톤운동",17
6,민속운동장,고잔동 779,"자유평행봉&온몸역기내리기, 어깨근육풀기&하늘걷기, 마라톤운동&등·허리지압기, 온몸근육풀기&온몸역기올리기, 양팔줄당기기&하늘걷기, 마라톤운동&온몸허리돌리기(2), 체스트프레스, 옆파도타기, 하늘걷기, 온몸노젓기",11
7,석수골운동장,선부동 1068,"허리돌리기, 오금펴기, 파도타기, 어깨돌리기, 양어깨돌리기, 다리관절운동기, 등지압, 역기들어올리기, 전신운동기, 등가슴운동기, 평행봉(2), 철봉(2), 윗몸일으키기, 구름사다리, 링철봉",17
8,선부배수지,선부동 산 128-4,"양어깨돌리기, 턱걸이, 등지압, 윗몸일으키기, 허리돌리기, 다리들어올리기, 역기들어올리기, 온몸들어올리기, 전신운동기, 등가슴운동기",10
9,성곡고가하부 체육시설,신길동 26-10,"팔관절운동&원그리기, 가로하늘타기&앉아밀기, 달리기&하늘걷기, 허리돌리기&온몸허리돌리기, 평행봉&등허리마사지, 앉아밀어주기, 자전거타기",6
10,신길교하부체육시설,신길동 1377-1,"체스트프레스, 레그프레스, 하체흔들기, 공중걷기, 팔관절운동&원그리기, 허리돌리기&온몸허리돌리기, 자전거타기",7
11,신촌운동장,와동 813,"어깨돌리기, 다리관절운동기, 윗몸일으키기, 허리돌리기, 역기들어올리기, 온몸들어올리기, 전신운동기, 다리펴기, 등가슴운동기",9
12,원시운동장,원시동 782,"체스트프레스&하이풀리운동기구, 하체흔들기, 공중걷기",3
13,풍경운동장,초지동 740-3,"역기올리기, 평행봉, 등허리지압기, 철봉, 팔굽혀펴기, 허리돌리기(2), 온몸노젓기, 마라톤운동(2), 어깨돌리기, 다리펴기, 역기내리기, 윗몸일으키기(2)",15
14,감골운동장,사동 1342,"어깨돌리기, 턱걸이, 등지압, 윗몸일으키기, 허리돌리기(2), 다리들어올리기, 역기들어올리기, 온몸들어올리기, 마라톤운동, 평행봉",11
15,고잔배수지,이동 722,"입식헬스사이클, 체스트프레스, 레그프레스",3
16,구룡운동장,이동 609-3,"자유평행봉&온몸역기내리기, 어깨근육풀기&하늘걷기, 마라톤운동&등·허리지압기, 옆파도타기, 마라톤운동&온몸허리돌리기, 다리뻗치기&윗몸일으키기",6
17,남사박 야외체육시설,수암동 33-6,"레그프레스, 풀웨이트, 트윈트위스트, 크로스컨트리, 워밍암, 스텝싸이클",6
18,남산뜰건강마당,팔곡일동 135,"역기들어올리기, 온몸들어올리기, 다리펴기",3
19,사동배수지,사동 1313,"다리관절운동기, 윗몸일으키기, 다리들어올리기, 역기들어올리기",4
20,사리운동장,본오동 968,"양어깨돌리기, 허리돌리기(2), 온몸들어올리기, 전신운동기, 평행봉, 다리펴기, 등가슴운동기, 철봉, 로만체어",10
21,상록수스포츠존,본오동 1177,"체스트프레스, 레그프레스, 허리돌리기, 온몸근육풀기, 윗몸일으키기, 등·허리운동기구, 공중걷기, 양팔줄당기기, 등허리지압운동, 다리근육풀기운동기구",10
22,시낭운동장,부곡동 719-1,"양어깨돌리기, 다리관절운동기, 등지압, 윗몸일으키기, 허리돌리기, 다리들어올리기, 온몸들어올리기, 전신운동기, 거꾸리",9
23,안골운동장,일동 720,"어깨돌리기, 다리관절운동기, 턱걸이, 윗몸일으키기, 허리돌리기, 다리들어올리기, 역기들어올리기, 전신운동기, 평행봉, 등가슴운동기",10
24,용하운동장,사동 1535-2,"어깨돌리기, 다리관절운동기, 윗몸일으키기, 허리돌리기(3), 온몸들어올리기, 평행봉(2), 다리펴기, 온몸역기올리기, 온몸허리돌리기, 하늘걷기, 옆파도타기, 온몸노젓기, 마라톤운동",16
25,월성체육시설,월피동 479-19,"어깨돌리기, 등지압(2), 온몸들어올리기, 전신운동기, 다리펴기, 옆파도타기, 온몸허리돌리기, 하늘걷기(2), 달리기운동, 파도타기, 오금펴기, 어깨근육풀기",14
26,유소년스포츠타운,본오동 665-55,"허리돌리기, 하체흔들기, 공중걷기",3
27,은하수운동장,사동 1253-8,"등허리운동기구, 하이풀리운동기구, 좌식헬스사이클, 파도타기, 하늘걷기, 달리기, 어깨근육풀기, 허리돌리기, 다리펴기",9
28,장화운동장,사동 1502-1,"체스트프레스, 레그프레스, 허리돌리기, 하체흔들기, 공중걷기",5
