연도,읍면동,구분,설치장소 지번,설치장소 면적,소유권자,설치품목,설치수량,소요예산(천원),시공업체
2015,만경읍,익수당,만경로7699-21,"72,96",김제시,하늘걷기,1,"10,000",리드디자인
2015,만경읍,장산,능제3길35-49,"82,9",경로당,하늘걷기,1,,리드디자인
2015,만경읍,옥산,지평선로2145-14,"99,24",경로당,허리돌리기,1,,리드디자인
2015,만경읍,창자,지평선로2145-14,"99,24",경로당,허리돌리기,1,,리드디자인
2015,죽산면,해창,대창리115-1,"12,020",한산이씨종중,하늘걷기,4,"10,000",승리체육사
2015,죽산면,종남,종신리155,327,마을회관,상체근육풀기,,,승리체육사
2015,죽산면,외리,흥산리586-1,"1,524",김제시,상체근육풀기,,,리드디자인
2015,죽산면,영구,서포리368-4,490,개인,상체근육풀기,,,리드디자인
2015,백산면,하건,하건1길20,,경로당,공중걷기,4,"10,000",서울체육사
2015,백산면,옥석,옥석길39,,마을회관,허리돌리기,,,서울체육사
2015,백산면,정동,정동길 119-9,,경로당,허리돌리기,,,서울체육사
2015,백산면,두동(두신),황상로149-2,,마을회관,공중걷기,,,서울체육사
2015,용지면,마을회관,와룡리 117,281,산정부락,하늘걷기외2,3,"10,000",서울체육사
2015,용지면,모정,용수리424-32,267,송삼마을회,하늘걷기외2,3,,서울체육사
2015,백구면,서월연대,월봉리526-1,786,경로회,허리돌리기,5,"10,000",서울체육사
2015,백구면,학교당,월봉리186-1,153,정진상/개인,허리돌리기,,,서울체육사
2015,백구면,외가전,부용리 57,450,마을회,허리돌리기,,,서울체육사
2015,백구면,동자,유강리582-58,151,새마을,하늘걷기,,,서울체육사
2015,백구면,중모,학동리 109-4,217,경로당,허리돌리기,,,서울체육사
2015,부량면,금신,08월 18일,195,경로당,허리돌리기,1,"10,000",리드디자인
2015,부량면,용골,257-2,333,경로당,파도타기외2,2,,리드디자인
2015,부량면,신정,622-11,371,경로당,파도타기외1,2,,리드디자인
2015,공덕면,송산,공덕8길437,,,상체근육풀기외1,2,"10,000",리드디자인
2015,공덕면,서원,저산3길 23,,,상체근육풀기외1,2,,리드디자인
2015,공덕면,저동,저동길 270,,,상체근육풀기외1,2,,리드디자인
2015,청하면,척산,동지산리 308-2,490,마을회관,상하체강화기,4,"10,000",서울체육사
2015,청하면,궁동,동지산리 32-7,451,,허리돌리기,,,서울체육사
2015,청하면,대산-신마,청공로 98,234,,하늘걷기,,,리드디자인
2015,청하면,성남,월현2길 87-32,338,,하늘걷기,,,리드디자인
2015,성덕면,후리,후리길 67,"75,84",마을회관,스윙워커머신,1,"10,000",리드디자인
2015,성덕면,나시,성덕리649-2,17.64,모정,워킹머신 외1,2,,리드디자인
2015,성덕면,고현,고현길 113,90.2,마을회관,스윙워커,1,,리드디자인
2015,진봉면,고사,고사리1365-5,20평,마을회관,물결타기외3,4,"10,000",리드디자인
2015,금구면,대화,대회리 152-1,964,경로당,파도타기외1,4,"10,000",리드디자인
2015,금구면,용전,옥성리 111-5,730,경로당,파도타기외1,,,리드디자인
2015,금구면,선락,용복리 144-2,,경로당,파도타기외1,,,리드디자인
2015,금구면,상리,청운리 590-1,,경로당,파도타기외1,,,리드디자인
2015,봉남면,평산,평사리 580,360,마을회,큰활자/허리,4,"10,000",승리체육사
2015,봉남면,응좌,신응리 421-1,493,마을회,큰활자/허리,,,승리체육사
2015,봉남면,용신,용신리 510,356,노인회,큰활자/허리,,,승리체육사
2015,봉남면,사정,회성리 125-2,746,마을회,큰활자/허리,,,승리체육사
2015,황산면,연리,연리길 78,106.9,마을공동,허리/파도,4,"10,000",승리체육사
2015,황산면,신기,용마 4길,85.28,,허리/파도,,,승리체육사
2015,황산면,상목,진흥리493-2,307,,허리/파도,,,승리체육사
2015,황산면,종명,봉월1길29,85.1,,허리/파도,,,승리체육사
2015,금산면,동곡,청도리613-8,206,마을회,허리돌리기외1,5,"10,000",서울체육사
2015,금산면,아직동,선동리 11,101.4,마을회,허리돌리기외1,,,서울체육사
2015,금산면,신암,성계리 653-5,123,모정,허리돌리기외1,,,서울체육사
2015,금산면,유정,구월리 683,92.68,경로회,허리돌리기외1,,,리드디자인
2015,금산면,대유,용산리 228-6,85.47,모정,허리돌리기외1,,,리드디자인
