연번,관리번호,위치,설치장소,기구명,데이터기준일
1,삼례수도산근린공원,삼례읍 삼례리 123-11 일원,삼례읍 삼례리 123-11 일원,가로하늘타기,2023-02-01
2,삼례수도산근린공원,삼례읍 삼례리 123-11 일원,삼례읍 삼례리 123-11 일원,온몸허리돌리기,2023-02-01
3,삼례수도산근린공원,삼례읍 삼례리 123-11 일원,삼례읍 삼례리 123-11 일원,앉아당기기,2023-02-01
4,삼례수도산근린공원,삼례읍 삼례리 123-11 일원,삼례읍 삼례리 123-11 일원,앉아밀기,2023-02-01
5,삼례수도산근린공원,삼례읍 삼례리 123-11 일원,삼례읍 삼례리 123-11 일원,하늘걸기,2023-02-01
6,삼례수도산근린공원,삼례읍 삼례리 123-11 일원,삼례읍 삼례리 123-11 일원,철봉기,2023-02-01
7,삼례수도산근린공원,삼례읍 삼례리 123-11 일원,삼례읍 삼례리 123-11 일원,앉아밀어주기,2023-02-01
8,삼례수도산근린공원,삼례읍 삼례리 123-11 일원,삼례읍 삼례리 123-11 일원,팔근육길으기,2023-02-01
9,삼례수도산근린공원,삼례읍 삼례리 123-11 일원,삼례읍 삼례리 123-11 일원,노젖기,2023-02-01
10,삼례수도산근린공원,삼례읍 삼례리 123-11 일원,삼례읍 삼례리 123-11 일원,평행봉,2023-02-01
11,삼례수도산근린공원,삼례읍 삼례리 123-11 일원,삼례읍 삼례리 123-11 일원,원그리기,2023-02-01
12,삼례신금공원,삼례읍 신금리  414,삼례읍 신금리  414,워킹트레이너머신,2023-02-01
13,삼례신금공원,삼례읍 신금리  414,삼례읍 신금리  414,써핑롤링머신,2023-02-01
14,삼례신금공원,삼례읍 신금리  414,삼례읍 신금리  414,윗몸일으키기,2023-02-01
15,삼례 상생도시숲공원,삼례읍 후정리 123-42,삼례읍 후정리 123-42,달리기,2023-02-01
16,삼례 상생도시숲공원,삼례읍 후정리 123-42,삼례읍 후정리 123-42,공중걷기,2023-02-01
17,삼례 상생도시숲공원,삼례읍 후정리 123-42,삼례읍 후정리 123-42,평행봉,2023-02-01
18,삼례 상생도시숲공원,삼례읍 후정리 123-42,삼례읍 후정리 123-42,활차돌리기,2023-02-01
19,삼례 상생도시숲공원,삼례읍 후정리 123-42,삼례읍 후정리 123-42,역기돌리기,2023-02-01
20,봉동생강골공원,봉동읍 낙평리 795,봉동읍 낙평리 795,꺼꾸리머신,2023-02-01
21,봉동생강골공원,봉동읍 낙평리 795,봉동읍 낙평리 795,트웨스트머신,2023-02-01
22,봉동생강골공원,봉동읍 낙평리 795,봉동읍 낙평리 795,레그프래스머신,2023-02-01
23,봉동생강골공원,봉동읍 낙평리 795,봉동읍 낙평리 795,워킹트레이너머신,2023-02-01
24,봉동생강골공원,봉동읍 낙평리 795,봉동읍 낙평리 795,써핑롤링머신,2023-02-01
25,봉동생강골공원,봉동읍 낙평리 795,봉동읍 낙평리 795,큰화차머신,2023-02-01
26,봉동생강골공원,봉동읍 낙평리 795,봉동읍 낙평리 795,오버헤드폴리머신,2023-02-01
27,봉동생강골공원,봉동읍 낙평리 795,봉동읍 낙평리 795,평행봉,2023-02-01
28,봉동생강골공원,봉동읍 낙평리 795,봉동읍 낙평리 795,철봉,2023-02-01
29,봉동생강골공원,봉동읍 낙평리 795,봉동읍 낙평리 795,웟몸일으키기,2023-02-01
30,봉동 장기늘푸름공원,봉동읍 장기리 1129-27,봉동읍 장기리 1129-27,공중걷기,2023-02-01
31,봉동 장기늘푸름공원,봉동읍 장기리 1129-27,봉동읍 장기리 1129-27,허리돌리기,2023-02-01
32,봉동 장기늘푸름공원,봉동읍 장기리 1129-27,봉동읍 장기리 1129-27,팔관절운동,2023-02-01
33,봉동 장기늘푸름공원,봉동읍 장기리 1129-27,봉동읍 장기리 1129-27,달리기,2023-02-01
34,봉동 장기늘푸름공원,봉동읍 장기리 1129-27,봉동읍 장기리 1129-27,공중그네,2023-02-01
35,봉동 장기늘푸름공원,봉동읍 장기리 1129-27,봉동읍 장기리 1129-27,팔관절운동,2023-02-01
36,이서 소리공원,이서면 갈산리 648,이서면 갈산리 648,스트레칭 로라,2023-02-01
37,이서 소리공원,이서면 갈산리 648,이서면 갈산리 648,체어플,2023-02-01
38,이서 소리공원,이서면 갈산리 648,이서면 갈산리 648,핸들웨이트,2023-02-01
39,이서 소리공원,이서면 갈산리 648,이서면 갈산리 648,크로스컨트리,2023-02-01
40,이서 새라공원,이서면 갈산리 667-8,이서면 갈산리 667-8,레그프래스,2023-02-01
41,이서 새라공원,이서면 갈산리 667-8,이서면 갈산리 667-8,바웨이트,2023-02-01
42,이서 새라공원,이서면 갈산리 667-8,이서면 갈산리 667-8,트렁크웨이트,2023-02-01
43,이서 새라공원,이서면 갈산리 667-8,이서면 갈산리 667-8,트웬워밍암,2023-02-01
44,이서 초록공원,이서면 갈산리 601-1 ,이서면 갈산리 601-1 ,트웬워밍암,2023-02-01
45,이서 초록공원,이서면 갈산리 601-1 ,이서면 갈산리 601-1 ,트웬트웨스트,2023-02-01
46,이서 초록공원,이서면 갈산리 601-1 ,이서면 갈산리 601-1 ,트웬바디싣업,2023-02-01
47,이서 초록공원,이서면 갈산리 601-1 ,이서면 갈산리 601-1 ,풀웨이트,2023-02-01
48,이서 초록공원,이서면 갈산리 601-1 ,이서면 갈산리 601-1 ,체어플,2023-02-01
49,이서 초록공원,이서면 갈산리 601-1 ,이서면 갈산리 601-1 ,스트레칭로라,2023-02-01
50,이서 초록공원,이서면 갈산리 601-1 ,이서면 갈산리 601-1 ,바웨이트,2023-02-01
51,이서 윤슬공원,이서면 금평리 649-4,이서면 금평리 649-4,롤링웨이스트,2023-02-01
52,이서 윤슬공원,이서면 금평리 649-4,이서면 금평리 649-4,체어웨스트,2023-02-01
53,이서 윤슬공원,이서면 금평리 649-4,이서면 금평리 649-4,스템사이클,2023-02-01
54,이서 윤슬공원,이서면 금평리 649-4,이서면 금평리 649-4,트웬트웨스트,2023-02-01
55,이서 윤슬공원,이서면 금평리 649-4,이서면 금평리 649-4,크로스컨트리,2023-02-01
56,이서 윤슬공원,이서면 금평리 649-4,이서면 금평리 649-4,트웬워밍암,2023-02-01
57,이서 윤슬공원,이서면 금평리 649-4,이서면 금평리 649-4,체어플,2023-02-01
58,이서 윤슬공원,이서면 금평리 649-4,이서면 금평리 649-4,스트레칭로라,2023-02-01
59,이서 윤슬공원,이서면 금평리 649-4,이서면 금평리 649-4,핸들웨이트,2023-02-01
60,이서 윤슬공원,이서면 금평리 649-4,이서면 금평리 649-4,트렁크웨스트,2023-02-01
61,이서 윤슬공원,이서면 금평리 649-4,이서면 금평리 649-4,롤링웨스트,2023-02-01
62,이서 윤슬공원,이서면 금평리 649-4,이서면 금평리 649-4,폴링암스,2023-02-01
63,이서 설화공원,이서면 반교리 611,이서면 반교리 611,하늘걷기,2023-02-01
64,이서 설화공원,이서면 반교리 611,이서면 반교리 611,가로하늘타기,2023-02-01
65,이서 설화공원,이서면 반교리 611,이서면 반교리 611,앉아밀어주기,2023-02-01
66,이서 설화공원,이서면 반교리 611,이서면 반교리 611,달리기,2023-02-01
67,이서 설화공원,이서면 반교리 611,이서면 반교리 611,등허리지압기,2023-02-01
68,이서 설화공원,이서면 반교리 611,이서면 반교리 611,앉아당기기,2023-02-01
69,이서 설화공원,이서면 반교리 611,이서면 반교리 611,등허리지압기,2023-02-01
70,이서 설화공원,이서면 반교리 611,이서면 반교리 611,팔관절운동,2023-02-01
71,이서 설화공원,이서면 반교리 611,이서면 반교리 611,등허리지압기,2023-02-01
72,이서 설화공원,이서면 반교리 611,이서면 반교리 611,앉아다리밀기,2023-02-01
73,이서 설화공원,이서면 반교리 611,이서면 반교리 611,팔관절운동,2023-02-01
74,이서 설화공원,이서면 반교리 611,이서면 반교리 611,달리기,2023-02-01
75,이서 설화공원,이서면 반교리 611,이서면 반교리 611,철봉기,2023-02-01
76,이서 설화공원,이서면 반교리 611,이서면 반교리 611,달리기,2023-02-01
77,이서 설화공원,이서면 반교리 611,이서면 반교리 611,하늘걷기,2023-02-01
78,이서 설화공원,이서면 반교리 611,이서면 반교리 611,앉아밀어주기,2023-02-01
79,이서 설화공원,이서면 반교리 611,이서면 반교리 611,팔관절운동,2023-02-01
80,이서 설화공원,이서면 반교리 611,이서면 반교리 611,앉아다리밀기,2023-02-01
81,이서 노을공원,이서면 갈산리 산 138-1,이서면 갈산리 산 138-1,가로하늘타기,2023-02-01
82,이서 노을공원,이서면 갈산리 산 138-1,이서면 갈산리 산 138-1,하늘걷기,2023-02-01
83,이서 노을공원,이서면 갈산리 산 138-1,이서면 갈산리 산 138-1,앉아밀어주기,2023-02-01
84,이서 노을공원,이서면 갈산리 산 138-1,이서면 갈산리 산 138-1,앉아다리밀기,2023-02-01
85,이서 노을공원,이서면 갈산리 산 138-1,이서면 갈산리 산 138-1,달리기,2023-02-01
86,이서 노을공원,이서면 갈산리 산 138-1,이서면 갈산리 산 138-1,철봉기,2023-02-01
87,이서 노을공원,이서면 갈산리 산 138-1,이서면 갈산리 산 138-1,앉아당기기,2023-02-01
88,이서 노을공원,이서면 갈산리 산 138-1,이서면 갈산리 산 138-1,팔관절운동,2023-02-01
89,이서 노을공원,이서면 갈산리 산 138-1,이서면 갈산리 산 138-1,온몸허리돌리기,2023-02-01
90,이서 노을공원,이서면 갈산리 산 138-1,이서면 갈산리 산 138-1,윗몸일으키기,2023-02-01
91,이서 노을공원,이서면 갈산리 산 138-1,이서면 갈산리 산 138-1,앉아당기기,2023-02-01
92,이서 노을공원,이서면 갈산리 산 138-1,이서면 갈산리 산 138-1,앉아밀어주기,2023-02-01
93,이서 노을공원,이서면 갈산리 산 138-1,이서면 갈산리 산 138-1,허리돌리기,2023-02-01
94,이서 노을공원,이서면 갈산리 산 138-1,이서면 갈산리 산 138-1,팔관절운동,2023-02-01
95,이서 정농함박골공원,이서면 반교로 531-46,이서면 반교로 531-46,허리돌리기,2023-02-01
96,이서 정농함박골공원,이서면 반교로 531-46,이서면 반교로 531-46,평행봉,2023-02-01
97,이서 정농함박골공원,이서면 반교로 531-46,이서면 반교로 531-46,하늘걷기,2023-02-01
98,이서 정농함박골공원,이서면 반교로 531-46,이서면 반교로 531-46,말타기,2023-02-01
99,이서 정농통일공원,이서면 반교로 532,이서면 반교로 532,하늘걷기,2023-02-01
100,이서 정농통일공원,이서면 반교로 532,이서면 반교로 532,윗몸일으키기,2023-02-01
101,이서 정농통일공원,이서면 반교로 532,이서면 반교로 532,온몸허리돌리기,2023-02-01
102,이서 정농통일공원,이서면 반교로 532,이서면 반교로 532,등허리지압기,2023-02-01
