연번,시도,시군구,마을,소재지 주소,상세위치,설치연도,종류,관리부서,데이터기준일자
1,전라북도,진안군,우화1동마을,전라북도 진안군 진안읍 군하리 산1-1,우화산 내부,1992,온몸노젓기+달리기+기타,문화체육과,2022-12-02
2,전라북도,진안군,학천2동마을,전라북도 진안군 진안읍 군상리 158,하수종말처리장,,허리돌리기+달리기+공중걷기,문화체육과,2022-12-02
3,전라북도,진안군,학천2동마을,전라북도 진안군 진안읍 군상리 458-5,마을회관 주변,2003,허리돌리기+달리기+공중걷기+상체근육풀기,문화체육과,2022-12-02
4,전라북도,진안군,학천2동마을,전라북도 진안군 진안읍 군상리 1162-26,하수종말처리장 옆,2019,파도타기+허리돌리기+공중걷기+등허리지압기+상체근육풀기,문화체육과,2022-12-02
5,전라북도,진안군,원물곡마을,전라북도 진안군 진안읍 물곡리 905-6,원물곡마을회관,,허리돌리기+상체근육풀기,문화체육과,2022-12-02
6,전라북도,진안군,노계3동마을,전라북도 진안군 진안읍 군상리 603,주공2차아파트,2003,허리돌리기+파도타기+공중걷기+등허리지압기,문화체육과,2022-12-02
7,전라북도,진안군,중평마을,전라북도 진안군 진안읍 연장리 1372-1,중평마을회관,2012,허리돌리기+상체근육풀기+입식싸이클,문화체육과,2022-12-02
8,전라북도,진안군,예리마을,전라북도 진안군 진안읍 구룡리 산183-2,숲거리공원,2012,거꾸로매달리기+공중걷기+파도타기+허리돌리기+윈몸일으키기,문화체육과,2022-12-02
9,전라북도,진안군,연구2동마을,전라북도 진안군 진안읍 군상리 1038-1,진안공고 근처,2014,달리기,문화체육과,2022-12-02
10,전라북도,진안군,연구2동마을,전라북도 진안군 진안읍 군상리 1117-3,부귀산 주차장,2014,허리돌리기+상체근육풀기+윗몸일으키기+달리기,문화체육과,2022-12-02
11,전라북도,진안군,연구2동마을,전라북도 진안군 진안읍 군상리760-2,진안여중 가는길,2014,공중걷기+상체근육풀기+파도타기+등허리지압기+거꾸로매달리기+윗몸일으키기,문화체육과,2022-12-02
12,전라북도,진안군,연구2동마을,전라북도 진안군 진안읍 군상리 761,소공원,2014,허리돌리기+상체근육풀기+공중걷기+파도타기,문화체육과,2022-12-02
13,전라북도,진안군,중앙2동마을,"전라북도 진안군 진안읍 군상리 1162-107, 1162-108, 771-3",주공1차아파트 앞,2014,파도타기+공중걷기+달리기+허리돌리기,문화체육과,2022-12-02
14,전라북도,진안군,노계1동마을,전라북도 진안군 진안읍 군상리 837-10,진안 자전거 앞,2014,파도타기+공중걷기+거꾸로매달리기+입식싸이클+허리돌리기+상체근육풀기,문화체육과,2022-12-02
15,전라북도,진안군,대광1동마을,전라북도 진안군 진안읍 군하리 298-8,대광1동마을회관,2014,상체근육풀기+파도타기+공중걷기+입식싸이클,문화체육과,2022-12-02
16,전라북도,진안군,대광1동마을,전라북도 진안군 진안읍 군하리 454-8,인삼농협 주변,2014,허리돌리기+상체근육풀기+달리기+레그프레스+파도타기,문화체육과,2022-12-02
17,전라북도,진안군,대광1동마을,전라북도 진안군 진안읍 군하리 393,진안교회 뒤 쉼터,2016,싸이클+로프당기기+아래로당기기+앞으로밀기+윗몸일으키기+허리돌리기+하체흔들기+공중걷기,문화체육과,2022-12-02
18,전라북도,진안군,송대마을,전라북도 진안군 진안읍 운산리 293-19,송대교 입구,2014,허리돌리기+어깨근육풀기+공중걷기+파도타기+윗몸일으키기+등허리지압기,문화체육과,2022-12-02
19,전라북도,진안군,원단양마을,전라북도 진안군 진안읍 단양리 20-48,,2014,허리돌리기+상체근육풀기+공중걷기+파도타기,문화체육과,2022-12-02
