번호,행정동,설치장소,설치장소 주소,운동기구현황,설치연도,데이터기준일
1,웅천읍,평1리경로당,충청남도 보령시 웅천읍 평1리 23,허리돌리기+좌우파도타기+큰활차머신+달리기운동,2008,2023-04-07
2,웅천읍,평2리마을공용주차장,충청남도 보령시 웅천읍 평2리 397,다리뻗치기+옆파도타기+허리돌리기및온몸돌리기+온몸역기올리기및근육풀기+온몸노젓기,2013,2023-04-07
3,웅천읍,수부1리마을회관,충청남도 보령시 웅천읍 수부1리 297-3,윗몸일으키기+다리뻗치기+허리돌리기+역기내리기+좌우파도타기,2013,2023-04-07
4,웅천읍,수부2리마을회관,충청남도 보령시 웅천읍 수부2리 808,온몸근육풀기+등지압기+공중걷기,2014,2023-04-07
5,웅천읍,수부3리마을회관,충청남도 보령시 웅천읍 수부3리 586,옆파도타기+허리돌리기+어깨근육풀기+윗몸일으키기,2015,2023-04-07
6,웅천읍,성돌1리마을회관,충청남도 보령시 웅천읍 성동1리 199-1,허리돌리기+공중걷기,2011,2023-04-07
7,웅천읍,성동2리윗뜸두레방,충청남도 보령시 웅천읍 성동큰길 278,윗몸일으키기+큰활차머신+역기내리기+좌우파도타기+허리돌리기,2012,2023-04-07
8,웅천읍,성동3리고인돌공원,충청남도 보령시 웅천읍 성동3리 779,철봉+윗몸일으키기+허리돌리기+큰활차머신+파도타기+역기내리기,2011,2023-04-07
9,웅천읍,웅천읍복지회관,충청남도 보령시 웅천읍 대창1리 435-3,크로스컨트리+트리플트위스트,2013,2023-04-07
10,웅천읍,대창2리마을회관,충청남도 보령시 웅천읍 대창2리 380,롤링웨이스트+트원트위스트,2013,2023-04-07
11,웅천읍,대창4리마을회관,충청남도 보령시 웅천읍 대창4리 240-1,큰활차머신+역기내리기+공중걷기+달리기운동,2014,2023-04-07
12,웅천읍,대창7리마을주차장,충청남도 보령시 웅천읍 대창7리 348-1,윗몸일으키기+마라톤운동+등지압기,2014,2023-04-07
13,웅천읍,대창8리마을회관,충청남도 보령시 웅천읍 대창8리 423-26,허리돌리기+달리기운동+파도타기,2015,2023-04-07
14,웅천읍,두룡2리마을회관,충청남도 보령시 웅천읍 두룡2리 507,자전거운동+허리돌리기+큰활차머신,2013,2023-04-07
15,웅천읍,구룡1리노인회관,충청남도 보령시 웅천읍 구룡1리 340-3,어깨근육풀기+옆파도타기+허리돌리기+온몸돌리기+마라톤운동+공중걷기운동,2015,2023-04-07
16,웅천읍,관당1리쉼터,충청남도 보령시 웅천읍 관당1리 11-16,크로스컨트리+트리플트위스트+다리뻗치기,2013,2023-04-07
17,웅천읍,관당2리마을회관,충청남도 보령시 웅천읍 관당2리 777-6,허리돌리기+마라톤운동+어깨근육풀기+하늘걷기+온몸역기올리기+근육풀기,2014,2023-04-07
18,웅천읍,관당3리쉼터,충청남도 보령시 웅천읍 관당3리 302-2,온몸노젓기+어깨근육풀기+하늘걷기+마라톤운동,2014,2023-04-07
19,웅천읍,독산2리마을회관,충청남도 보령시 웅천읍 독산리 198-7,허리돌리기+달리기운동+어깨근육풀기+파도타기,2015,2023-04-07
20,웅천읍,죽청마을주차장,충청남도 보령시 웅천읍 죽청리 705,옆파도타기+허리돌리기+마라톤운동+벤치,2014,2023-04-07
21,웅천읍,청룡공원,충청남도 보령시 웅천읍 노천1리 423-5,달리기운동+역기내리기+파도타기,2014,2023-04-07
22,웅천읍,대창공원,충청남도 보령시 웅천읍 대창리 375-25,롤링웨이스트+스트레칭로라+트윈워밍암+레그프레스+크로스컨트리+오버턴스트레칭,2015,2023-04-07
23,웅천읍,독산1리공영주차장,충청남도 보령시 웅천읍 독산1리 420-5,하늘걷기+옆파도타기+온몸허리돌리기+어깨근육풀기,2016,2023-04-07
24,웅천읍,두룡1리마을회관,충청남도 보령시 웅천읍 두룡1리 128-7,허리돌리기+하늘걷기+온몸역기올리기+등허리지압기+어깨근육풀기,2017,2023-04-07
25,웅천읍,노천2리마을회관,충청남도 보령시 웅천읍 노천2리 250-2,마라톤운동+어깨근육풀기,2017,2023-04-07
26,웅천읍,구룡1리간이경로당,충청남도 보령시 웅천읍 구룡1리 33-2,마라톤운동+공중걷기운동+허리지압기+등지압기+허리돌리기,2017,2023-04-07
27,웅천읍,소황리마을회관,충청남도 보령시 웅천읍 소황리 951,"마라톤운동+공중걷기운동+허리지압기+등지압기+허리돌리기	",2017,2023-04-07
28,웅천읍,대창8리유성연립입구,충청남도 보령시 웅천읍 방축길 11,어깨근육풀기+달리기운동,2017,2023-04-07
