설치년도,설   치   위   치,기구종류,수 량,설치업체,관리부서,비고,데이터기준일자
2015,예산읍 주교리 337-5,입식사이클  역기올리기  좌식사이클   달리기  등허리지압,4,명성이앤비,예산읍,,2022-09-28
2015,삽교읍 두리 575-55,허리돌리기  숄더휠  에어워커 ,4,명성이앤비,삽교읍,,2022-09-28
2015,삽교읍 신가리 266-46,허리돌리기  숄더휠  에어워커 ,5,명성이앤비,삽교읍,,2022-09-28
2015,삽교읍 평촌리 148-1,허리돌리기 숄더휠 에어워커 ,3,명성이앤비,삽교읍,,2022-09-28
2015,대술면 마전리 750-57,허리돌리기  롤링머신  하늘걷기  어깨돌리기,4,명성이앤비,대술면,,2022-09-28
2015,신양면 신양리 554-3,트위스트머신  가슴강화기  싸이클런  옥외용벤치,4,명성이앤비,신양면,,2022-09-28
2015,광시면 광시리 48,달리기운동  다리뻗치기  윗몸일으키기,3,제일휘트니스,광시면,,2022-09-28
2015,대흥면 탄방리  83,허리돌리기  하이풀리  크로스컬츄리,3,명성이앤비㈜,대흥면,,2022-09-28
2015,대흥면 손지리 869-2,체스트프레스  하이풀리  등허리지압  공중걷기 온몸노젖기,3,㈜홍디자인,대흥면,,2022-09-28
2015,고덕면 호음리 628,허리강화기  마사지기  숄더휠  체어풀,4,명성이앤비,고덕면,,2022-09-28
2016,덕산면 둔리 520-11,파도타기  윗몸일으키기  등허리지압기  양팔줄당기기,4,스포츠클릭,덕산면,건설교통과,2022-09-28
2016,오가면 원천리 826-9,허리돌리기,1,㈜한울조경,산림축산과,,2022-09-28
2016,오가면 원천리 826-9,온몸근육풀기,1,㈜한울조경,산림축산과,,2022-09-28
2016,대술면 산정리 308,옆파도타기,1,㈜한울조경,산림축산과,,2022-09-28
2016,삽교읍 창정리 321-248,어깨근육풀기,1,㈜한울조경,산림축산과,,2022-09-28
2016,예산읍 간양리 272-5,공중걷기 파도타기 역기내리기,3,명성이앤비,예산읍,,2022-09-28
2016,예산읍 신례원리 281-9,공중걷기  좌식사이클   달리기   역기올리기  역기내리기 ,3,명성이앤비,예산읍,,2022-09-28
2016,예산읍 관작리 512-13,공중걷기  허리돌리기  역기올리기  작은활차,4,명성이앤비,예산읍,,2022-09-28
2016,삽교읍 두리 672-15,에어워커  달리기,2,명성이앤비,삽교읍,,2022-09-28
2016,삽교읍 신리 347-7,허리돌리기  에어워크  숄더휠  달리기  물결타기,5,명성이앤비,삽교읍,,2022-09-28
2016,대술면 화천리 718-3,허리돌리기  다리펴기  파도타기  어깨돌리기  팔돌리기  등허리풀기,6,명성이앤비,대술면,,2022-09-28
2016,대술면 장복리 297,팔돌리기  파도타기  하늘걷기,3,명성이앤비,대술면,,2022-09-28
2016,대술면 시산리 483-16,팔돌리기  파도타기  하늘걷기,3,명성이앤비,대술면,,2022-09-28
2016,대술면 산정리 308,허리돌리기,1,한성파크,대술면,,2022-09-28
2016,신양면 시왕리 450-12,윗몸일으키기 허리돌리기  옥외용벤치  싸이클 달리기  양팔줄당기기 상체근육풀기,4,명성이앤비,신양면,,2022-09-28
2016,덕산면 봉운로 51-1, 물결타기 오금펴기 운동  어깨유연성운동 하늘걷기,2,명성이앤비,덕산면,,2022-09-28
2016,덕산면 사천리 22-3, 어개유연성운동 하늘걷기  허리돌리기  상체근육풀기운동   물결타기 오금펴기  물결타기,5,명성이앤비,덕산면,,2022-09-28
2016,원평2리상벌(원평리 836-5),윗몸일으키기·허리돌리기 상체근육풀기·어깨유연성운동,2,명성이앤비㈜,오가면,,2022-09-28
2016,신장리 국사봉(신장리 96-2),윗몸일으키기·허리돌리기,4,명성이앤비㈜,오가면,,2022-09-28
2016,분천2리공동창고앞(분천길 150),상체근육풀기·어깨유연성운동 윗몸일으키기·허리돌리기,2,명성이앤비㈜,오가면,,2022-09-28
2016,대흥면 상중리 산11-1,공중걷기 유형,1,명성이앤비㈜,휴양림,관광시설,2022-09-28
2016,대흥면 상중리 산11-1,파도타기 유형,1,명성이앤비㈜,휴양림,관광시설,2022-09-28
2016,대흥면 상중리 산11-1,허리돌리기 유형,1,명성이앤비㈜,휴양림,관광시설,2022-09-28
2016,대흥면 상중리 산11-1,어깨근육풀기유형,1,명성이앤비㈜,휴양림,관광시설,2022-09-28
2016,대흥면 상중리 산11-1,윗몸일으키기유형,1,명성이앤비㈜,휴양림,관광시설,2022-09-28
2017,예산군 예산읍 784,역기올리기 역기내리기  레그프레스 달리기  자전거 허리돌리기  공중걷기 작은활차,4,㈜애니휘트니스,예산읍,교육체육과,2022-09-28
2017,예산읍 수철리 305-4,허리돌리기  등허리근육풀기  오금펴기  공중걷기  역기올리기  달리기,6,㈜디자인파크개발,예산읍,건설교통과,2022-09-28
2017,예산읍 대회리 221-3,작은활차돌리기  마라톤운동,2,㈜와이제이조경산업,예산읍,건설교통과,2022-09-28
2017,예산읍 궁평리 203-3,공중걷기  상체근육풀기  역기올리기  좌식사이클,4,명성이앤비,예산읍,,2022-09-28
2017,예산읍 발연리 90-1,파도타기  허리돌리기  윗몸일으키기  등허리펴기,4,명성이앤비,예산읍,,2022-09-28
2017,예산읍 발연리 136-1,공중걷기  파도타기  허리돌리기  달리기  어깨근육풀기,5,명성이앤비,예산읍,,2022-09-28
2017,예산읍 산성리 646,달리기  레그프레스  어깨근육풀기  등허리지압  좌식 사이클,6,명성이앤비,예산읍,,2022-09-28
2017,예산읍 수철리 산91,공중걷기  파도타기  윗몸일으키기  철봉  평행봉  구름사다리,6,명성이앤비,예산읍,,2022-09-28
2017,예산읍 신례원리 409-4,공중걷기 허리돌리기   파도타기   달리기   레그프레스 ,4,명성이앤비,예산읍,,2022-09-28
2017,예산읍 대회리 221-3,작은활차돌리기  마라톤운동,2,명성이앤비,예산읍,,2022-09-28
2017,예산읍 수철리 305-4,허리돌리기 등허리지압기  등허리근육풀기 윗몸일으키기  오금펴기,6,명성이앤비,예산읍,,2022-09-28
2017,예산읍 간양리 511-7,공중걷기 상체근육풀기 레그프레스 역기내리기,4,명성이앤비,예산읍,,2022-09-28
2017,예산읍 예산리 43-3,공중걷기  허리돌리기  달리기  역기올리기,4,명성이앤비,예산읍,,2022-09-28
2017,삽교읍 두리 532-5,몸통강화기  허리돌리기 가슴강화기,3,명성이앤비,삽교읍,,2022-09-28
2017,삽교읍 삽교리 359-3,가슴강화기  물결타기,5,명성이앤비,삽교읍,,2022-09-28
2017,삽교읍 신가리 266-55,물결타기 달리기 허리돌리기 숄더휠 에어워크,5,명성이앤비,삽교읍,,2022-09-28
2017,삽교읍 신리 436-7,에어워커  달리기 물결타기 오금펴기,4,명성이앤비,삽교읍,,2022-09-28
2017,삽교읍 용동리 938-48,가슴강화기 물결타기  허리돌리기,3,명성이앤비,삽교읍,,2022-09-28
2017,신양면 차동리 587-3,하체근육풀기 등허리지압기  윗몸일으키기 허리돌리기  양팔줄당기기 상체근육풀기  물결타기 평행봉,4,명성이앤비,신양면,,2022-09-28
2017,신양면 귀곡리 1037,트위스트 머신  물결타기 평행봉  윗몸일으키기 허리돌리기  롤링머신,4,명성이앤비,신양면,,2022-09-28
2017,광시면 시목1길 26-3,공중걷기  허리돌리기  하체근육풀기  양팔줄당기기  기타유형(물결타기형),5,명성이앤비,광시면,,2022-09-28
2017,대흥면 동서리 산47,자유철봉 옴몸근육풀기  윗몸일으키기 허리돌리기  등허리지압,3,명성이앤비㈜,대흥면,,2022-09-28
