설치 주소,설치기구종류,담당부서,최근5년설치현황
계룡면 화헌리 235,운동기구 8점,문화체육과,2008
계룡면 경천리 246,운동기구 4점,문화체육과,2015
계룡면 경천리 375,운동기구 11점,문화체육과,2015
계룡면 봉명리 119,운동기구 9점,문화체육과,2015
계룡면 유평리 400,운동기구 3점,문화체육과,2015
계룡면 향지리 345,운동기구 9점,문화체육과,2015
계룡면 양화1리 165-1,운동기구 4점,문화체육과,2016
계룡면 월암리 385,운동기구 4점,문화체육과,2016
계룡면 내흥리 629,운동기구 4점,문화체육과,2016
계룡면 중장리 379-6,운동기구 4점,문화체육과,2016
계룡면 화은리 281-1,운동기구 4점,문화체육과,2016
계룡면 중장리 142-4,운동기구 6종,문화체육과,2017
계룡면 신원사로 199,운동기구 6종,문화체육과,2018
계룡면 성밑길 52,운동기구 6종,문화체육과,2018
계룡면 월암리 158-1(월암게이트볼장),운동기구 5점,문화체육과,
반포면 송곡리 363,운동기구 8점,문화체육과,1998
반포면 공암리 564,운동기구 8점,문화체육과,2013
반포면 송곡리 156-9,운동기구 7점,문화체육과,2013
반포면 온천리 445,운동기구 4점,문화체육과,2013
반포면 마암리 541-8,운동기구 4점,문화체육과,2015
반포면 봉곡리 443-1,운동기구 4점,문화체육과,2015
반포면 송곡리 363,운동기구 4점,문화체육과,2015
반포면 학봉리 794-52,운동기구 7점,문화체육과,2015
반포면 학봉리 633 ,운동기구 5점,문화체육과,2016
반포면 마암리 347-1,운동기구 4점,문화체육과,2016
반포면 봉곡리 446-3,운동기구 6종,문화체육과,2018
반포면 학봉리 산19-23(동학사2로 132옆),운동기구 10종,문화체육과,2018
반포면 학봉리 915,운동기구 3종,문화체육과,
반포면 마암리 211,운동기구 4종,문화체육과,
이인면 이인리 427,운동기구 8점,문화체육과,2001
이인면 달산리 228(달밭1길 58-2),운동기구 5점,문화체육과,2014
이인면 초봉리 308,운동기구 7점,문화체육과,2014
이인면 달산리 354(달밭2길 47),운동기구 3점,문화체육과,2015
이인면 구암1리 173-4,운동기구 3점,문화체육과,2016
