연번,읍면,리,설치년도,주소(세부위치),수량,주이용자,관리부서,관리자
1,계곡,가학,2008,산1번지(흑석산자연휴양림),8,휴양림이용객,산림녹지과산림휴양팀,
2,계곡,신평,2013,신평리694-13(소공원),6,마을주민및면민,계곡면장,신평이장
3,계곡,여수,2013,여수리424(마을회관),4,마을주민,계곡면장,여수이장
4,계곡,둔주,2014,덕정리80-9(마을공터),4,마을주민,계곡면장,둔주이장
5,계곡,가학,2015,가학리95(마을회관),4,마을주민,계곡면장,가학이장
6,계곡,방춘,2015,방춘리557(마고마을회관정자앞),4,마을주민,계곡면장,방춘이장
7,계곡,신기,2015,당산리621-6(회관앞정원),4,마을주민,계곡면장,신기이장
8,계곡,장소,2015,장소리52-1(마을회관앞),4,마을주민,계곡면장,장소이장
9,계곡,당산,2016,당산리355-7(마을회관뒤),4,마을주민,계곡면장,당산이장
10,계곡,신성,2016,성진리59(계곡면분회앞),4,마을주민,계곡면장,신성이장
11,계곡,신주,2016,선진리578(마을정자옆),2,마을주민,계곡면장,신주이장
12,계곡,대운,2017,반계리405-1(정자옆),4,마을주민,계곡면장,대운이장
13,계곡,반계,2017,반계리279-3(마을정자옆),4,마을주민,계곡면장,반계이장
14,계곡,용지,2017,사정리111-1(마을회관옆),3,마을주민,계곡면장,용지이장
15,계곡,잠두,2017,잠두리395(정자옆),4,마을주민,계곡면장,잠두이장
16,계곡,사정,2018,사정리250(마을회관앞),4,마을주민,계곡면장,사정이장
17,계곡,선진,2018,선진리317(정자옆),4,마을주민,계곡면장,선진이장
18,계곡,용호,2018,법곡리42(마을회관앞),3,마을주민,계곡면장,용호이장
19,계곡,황죽,2018,황죽리237(마을회관옆),4,마을주민,계곡면장,황죽이장
20,계곡,태인,2019,당산리900(마을회관옆),2,마을주민,계곡면장,태인이장
21,계곡,마고,2021,방춘리1123,4,마을주민,계곡면장,마고이장
22,계곡,신촌,2021,사정리558,3,마을주민,계곡면장,신촌이장
23,계곡,월신,2021,법곡리386,2,마을주민,계곡면장,월신이장
24,마산,화내,2008,마산면은적사길13마산초등학교내,12,마을주민,마산면장,화내이장
25,마산,안정,2013,마산면마산로445면사무소공간,4,마을주민,마산면장,안정이장
26,마산,맹진,2014,마산면맹진길45마을회관앞,4,마을주민,마산면장,맹진이장
27,마산,연구,2014,마산면연구길283-2마을회관앞,4,마을주민,마산면장,연구이장
28,마산,산막,2015,마산면산막길48마을회관앞,5,마을주민,마산면장,산막이장
29,마산,원덕,2015,마산면흑석로203-6게이트볼장위,4,마을주민,마산면장,원덕이장
30,마산,월곡,2015,마산면영해동길27-12마을회관앞,5,마을주민,마산면장,월곡이장
31,마산,육일시,2015,마산면용전리990-4마을회관,4,마을주민,마산면장,육일시이장
32,마산,노하,2016,마산면노하길42(마을회관앞),5,마을주민,마산면장,노하이장
33,마산,덕인,2016,마산면덕인길50회관앞,4,마을주민,마산면장,덕인이장
34,마산,송석,2016,마산면송석길23(마을회관앞),5,마을주민,마산면장,송석이장
35,마산,월산,2016,마산면영해동길88(마을회관앞),5,마을주민,마산면장,월산이장
36,마산,남계,2017,마산면장촌리392-1(마을회관),5,마을주민,마산면장,남계이장
37,마산,상등,2017,마산면상등리613-5(우산각옆),5,마을주민,마산면장,상등이장
38,마산,신기,2017,마산면용전리453-1,3,마을주민,마산면장,신기이장
39,마산,용소,2017,마산면산이로348-7(학의교회옆),4,마을주민,마산면장,용소이장
40,마산,대상,2018,마산면대상길8마을회관앞,3,마을주민,마산면장,대상이샂
41,마산,신당,2018,마산면신당길107마을회관앞,4,마을주민,마산면장,신당이장
42,마산,상등(덕정),2019,상등리390-1(노인회관앞),4,마을주민,마산면장,상등이장
43,마산,외호,2019,마산면외호리57마을회관앞,2,마을주민,마산면장,외호이장
44,마산,장성,2020,마산면상등리185-5,4,마을주민,마산면장,장성이장
45,마산,화내,2020,마산면화내리509,4,마을주민,마산면장,화내이장
46,마산,당두,2021,마산면연구리1275,4,마을주민,마산면장,당두이장
47,마산,용전,2021,마산면용전리78-3,4,마을주민,마산면장,용정이장
48,마산,학의,2021,마산면학의리493-2,4,마을주민,마산면장,학의이장
49,문내,동영,2013,동외리920(마을회관),4,마을주민,문내면장,동영이장
50,문내,무고,2013,무고리168-1(마을회관),6,마을주민,문내면장,무고이장
