실외운동기구설치주소,설치기구종류,담당부서,최근5년간설치현황,설치업체 운동기구 관리 횟수,고장난 실외운동기구
전라북도 군산시 나포면 나포리 400-1,공중걷기+상체근육풀기+어깨근육풀기+윗몸일으키기,군산시 체육진흥과,2015 설치,수시점검,없음
전라북도 군산시 조촌동 491,공중걷기+파도타기+허리돌리기+상체근육풀기+어깨근육풀기+등허리지압기,군산시 체육진흥과,2015 설치,수시점검,없음
전라북도 군산시 조촌동 461,"공중걷기+허리돌리기+등허리지압기+몸통돌리기, 손자전거, 구름다리, 평균대건너기",군산시 체육진흥과,2015 설치,수시점검,없음
전라북도 군산시 조촌동 496-6,공중걷기+허리돌리기+상체근육풀기+어깨근육풀기,군산시 체육진흥과,2015 설치,수시점검,없음
전라북도 군산시 대야면 지경리 128-63,공중걷기+허리돌리기+상체근육풀기+어깨근육풀기+파도타기,군산시 체육진흥과,2015 설치,수시점검,없음
전라북도 군산시 대야면 죽산리 312-3,공중걷기+허리돌리기+상체근육풀기+어깨근육풀기+파도타기,군산시 체육진흥과,2015 설치,수시점검,없음
전라북도 군산시 대야면 접산리 227-10,공중걷기+허리돌리기+상체근육풀기+어깨근육풀기+파도타기+역기올리기+역기내리기,군산시 체육진흥과,2015 설치,수시점검,없음
전라북도 군산시 서수면 관원리 156-3,공중걷기+허리돌리기+상체근육풀기+어깨근육풀기+파도타기,군산시 체육진흥과,2015 설치,수시점검,없음
전라북도 군산시 나포면 주곡리 1136-1 ,공중걷기+허리돌리기+상체근육풀기+어깨근육풀기+파도타기,군산시 체육진흥과,2015 설치,수시점검,없음
전라북도 군산시 나포면 장상리 792-1,공중걷기+허리돌리기+상체근육풀기+어깨근육풀기+파도타기,군산시 체육진흥과,2015 설치,수시점검,없음
전라북도 군산시 나포면 서포리 121,공중걷기+허리돌리기+상체근육풀기+어깨근육풀기+파도타기,군산시 체육진흥과,2015 설치,수시점검,없음
전라북도 군산시 나포면 일원,공중걷기+허리돌리기+상체근육풀기+어깨근육풀기+파도타기,군산시 체육진흥과,2015 설치,수시점검,없음
전라북도 군산시 구암동 63-44 ,공중걷기+파도타기+허리돌리기+달리기+역기올리기+윗몸일으키기+역기내리기,군산시 체육진흥과,2015 설치,수시점검,없음
전라북도 군산시 서수면 축동리 185-5 ,공중걷기+파도타기+허리돌리기+상체근육풀기+어깨근육풀기,군산시 체육진흥과,2015 설치,수시점검,없음
전라북도 군산시 개정면 아동리 690-1,허리돌리기+상체근육풀기+달리기+역기내리기+양팔줄당기기+좌식싸이클,군산시 체육진흥과,2015 설치,수시점검,없음
전라북도 군산시 대야면 보덕리 749-3,파도타기+허리돌리기+상체근육풀기+역기내리기+좌식싸이클,군산시 체육진흥과,2015 설치,수시점검,없음
전라북도 군산시 임피면 영창리 833-3,파도타기+허리돌리기+달리기,군산시 체육진흥과,2015 설치,수시점검,없음
전라북도 군산시 성산면 고봉리 105-6,공중걷기+파도타기+허리돌리기+상체근육풀기+달리기,군산시 체육진흥과,2015 설치,수시점검,없음
전라북도 군산시 옥도면 신시도리 105,공중걷기+허리돌리기+상체근육풀기+어깨근육풀기+좌식싸이클,군산시 체육진흥과,2015 설치,수시점검,없음
전라북도 군산시 서수면 서수리 502-5,공중걷기+파도타기+허리돌리기+달리기+역기내리기+좌식싸이클,군산시 체육진흥과,2015 설치,수시점검,없음
전라북도 군산시 개정면 아동리 232-5,공중걷기+파도타기+허리돌리기+상체근육풀기+어깨근육풀기,군산시 체육진흥과,2015 설치,수시점검,없음
전라북도 군산시 옥구읍 선제리 511-4,공중걷기+파도타기+허리돌리기+상체근육풀기+어깨근육풀기+노젓기,군산시 체육진흥과,2015 설치,수시점검,없음
전라북도 군산시 개사동 118-4,공중걷기+파도타기+허리돌리기+상체근육풀기+어깨근육풀기+노젓기,군산시 체육진흥과,2015 설치,수시점검,없음
전라북도 군산시 옥서면 선연리 29-3,공중걷기+허리돌리기+상체근육풀기+어깨근육풀기+좌식싸이클,군산시 체육진흥과,2015 설치,수시점검,없음
전라북도 군산시 옥도면 두리도리,공중걷기+허리돌리기+상체근육풀기+어깨근육풀기+좌식싸이클,군산시 체육진흥과,2015 설치,수시점검,없음
전라북도 군산시 서수면 관원리,공중걷기+파도타기+허리돌리기+상체근육풀기+어깨근육풀기,군산시 체육진흥과,2015 설치,수시점검,없음
전라북도 군산시 서수면 금암리 261,공중걷기+파도타기+허리돌리기+상체근육풀기+어깨근육풀기,군산시 체육진흥과,2015 설치,수시점검,없음
전라북도 군산시 대야면 보덕리 886-3,공중걷기+파도타기+허리돌리기+상체근육풀기+어깨근육풀기,군산시 체육진흥과,2015 설치,수시점검,없음
전라북도 군산시 경암동 636-51,공중걷기+파도타기+허리돌리기+상체근육풀기+어깨근육풀기,군산시 체육진흥과,2015 설치,수시점검,없음
전라북도 군산시 구암동 산20-4,공중걷기+파도타기+허리돌리기+상체근육풀기+어깨근육풀기,군산시 체육진흥과,2015 설치,수시점검,없음
전라북도 군산시 조촌동 867-15,공중걷기+파도타기+달리기+역기올리기+레그프레스+역기내리기,군산시 체육진흥과,2016 설치,수시점검,없음
전라북도 군산시 옥구읍 수산리 151-124,공중걷기+허리돌리기+상체근육풀기+어깨근육풀기+등허리지압기,군산시 체육진흥과,2016 설치,수시점검,없음
전라북도 군산시 옥구읍 어은리 1813-7,공중걷기+허리돌리기+상체근육풀기+어깨근육풀기+등허리지압기,군산시 체육진흥과,2016 설치,수시점검,없음
전라북도 군산시 개정동 297-4,공중걷기+허리돌리기+상체근육풀기+어깨근육풀기+등허리지압기,군산시 체육진흥과,2016 설치,수시점검,없음
전라북도 군산시 개정동 145-3,공중걷기+파도타기+허리돌리기+레그프레스+노젓기,군산시 체육진흥과,2016 설치,수시점검,없음
전라북도 군산시 옥도면 야미도리 167,공중걷기+허리돌리기+상체근육풀기+어깨근육풀기+등허리지압기,군산시 체육진흥과,2016 설치,수시점검,없음
전라북도 군산시 임피면 읍내리 599-5,공중걷기+파도타기+허리돌리기+상체근육풀기,군산시 체육진흥과,2016 설치,수시점검,없음
전라북도 군산시 회현면 월연리 416-53,공중걷기+파도타기+허리돌리기+상체근육풀기,군산시 체육진흥과,2016 설치,수시점검,없음
전라북도 군산시 성산면 둔덕리 388-1,공중걷기+파도타기+허리돌리기+상체근육풀기,군산시 체육진흥과,2016 설치,수시점검,없음
전라북도 군산시 수송동 77-3,공중걷기+파도타기+허리돌리기+상체근육풀기,군산시 체육진흥과,2016 설치,수시점검,없음
전라북도 군산시 나포리 555-2,공중걷기+파도타기+허리돌리기+상체근육풀기+달리기+역기올리기+레그프레스+어깨근육풀기+윗몸일으키기+역기내리기+노젓기,군산시 체육진흥과,2016 설치,수시점검,없음
전라북도 군산시 회현면 원우리 442-3,공중걷기+파도타기+허리돌리기,군산시 체육진흥과,2016 설치,수시점검,없음
전라북도 군산시 신흥동 8-10,파도타기+허리돌리기+상체근육풀기+레그프레스+어깨근육풀기+노젓기,군산시 체육진흥과,2016 설치,수시점검,없음
전라북도 군산시 대야면 복교리 86-18,공중걷기+파도타기+허리돌리기+상체근육풀기+어깨근육풀기,군산시 체육진흥과,2016 설치,수시점검,없음
