연번,시설명,설치위치,설치대수,체육시설 내역,담당부서,설치년도,데이터기준일
1,교촌공원,전라북도 장수군 장수읍 장수리 69,6, 하체 근육풀기 2개 1조 허리돌리기 2개 1조 온몸 들어올리기 1조 온몸 역기내리기 1조 다리 쭉 뻗치기 1조 크로스 컨츄리 1조,안전재난과,2011,2022-08-26
2,노하숲,전라북도 장수군 장수읍 노하리 367-2,11, 허리돌리기 1조 자전가 타기 1조 어깨돌리기 3개 1조 어깨돌리기 3개 1조 평행봉 4조 다리올리기 2조팔굽혀펴기 2조 다리뻣기 2조 공중걷기 1조윗몸일으키기 3조구름사다리 1조,산림과,,2022-08-26
3,노하작은숲,전라북도 장수군 장수읍 노하리 394,3," 등,허리 지앞기 1조 파도타기(좌우) 2개 1조허리돌리기 2개 1조",산림과,,2022-08-26
4,동촌 탑푸르트,전라북도 장수군 장수읍 동촌리 495-27,8, 윗몸 일으키기 2개 1조어깨근육 풀기 2개 1조상체근육풀기 2개 1조등+허리 지압기 1조하체근육풀기 1조허리돌리기 2개 1조 달리기운동 2개 1조농구대 1조,문화체육관광과,,2022-08-26
5,원송천마을,전라북도 장수군 장수읍 송천리 1358,5, 상체 근육풀기 2개 1조 등허리 지압기 2개 1조 달리기 2개 1조  공중걷기 2개 1조  허리돌리기 2개 1조  족구장 1개소,문화체육관광과,,2022-08-26
6,용계마을,전라북도 장수군 장수읍 용계리 426-2,3, 윗몸일으키기 2개 1조  허리돌리기 3개 1조  하늘 걷기 1조,문화체육관광과,,2022-08-26
7,안양마을 방문자센터,전라북도 장수군 장수읍 용계리 740-2,3, 하늘걷기 2개 1조  노젓기 2개 1조  하체 흔들기 2개 1조,문화체육관광과,,2022-08-26
8,의암공원,전라북도 장수군 장수읍 두산리 458,8, 허리돌리기 2개 1조  온몸 노젓기 2개 1조  다리 뻣치기 2개 1조  하늘 걷기 2개 1조  옆파도타기 2개 1조 온몸역기내리기 2개 1조 마리톤 운동 2개 1조  허벅지 운동 2개 1조 ,산림과,,2022-08-26
9,장수노인복지관,전라북도 장수군 장수읍 노하3길 16,1,양팔줄당기기+어깨근육풀기+옆파도타기+허리돌리기 1조,주민복지실,,2022-08-26
10,마하보건진료소,전라북도 장수군 산서면 평촌길 1,4," 큰활차, 작은활차돌리기(1조)   허리돌리기(2개 1조)  자전거(2개 1조)  윗몸일으키기(2개 1조)",문화체육관광과,2017,2022-08-26
11,이룡마을,전라북도 장수군 산서면 오룡길 4,4,"  허리돌리기(1조)   달리기 운동(2개 1조)  역기올리기, 내리기(1조)  다리밀기(2개 1조)",문화체육관광과,2017,2022-08-26
12,사창마을,전라북도 장수군 산서면 사창길 23-4,5," 허리돌리기(2개 1조)  공중걷기(1조)  달리기 (1조)  큰활차, 작은활차 돌리기(1조)  역기올리기(2개 1조)",문화체육관광과,2016,2022-08-26
