설치주소,기구종류,기구수량,설치년도,관리주기,관리부서,데이터기준일자
전라북도 정읍시 신태인읍 백산리 138-1(경로당),좌식자전거타기,1,2014,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신태인읍 백산리236(경로당),"공중걷기,허리돌리기,양팔줄당기기",3,2013,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신태인읍 백산리 1149(경로당),"공중걷기,허리돌리기,양팔줄당기기",3,2013,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신태인읍 백산리 737-25(경로당),"공중걷기,허리돌리기,양팔줄당기기",3,2013,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신태인읍 신태인리 43-1(한진@),"허리돌리기,공중걷기+줄당기기",2,2022,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신태인읍 신태인리 405-10(현대@),"활차머신 및 양팔줄당기기, 공중걷기 및 허리돌리기",2,2015,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신태인읍 신태인리 285(제일교회 앞),"허리돌리기,양팔줄당기기",2,2013,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신태인읍 신태인리 267(침례교회 앞),"허리돌리기,양팔줄당기기",2,2013,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신태인리 359-2(마을공원),"공중걷기,허리돌리기,양팔줄당기기, 역기올리기",4,2012,상시,정읍시 시설관리사업소,2022-12-14
"전라북도 정읍시 신태인리 414-8, 413-6(마을공원)","공중걷기2,허리돌리기2, 양팔줄당기기2, 큰활차머신2",8,2012,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신태인읍 신태인리 66-2(북부노인복지),"공중걷기,허리돌리기,상체근육풀기,윗몸일으키기,등허리지압기,철봉,양팔중당기기,평행봉",11,2009,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신태인리 560-1(마을공원),"양팔줄당기기(2),큰활차머신,허리돌리기,공중걷기",4,2012,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신태인리 542-16(마을공원),"공중걷기,허리돌리기,큰활차머신,양팔줄당기기",4,2012,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신태인읍 신태인리 736-1(주공@),"공중걷기,큰활차머신,허리돌리기 및 윗몸일으키기",3,2009,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신태인읍 연정리 100-2(경로당),"공중걷기+양팔줄당기기,허리돌리기+파도타기, 등허리지압기+노르딕머신",3,2013,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신태인읍 연정리 396-3(경로당),"공중걷기+양팔줄당기기,허리돌리기+파도타기, 등허리지압기+노르딕머신",3,2013,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신태인읍 양괴리 360-2(경로당),"허리돌리기,큰활차머신",2,2014,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 정우면 대사리 876(신태인축구장),"윗몸일으키기,큰활차머신,등허리지압기,파도타기,공중걷기,허리돌리기,노르딕머신",6,2016,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신태인읍 화호리 766-2(공원),"오금펴기,윗몸일으키기,허리돌리기,양팔줄당기기,평행봉",5,2006,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신태인읍 화호리 7길27(경로당),"입식자전거 및 큰활차머신, 상체근육풀기 및 허리돌리기",2,2017,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신태인읍 화호리 6길13(경로당),"좌식자전거 및 양팔줄당기기, 허리돌리기",2,2017,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신태인읍 연정리661,"공중걷기, 허리돌리기, 큰활차머신",3,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신태인읍 대사리 876(신태인축구장),허리돌리기,1,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신태인읍 석지로 436(경로당),"공중걷기,허리돌리기,어깨근육풀기",3,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신태인읍 우령3길 19(마을회관),"달리기운동,상체근육풀기,허리돌리기",3,2018,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신태인읍 신태인리 158-26(모정 앞),"파도타기+공중걷기, 양팔줄당기기+허리돌리기",2,2019,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신태인읍 신용리 1730 (장교마을 모정 옆),"허리돌리기+달리기운동, 큰활차머신+작은활차머신",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신태인읍 괴동1길 67,"양팔줄당기기, 상체근육풀기+허리돌리기",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신태인읍 청천리 659-19(상서 마을회관),"허리돌리기+달리기운동, 큰활차머신+작은활차머신",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신태인읍 양괴리 산정2길 43-2(산정 마을회관),"허리돌리기+달리기운동, 큰활차머신+작은활차머신",2,2020,상시,정읍시 시설관리사업소,2022-12-14
전라북도 정읍시 신태인읍 우령리 우항길 15(우항 마을회관),"허리돌리기+달리기운동, 큰활차머신+작은활차머신",2,2020,상시,정읍시 시설관리사업소,2022-12-14
