소재지,운동기구1,운동기구2,운동기구3,운동기구4,운동기구5,운동기구6,운동기구7,운동기구8,운동기구9,운동기구10,운동기구11,운동기구12,관리부서
충청남도 천안시 목천읍 천정3길4,공중걷기,상체근육풀기+파도타기,등허리지압기+허리지압기,허리돌리기,,,,,,,,,체육진흥과
충청남도 천안시 목천읍 천정2길 46,상체근육풀기+파도타기,허리돌리기,공중걷기,자전거타기+오금펴기,,,,,,,,,체육진흥과
충청남도 천안시 목천읍 삼성3길 23,달리기,허리돌리기,,,,,,,,,,,체육진흥과
충청남도 천안시 목천읍 삼성1길 7,공중걷기+파도타기,허리돌리기,달리기,작은활차머신,등허리지압기,철봉+평행봉,,,,,,,체육진흥과
충청남도 천안시 목천읍 교천3길 12-5,공중걷기+달리기,허리돌리기,어깨근육풀기,,,,,,,,,,체육진흥과
충청남도 천안시 목천읍 동평리 산14-12,달리기+큰활차머신,공중걷기+허리돌리기,,,,,,,,,,,체육진흥과
충청남도 천안시 목천읍 지산리 141-4,허리돌리기,달리기,,,,,,,,,,,체육진흥과
충청남도 천안시 목천읍 동평8길 57,싸이클+허리돌리기,공중걷기+어깨근육풀기,,,,,,,,,,,체육진흥과
충청남도 천안시 목천읍 덕전리 375-1,싸이클+허리돌리기,공중걷기+어깨근육풀기,,,,,,,,,,,체육진흥과
충청남도 천안시 풍세면 상정1길 22,공중걷기,파도타기,허리돌리기,상체근육풀기,,,,,,,,,체육진흥과
충청남도 천안시 풍세면 상마2길 10,파도타기,허리돌리기,상체근육풀기,공중걷기,,,,,,,,,체육진흥과
충청남도 천안시 풍세면 송정안2길6-7,파도타기,허리돌리기,달리기,윗몸일으키기,,,,,,,,,체육진흥과
충청남도 천안시 풍세면 가송리 102-3,공중걷기,파도타기,허리돌리기,상체근육풀기,,,,,,,,,체육진흥과
충청남도 천안시 풍세면 미죽리 485,파도타기,허리돌리기,,,,,,,,,,,체육진흥과
충청남도 천안시 풍세면 미죽로 400,파도타기,허리돌리기,달리기,역기내리기,,,,,,,,,체육진흥과
충청남도 천안시 풍세면 미죽로 167,공중걷기,파도타기,허리돌리기,어깨근육풀기,,,,,,,,,체육진흥과
충청남도 천안시 풍세면 남관리675,공중걷기,파도타기,허리돌리기,역기내리기,,,,,,,,,체육진흥과
충청남도 천안시 풍세면 풍서리 694,공중걷기+작은활차,자전거+허리돌리기,,,,,,,,,,,체육진흥과
충청남도 천안시 풍세면 남관리 134,공중걷기+작은활차,자전거+허리돌리기,,,,,,,,,,,체육진흥과
충청남도 천안시 풍세면 남관리 201-1,공중걷기,파도타기,허리돌리기,어깨근육풀기,,,,,,,,,체육진흥과
충청남도 천안시 풍세면 남관리 451,공중걷기,파도타기,허리돌리기,달리기,자전거타기,,,,,,,,체육진흥과
충청남도 천안시 풍세면 금호1길 104,허리돌리기,파도타기,,,,,,,,,,,체육진흥과
충청남도 천안시 풍세면 용정리 441-2,공중걷기,파도타기,허리돌리기,상체근육풀기,,,,,,,,,체육진흥과
충청남도 천안시 풍세면 용정리 72-1,공중걷기,파도타기,허리돌리기,달리기+상체근육풀기,싸이클+오금펴기,,,,,,,,체육진흥과
충청남도 천안시 풍세면 돈마루1길 92,공중걷기,파도타기,허리돌리기,어깨근육풀기,역기내리기,,,,,,,,체육진흥과
충청남도 천안시 풍세면 보성리 산1-1,윗몸일으키기,파도타기,허리돌리기,달리기,백스트레칭,,,,,,,,체육진흥과
충청남도 천안시 광덕면 대평원길 17,공중걷기,파도타기,다리뻗치기,상체근육풀기,역기올리기,,,,,,,,체육진흥과
충청남도 천안시 광덕면 대평리 261-2,공중걷기,파도타기,허리돌리기,상체근육풀기,어깨근육풀기,등허리지압기,,,,,,,체육진흥과
충청남도 천안시 광덕면 신흥리 36-15,공중걷기+작은활차,자전거+허리돌리기,,,,,,,,,,,체육진흥과
충청남도 천안시 광덕면 광덕리 650-10,허리돌리기+달리기,작은활차머신+공중걷기,양팔줄당기기+다리뻗치기,,,,,,,,,,체육진흥과
충청남도 천안시 광덕면 광풍로 859,공중걷기,역기올리기 ,허리돌리기,상체근육풀기,어깨근육풀기,등허리지압기,,,,,,,체육진흥과
충청남도 천안시 광덕면 매당리 21-8,공중걷기+파도타기,자전거+허리돌리기,역기올리기+역기내리기,,,,,,,,,,체육진흥과
충청남도 천안시 광덕면 행정리 46-3,공중걷기+허리돌리기,달리기+큰활차머신,다리뻗치기+등허리지압기,,,,,,,,,,체육진흥과
충청남도 천안시 광덕면 원덕리 374-3,공중걷기+허리돌리기,달리기+큰활차머신,,,,,,,,,,,체육진흥과
충청남도 천안시 광덕면 원덕리 417-13,공중걷기+허리돌리기,달리기+큰활차머신,,,,,,,,,,,체육진흥과
충청남도 천안시 광덕면 행촌길 3-3,공중걷기,파도타기,허리돌리기,상체근육풀기,달리기,,,,,,,,체육진흥과
충청남도 천안시 공중걷기+작은활차,자전거+허리돌리기,자전거+허리돌리기,,,,,,,,,,,체육진흥과
충청남도 천안시 북면 납안리 산46-2,거꾸리,파도타기,공중걷기,상체근육풀기,다리뻗치기,윗몸일으키기,역기내리기,계단걷기,철봉,평행봉,,,체육진흥과
충청남도 천안시 북면 삼방로 1355,공중걷기+허리돌리기,상체근육풀기+다리뻗치기,,,,,,,,,,,체육진흥과
충청남도 천안시 북면 납안3길 3,파도타기,허리돌리기,다리뻗치기,,,,,,,,,,체육진흥과
충청남도 천안시 북면 은지리 591,달리기+공중걷기,허리돌리기+어깨유연성운동,,,,,,,,,,,체육진흥과
충청남도 천안시 북면 양곡리 245,달리기+공중걷기,허리돌리기+어깨유연성운동,,,,,,,,,,,체육진흥과
충청남도 천안시 성남면 석곡리 48-12,공중걷기,파도타기,허리돌리기,상체근육풀기,등허리지압기,,,,,,,,체육진흥과
충청남도 천안시 성남면 석곡리 119,파도타기,허리돌리기,,,,,,,,,,,체육진흥과
충청남도 천안시 성남면 봉양리 170-1,역기올리기+물결타기,달리기,,,,,,,,,,,체육진흥과
충청남도 천안시 성남면 대정리 214-4,싸이클+달리기,역기올리기+역기내리기,,,,,,,,,,,체육진흥과
충청남도 천안시 성남면 화성리 236,허리돌리기,어깨근육풀기,,,,,,,,,,,체육진흥과
충청남도 천안시 성남면 신사리 539-4,공중걷기+달리기,허리돌리기,,,,,,,,,,,체육진흥과
충청남도 천안시 성남면 대흥리 530-2,달리기+큰활차머신,공중걷기+허리돌리기,,,,,,,,,,,체육진흥과
충청남도 천안시 수신면 백자리 558-7,역기내리기,파도타기+공중걷기,,,,,,,,,,,체육진흥과
충청남도 천안시 수신면 장산리 103,공중걷기,파도타기,어깨근육풀기,,,,,,,,,,체육진흥과
충청남도 천안시 수신면 해정리 452-9,공중걷기,파도타기,허리돌리기,상체근육풀기,양팔줄당기기,,,,,,,,체육진흥과
충청남도 천안시 수신면 발산리 297-3,공중걷기,허리돌리기,상체근육풀기,등허리지압기,,,,,,,,,체육진흥과
충청남도 천안시 수신면 신풍리 82-1,공중걷기,파도타기,상체근육풀기,윗몸일으키기,평행봉,,,,,,,,체육진흥과
충청남도 천안시 수신면 해정리 329,자전거타기+허리돌리기,상체근육풀기+양팔돌리기,달리기+공중걷기,,,,,,,,,,체육진흥과
충청남도 천안시 수신면 백자리 245-1,자전거타기+허리돌리기,달리기+공중걷기,상체근육풀기+어깨근육풀기,,,,,,,,,,체육진흥과
충청남도 천안시 수신면 해정리 408-9,달리기+큰활차머신,공중걷기+허리돌리기,,,,,,,,,,,체육진흥과
충청남도 천안시 수신면 장산리 142-2,달리기+큰활차머신,공중걷기+허리돌리기,,,,,,,,,,,체육진흥과
충청남도 천안시 수신면 발산리 205-5,자전거+허리돌리기,큰활차+작은활차,,,,,,,,,,,체육진흥과
충청남도 천안시 병천면 매봉로 5,공중걷기,파도타기,허리돌리기,달리기,역기올리기,래그프래스,윗몸일으키기,,,,,,체육진흥과
충청남도 천안시 병천면 봉항리 103-1,자전거타기+허리돌리기,달리기+공중걷기,,,,,,,,,,,체육진흥과
충청남도 천안시 병천면 봉항로 883,파도타기,허리돌리기,래그프래스,등허리지압기,,,,,,,,,체육진흥과
충청남도 천안시 병천면 관성리 744-4,달리기+큰활차머신,공중걷기+허리돌리기,,,,,,,,,,,체육진흥과
충청남도 천안시 병천면 도원리 483-1,자전거+허리돌리기,공중걷기+작은활차,,,,,,,,,,,체육진흥과
충청남도 천안시 동면 동산3길 24,공중걷기+작은활차,자전거+허리돌리기,,,,,,,,,,,체육진흥과
충청남도 천안시 동면 덕성1길 140,공중걷기+작은활차,자전거+허리돌리기,,,,,,,,,,,체육진흥과
충청남도 천안시 동면 송연2길 43-8,공중걷기+작은활차,자전거+허리돌리기,,,,,,,,,,,체육진흥과
충청남도 천안시 동면 송연3길 15,달기기+공중걷기,허리돌리기+어깨유연성운동,,,,,,,,,,,체육진흥과
충청남도 천안시 동면 죽계리 203-3,싸이클+허리돌리기,매달리기+상체근육퓰기,,,,,,,,,,,체육진흥과
충청남도 천안시 동면 광덕리 234,싸이클+허리돌리기,공중걷기+어깨근육풀기,,,,,,,,,,,체육진흥과
충청남도 천안시 동면 동산리 546-4,싸이클+허리돌리기,공중걷기+어깨근육풀기,,,,,,,,,,,체육진흥과
충청남도 천안시 동면 수남리 210-20,자전거+허리돌리기,공중걷기+작은활차,,,,,,,,,,,체육진흥과
충청남도 천안시 문성동 성황동 108-1,허리돌리기,작은활차+큰활차,공중걷기+파도타기,두팔노젓기+다리뻗치기,자전거타기,,,,,,,,체육진흥과
충청남도 천안시 중앙동 천안천공원5길 14,허리돌리기,달리기,역기올리기,래그프래스,어깨근육풀기,등허리지압기,역기내리기,,,,,,체육진흥과
충청남도 천안시 원성1동 429-3,역기내리기,양팔돌리기,오금펴기,철봉,평행봉,윗몸일으키기,허리돌리기,달리기,윗몸일으키기,,,,체육진흥과
충청남도 천안시 원성1동 원성천2길 120,파도타기,허리돌리기,공중걷기 ,윗몸일으티기,평행봉,,,,,,,,체육진흥과
충청남도 천안시 원성1동 유량동 230-1,공중걷기+허리돌리기,파도타기+공중걷기,,,,,,,,,,,체육진흥과
충청남도 천안시 원성2동 버들3로 2,공중걷기+파도타기,양팔줄당기기,평행봉,매달려온몸회전하기,다리근육풀기,,,,,,,,체육진흥과
충청남도 천안시 원성2동 원성천2길 38,핸들웨이트,레그스트레치,스트레칭로라,트윈트위스트,상체근육풀기,,,,,,,,체육진흥과
충청남도 천안시 원성2동 원성천1길 55,역기내리기+오금펴기,등허리근육풀기,양팔중당기기,공중걷기+ 허리돌리기,달리기+ 자전거타기,,,,,,,,체육진흥과
충청남도 천안시 원성2동 원성천2길 26,윗몸일으키기,,,,,,,,,,,,체육진흥과
충청남도 천안시 원성2동 원성천2길 16,공중걷기+공중걷기,파도타기+파도타기,허리돌리기+허리돌리기,달리기+달리기,상체근육풀기+상체근육풀기,,,,,,,,체육진흥과
충청남도 천안시 원성2동 원성천2길68,허리돌리기,윗몸일으키기,작은활차+큰활차,자전거타기,철봉,,,,,,,,체육진흥과
충청남도 천안시 봉명동 차돌로 35,공중걷기,허리돌리기,,,,,,,,,,,체육진흥과
충청남도 천안시 일봉동 용곡2길 145,공중걷기,파도타기,허리돌리기,등허리지압기,로프내리기,,,,,,,,체육진흥과
충청남도 천안시 일봉동 용곡동308-2,공중걷기+역기내리기,허리돌리기,어깨유연성운동,윗몸일으키기,,,,,,,,,체육진흥과
충청남도 천안시 일봉동 다가동 507-2,작은활차+큰활차,공중걷기+달리기,윗몸일으키기,거꾸로,역기올리기+역기내리기,자전거타기+허리돌리기,,,,,,,체육진흥과
충청남도 천안시 일봉동 용곡2길 43-11,공중걷기,파도타기,허리돌리기,역기올리기,,,,,,,,,체육진흥과
충청남도 천안시 신방동 845-66,어깨돌리기+양팔근육풀기,윗몸일으키기,허리돌리기+등허리지압기,파도타기+오금펴기,역기내리기+역기올리기,상체근육풀기,노젓기,,,,,,체육진흥과
충청남도 천안시 신방동 천안천변길197,공중걷기+노젓기,오금펴기+파도타기,허리돌리기+등허리지압기,윗몸일으키기+등허리근육풀기,철봉,,,,,,,,체육진흥과
충청남도 천안시 청룡동 청수동 258-1,공중걷기,파도타기,허리돌리기,어깨근육풀기,,,,,,,,,체육진흥과
충청남도 천안시 청룡동 구성동 299-3,어깨유연성운동+허리돌리기,달리기,두팔노젓기+다리뻗치기,,,,,,,,,,체육진흥과
충청남도 천안시 청룡동 구룡동 599-3,달리기+공중걷기,허리돌리기+자전거타기,,,,,,,,,,,체육진흥과
충청남도 천안시 청룡동 청당동 976,하체근육풀기,어깨유연성운동,파도타기,매달려허리돌리기,윗몸일으키기,등펴기,노젓기,공중걷기,등허리지압기,허리돌리기,상체근육풀기,역기올리기+역기내리기,체육진흥과
충청남도 천안시 청룡동 삼룡천2길 67,공중걷기,파도타기,허리돌리기+등허리지압기,상체근육풀기,윗몸일으키기,,,,,,,,체육진흥과
충청남도 천안시 청룡동 구성동 198-1,싸이클+허리돌리기,공중걷기+어깨근육풀기,,,,,,,,,,,체육진흥과
충청남도 천안시 신안동 신부동 818,파도타기,허리돌리기,윗몸일으키기,철봉,평행봉,거꾸리,,,,,,,체육진흥과
충청남도 천안시 신안동 신부동 401-221(홈마트앞),공중걷기,허리돌리기,역기올리기,어깨근육풀기,거꾸리,,,,,,,,체육진흥과
충청남도 천안시 신안동 안서동 281-7,파도타기,공중걷기,허리돌리기,상체근육풀기,래그프래스,윗몸일으키기,역기내리기,,,,,,체육진흥과
충청남도 천안시 신안동 신부동 401-221(더샆앞),상체근육풀기,등허리지압기,자전거타기,공중걷기+허리돌리기,,,,,,,,,체육진흥과
충청남도 천안시 신안동 안서동 426-1,파도타기+허리지압기,허리돌리기,,,,,,,,,,,체육진흥과
충청남도 천안시 신안동 안서동 526-14,달리기,역기내리기,오금펴기 ,양팔근육풀기,허리돌리기,,,,,,,,체육진흥과
충청남도 천안시 신안동 단대로 161-12,허리돌리기,달리기,역기올리기,래그프래스,어깨근육풀기,,,,,,,,체육진흥과
충청남도 천안시 신안동 신부동 608 앞,달리기+자전거,허리돌리기+어깨유연성운동,오금펴기+파도타기,상체근육풀기+로프당기기,,,,,,,,,체육진흥과
충청남도 천안시 신안동 단대로 91-4,하늘걷기+허리돌리기,싸이클링+오금펴기,,,,,,,,,,,체육진흥과
충청남도 천안시 성환읍 성환21길 23,워밍암,크로스컨트리,트윈트위스트+트윈트위스트,,,,,,,,,,체육진흥과
충청남도 천안시 성환읍 안궁1리 56-4,역기올리기+역기내리기,허리돌리기+등러리지압기,파도타기+오금펴기,상체근육풀기,노젓기,,,,,,,,체육진흥과
충청남도 천안시 성환읍 율금1길 276,허리돌리기,어깨유연성운동,파도타기+오금펴기,,,,,,,,,,체육진흥과
충청남도 천안시 성환읍 매주리 산8-1,하늘걷기 ,달리기+상체근육풀기,트위스트머신,싯업머신,체스트풀머신,거꾸로매달리기,,,,,,,체육진흥과
충청남도 천안시 성환읍 매주리 477-3,파도타기,허리돌리기,,,,,,,,,,,체육진흥과
충청남도 천안시 성환읍 무내1길 27,허리돌리기+등러리지압기,파도타기+오금펴기,,,,,,,,,,,체육진흥과
충청남도 천안시 성환읍 양령리 90-42,다리펴기,작은활차머신,노젓기,역기올리기,자유철봉,,,,,,,,체육진흥과
충청남도 천안시 성환읍 도야길 29,허리돌리기+등러리지압기,윗몸일으키기+등러리근육풀기,파도타기+오금펴기,,,,,,,,,,체육진흥과
충청남도 천안시 성환읍 수향리 55-2,어깨유연성운동,공중걷기+노젓기,파도타기+오금펴기,허리돌리기+등러리지압기,상체근육풀기+로프당기기,싸이클링+달리기,,,,,,,체육진흥과
충청남도 천안시 성환읍 잠실길 95,허리돌리기+등러리지압기,공중걷기+노젓기,파도타기+오금펴기,,,,,,,,,,체육진흥과
충청남도 천안시 성환읍 우신리 24-30,어깨유연성운동,공중걷기+노젓기,파도타기+오금펴기,,,,,,,,,,체육진흥과
충청남도 천안시 성환읍 율금1길 221-34,파도타기+오금펴기,공중걷기+노젓기,허리돌리기+등허리지압기,,,,,,,,,,체육진흥과
충청남도 천안시 수향리 55-2,허리돌리기+등허리지압기,양팔근육풀기,자전거+달리기,공중걷기+노젓기,파도타기+오금펴기,로프당기기+상체근육풀기,,,,,,,체육진흥과
충청남도 천안시 왕림리산60-9,쌍큰활차돌리기,자전거 ,달리기,공중걷기 ,파도타기 ,역기올리기,양팔줄당기기,등허리지압기,허리돌리기,,,,체육진흥과
충청남도 천안시 성환읍 안궁4길 9-14,어깨유연성운동,파도타기+오금펴기,공중걷기+노젓기,허리돌리기+등허리지압기,,,,,,,,,체육진흥과
충청남도 천안시 성환읍 천안대로 1843,노젓기+공중걷기,파도타기+오금펴기,어깨유연성운동,,,,,,,,,,체육진흥과
충청남도 천안시 성환읍 연암로 19,몸통흔들기+큰팔돌리기,허리돌기기+공중걷기,,,,,,,,,,,체육진흥과
충청남도 천안시 성환읍 가동길 14-2,몸통흔들기+큰팔돌리기,허리돌리기+공중걷기,종아리맛사지+다리밀기,,,,,,,,,,체육진흥과
충청남도 천안시 성환읍 안궁2길 18-24,큰활차돌리기+달리기,허리돌리기+공중걷기,,,,,,,,,,,체육진흥과
충청남도 천안시 성환읍 안궁2길 94,몸통흔들기+공중걷기,큰팔돌리기+허리돌리기,종아리마사지+다리밀기,,,,,,,,,,체육진흥과
충청남도 천안시 성환읍 매주2길 80,몸통흔들기+큰팔돌리기,허리돌리기+공중걷기,종아리마사지+다리밀기,,,,,,,,,,체육진흥과
충청남도 천안시 성환읍 문화촌2길 7-14,오금펴기+파도타기,공중걷기+노젓기,허리돌리기+어깨유연성운동,,,,,,,,,,체육진흥과
충청남도 천안시 성환읍 대령길 5-2,파도타기+공중걷기,자전겉차기+허리돌리기,달리기+큰할차머신,,,,,,,,,,체육진흥과
충청남도 천안시 성환읍 양령1길 125,공중걷기+허리돌리기,양팔줄당기기+큰활차,,,,,,,,,,,체육진흥과
충청남도 천안시 성환읍 대홍리 356-12,허리돌리기+등허리지압기,오금펴기+파도타기,공중걷기+노젓기,,,,,,,,,,체육진흥과
충청남도 천안시 성환읍 신무길 37,공중걷기+허리돌리기,큰활차머신+달리기,다리뻗치기+등허리지압기,,,,,,,,,,체육진흥과
충청남도 천안시 성환읍 와룡길 60,달리기+공중걷기,허리돌리기+어깨유연성운동,,,,,,,,,,,체육진흥과
충청남도 천안시 성환읍 성환18길 11-45,달리기+공중걷기,허리돌리기+어깨유연성운동,,,,,,,,,,,체육진흥과
충청남도 천안시 성환읍 도감1길 1,허리돌리기+공중걷기,큰활자머신+달리기,다리뻗치기+등허리지압기,,,,,,,,,,체육진흥과
충청남도 천안시 성환읍 성환리 309-34,싸이클+허리돌리기,공중걷기+어깨근육풀기,,,,,,,,,,,체육진흥과
충청남도 천안시 성환읍 홍경길 98,싸이클+허리돌리기,공중걷기+어깨근육풀기,,,,,,,,,,,체육진흥과
충청남도 천안시 성환읍 성월1길 15-1,자전거+허리돌리기,공중걷기+작은활차,,,,,,,,,,,체육진흥과
충청남도 천안시 성거읍 모전리 227-7,파도타기+오금펴기,허리돌리기,상체근육풀기,노젓기+공중걷기,위몸일으키기,,,,,,,,체육진흥과
충청남도 천안시 성거읍 봉주로 107,공중걷기+달리기,파도타기+오금펴기,허리돌리기+등허리지압기,어깨유연성운동+달리기,,,,,,,,,체육진흥과
충청남도 천안시 성거읍 궝말1길 3-7,파도타기+패그프래스,상체근육풀기+등허리지압기,공중걷기+노젓기,허리근육풀기,,,,,,,,,체육진흥과
충청남도 천안시 성거읍 문성2길 6,공중걷기+노젓기,파도타기+오금펴기,허리돌리기+등허리지압기,역기올리기,하체근육풀기,,,,,,,,체육진흥과
충청남도 천안시 성거읍 복덕길 25,허리돌리기+등허리지압기,래그프래스+파도타기,등허리근육풀기,달리기+어깨유연성,노젓기+공중걷기,,,,,,,,체육진흥과
충청남도 천안시 성거읍 천흥리 533-66(천흥6길 4-1),등허리지압기,어깨근육풀기,허리돌리기,,,,,,,,,,체육진흥과
충청남도 천안시 성거읍 천흥4길 6,하체단련기,달리기,,,,,,,,,,,체육진흥과
