설치주소,설치기구 종류,담당부서,설치년도
충청남도 청양군 청양읍 정좌리 110-1,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2014
충청남도 청양군 청양읍 송방리 47,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2015
충청남도 청양군 청양읍 군량리 125-8,허리돌리기1개+ 상체근육풀기1개+레그프레스1개,문화체육관광과,2016
충청남도 청양군 청양읍 송방리 317-1,허리돌리기1개,문화체육관광과,2016
충청남도 청양군 청양읍 정좌리 275,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2016
충청남도 청양군 청양읍 학당리 553-4,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2016
충청남도 청양군 청양읍 읍내리 284-11,공중걷기1개+ 허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2017
충청남도 청양군 청양읍 장승리 280-3,파도타기1개+ 상체근육풀기1개,문화체육관광과,2017
충청남도 청양군 청양읍 읍내리 306,공중걷기1개+ 역기올리기1개+ 레그프레스1개,문화체육관광과,2018
충청남도 청양군 청양읍 학당리,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2018
충청남도 청양군 청양읍 백천리,공중걷기1개+ 허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2018
충청남도 청양군 청양읍 읍내리 14-1,허리돌리기2개+ 파도타기1개+ 상체근육풀기1개+ 입식싸이클1개+공중걷기1개,환경보호과,2018
충청남도 청양군 청양읍 교월리 59,활차머신1개+ 파도타기2개+ 입식싸이클3개+ 허리돌리기2개+ 등풀기1개+ 공중걷기1개+ 양팔줄당기기1개,환경보호과,2018
충청남도 청양군 청양읍 교월리 206-9,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2019
충청남도 청양군 청양읍 학당리 486,허리돌리기1개+ 상체근육풀기1개, , 
충청남도 청양군 청양읍 적누리 296-3,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2019
충청남도 청양군 청양읍 청수리 226-2,파도타기1개+ 허리돌리기1개+ 달리기유형1개,문화체육관광과,2019
충청남도 청양군 청양읍 송방리 124-5,허리돌리기1개+ 상체근육풀기 1개,문화체육관광과,2019
충청남도 청양군 청양읍 백천리 121-2,허리돌리기1개+ 공중걷기1개,문화체육관광과,2019
충청남도 청양군 청양읍 읍내리 376-36,허리돌리기1개+ 활차머신1개+ 달리기운동1개,문화체육관광과,2020
충청남도 청양군 청양읍 정좌리 847,허리돌리기1개+ 활차머신1개,문화체육관광과,2020
충청남도 청양군 청양읍 적누리 310-3,허리돌리기1개+ 활차머신1개+ 달리기운동1개,문화체육관광과,2020
충청남도 청양군 청양읍 우산공원 등산로(산4-1),상체근육운동+ 등근육풀기+ 윗몸일으키기+ 큰활차돌리기+ 허리돌리기,문화체육관광과,
충청남도 청양군 청양읍 벽천리 9-3,공중걷기+ 등근육풀기+ 윗몸일으키기+ 활차머신+ 허리돌리기,문화체육관광과,
충청남도 청양군 청양읍 벽천리 25-2 ,공중걷기+ 달리기+ 등근육풀기+ 활차머신+ 허리돌리기(2개)+ 레크프레스,문화체육관광과,
충청남도 청양군 청양읍 읍내리 216-13,턱걸이+ 공중걷기+ 등근육풀기+ 윗몸일트키기+ 활차머신+ 어깨근육풀기+ 허리돌리기,건설도시과,2020 이전
충청남도 청양군 청양읍 적누리 378-1,허리돌리기+공중걷기 1개+  작은활차+좌식자전거 1개,문화체육관광과,2021
충청남도 청양군 청양읍 교월리 81-15,달리기 1개+ 공중걷기 1개,문화체육관광과,
충청남도 청양군 청양읍 읍내리 184-11,상체근육2+하늘걷기+자전거타기+어깨근육풀기,문화체육관광과,
충청남도 청양군 청양읍 읍내리 160-4,하늘걷기+허리돌리기+ 상체근육출기,농촌공동체과,2021
충청남도 청양군 청양읍 적누리 562,하늘걷기+ 허리돌리기,문화체육관광과,
충청남도 청양군 청양읍 교월리 203-1,작은활차머신1개+ 큰활차머신1개+ 등허리지압기1개+ 매달리기(자유철봉) 1개,문화체육관광과,
충청남도 청양군 청양읍 송방리 317-1,온몸근육풀기+어깨근육풀기,문화체육관광과,2021
충청남도 청양군 청양읍 읍내리 371-6,역기올리기+싣업 1개+ 큰활차+ 파도타기 1개+ 자전거타기+달리기 1개 ,문화체육관광과,2022
충청남도 청양군 청양읍 읍내리 15-29,파도타기+다리뻗치기 1개,문화체육관광과,2022
충청남도 청양군 청양읍 학당리 209-5,허리돌리기+큰활차 1개+ 공중걷기+자전거타기 1개,문화체육관광과,2022
충청남도 청양군 운곡면 미량리 307-1,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2013
