구분,소재지,운동장 종류,헬스기구,설치년도,관리책임자,비고
1,금암동 189,천마산 입구,6,2015,문화체육과,? 
1,신도안면 남선리 1286,생활체육공원,5,2018,문화체육과,? 
1,금암동 69-2,수변공원 1,12,2005,농림과,? 
1,금암동 22-1,수변공원 2,6,2015,농림과,? 
1,두마면 두계리 62-31,두계근린공원,11,2016,농림과,? 
1,엄사면 엄사리 226-28,양정어린이공원,4,2017,농림과,? 
1,두마면 입암리 630,소공원,3,2017,농림과,? 
1,신도안면 남선리 1296,신도안전통경관사업지,6,2017,농림과,? 
1,엄사면 문화로 31,종합문화체육단지,8,2015,공공시설사업소,? 
1,두마면 두계리 46-1,아랫장터 정자 옆,4,2017,건설교통과,? 
1,두마면 두계리 109-3,왕대산 입구,3,2017,건설교통과,? 
1,두마면 두계리 110-6,왕대고개 공원,6,2015,건설교통과,? 
1,두마면 왕대리 76,왕대1리 마을입구 정자,6,2016,건설교통과,? 
1,두마면 왕대리 203,왕대2리 정자나무 옆,3,2016,건설교통과,? 
1,두마면 입암리 414-1,입암저수지,4,2016,건설교통과,? 
1,신도안면 정장리 113,두계천생태공원,4,2017,문화체육과,? 
1,신도안면,신도안문화공원,2,2016,신도안면,? 
1,금암동 2통,보호수옆(계룡대반점),3,2019,금암동,? 
1,금암동,신성2차 아파트앞 공원,1,2018,금암동,? 
1,금암동,주공2단지 옆 수변공원,1,2018,금암동,? 
1,금암동,수변공원내,3,2016,금암동,? 
1,금암동,뱃골공원,1,2015,금암동,? 
