설치기구명,행정구역,설치년월,수량,제조사,경도,위도
"TM크로스컨트리,TM워밍암,TM트윈트위스트,TM레그프레스,TM롤링웨이스트,TM풀웨이트",강경읍,2006-12-01,6,,127.01606,36.15104
"써핑롤링머신,트위스트머신,스윙워커머신,워킹트레이너머신,큰활차머신",강경읍,2008-11-01,5,,127.01193,36.16453
①달리기+좌우파도타기②등허리지압기+허리돌리기③계단밟기+자전거운동④큰활차+역기올리기④좌우파도타기+허리돌리기,강경읍,2012-01-01,5,,127.0083,36.1483
"①스트라이딩+런닝트레이닝,②레이스라이딩+밸리트레이닝,③웨스트터닝+바디터닝",강경읍,2012-08-01,3,,127.01286,36.15949
"①L써클드로잉+S써클드로잉,②스트라이딩+런닝트레이닝,③웨스트터닝+바디터닝",강경읍,2012-08-01,3,,127.0166,36.16615
"①달리기+좌우파도타기,②등허리지압기+허리돌리기,③큰활차+역기올리기",강경읍,2012-08-01,3,,127.01947,36.16387
"달리기+좌우파도타기,큰활차+역기올리기,등허리지압기+허리돌리기",강경읍,2013-04-01,3,,127.01833,36.16489
"달리기+좌우파도타기,거꾸로매달리기,다리뻗치기",강경읍,2013-04-01,3,,127.02325,36.1627
"거꾸로매달리기,큰활차+역기올리기",강경읍,2013-04-01,2,,127.01433,36.16127
"달리기+좌우파도타기,큰활차+역기올리기,등허리지압기+허리돌리기",강경읍,2013-04-01,3,,127.02046,36.16161
"달리기+좌우파도타기,큰활차+역기올리기,등허리지압기+허리돌리기,거꾸로매달리기",강경읍,2013-04-01,4,,127.01242,36.15242
"달리기+좌우파도타기,큰활차+역기올리기,등허리지압기+허리돌리기",강경읍,2013-04-01,3,,127.01915,36.15274
"달리기+좌우파도타기,큰활차+역기올리기,등허리지압기+허리돌리기",강경읍,2013-04-01,3,,127.01926,36.14768
"달리기+좌우파도타기,큰활차+역기올리기,등허리지압기+허리돌리기",강경읍,2013-04-01,3,,127.28933,36.21589
"달리기+좌우파도타기,큰활차+역기올리기,등허리지압기+허리돌리기,거꾸로매달리기",강경읍,2013-04-01,4,,127.02015,36.15232
"달리기+좌우파도타기,큰활차+역기올리기,등허리지압기+허리돌리기,거꾸로매달리기",강경읍,2013-04-01,4,,127.0236,36.1376
①공중걷기+좌우파도타기②큰활차+역기올리기,강경읍,2014-03-01,2,,127.01389,36.15441
①공중걷기+좌우파도타기②큰활차+역기올리기,강경읍,2014-03-01,2,,127.01093,36.15732
①공중걷기+좌우파도타기②큰활차+역기올리기③등허리지압기+허리돌리기,강경읍,2014-04-01,3,,127.02037,36.16233
①공중걷기+좌우파도타기②큰활차+역기올리기③등허리지압기+허리돌리기,강경읍,2014-04-01,3,,127.01706,36.16604
"등허리지압기+큰활차,자전거",강경읍,2017-09-01,2,대산체육산업,127.01741,36.15957
"온몸노젖기(2인용),하늘걷기(2인용),마라톤운동(2인용),옆파도타기,다리뻗치기,자유평행봉,윗몸일으키기",연무읍,2006-04-01,7,,127.10243,36.13097
"TM크로스컨트리,TM위밍암,TM트윈트위스트",연무읍,2006-12-01,3,,127.10865,36.12558
"TM트윈트위스트,TM체어풀,TM풀웨이트,TM스텝싸이클",연무읍,2007-11-01,4,,127.09439,36.13141
"TM트윈트위스트,TM워밍암,TM스트레칭로라,TM크로스컨트리",연무읍,2007-11-01,4,,127.07738,36.11946
"TM워밍암,TM크로스컨트리,TM롤링웨이스트,TM풀웨이트,야외용체중계,스텝싸이클,등/허리지압기,옆파도타기,어깨근육풀기",연무읍,2007-11-01,9,,127.09529,36.12541
"허리돌리기,달리기운동,큰활차",연무읍,2009-06-01,3,,127.10447,36.09206
"허리돌리기,달리기운동,옆파도타기",연무읍,2009-09-01,3,ING,127.10118,36.13379
"①허리돌리기,②달리기운동,③옆파도타기",연무읍,2010-03-01,3,,127.12432,36.12237
①허리돌리기②달리기운동③좌우파도타기④등허리지압기,연무읍,2010-09-01,4,,127.07724,36.13019
①허리돌리기②달리기운동③활차머신④등허리지압기,연무읍,2010-09-01,4,,127.10576,36.12797
①허리돌리기②달리기운동③좌우파도타기④등허리지압기,연무읍,2010-11-01,4,,127.06532,36.11978
①BE-노르딕머신②BE-에어서핑③BE-에어워킹④BE-트위스트,연무읍,2011-07-01,4,,127.10043,36.09095
①달리기+좌우파도타기②등허리지압기+허리돌리기③계단밟기+자전거운동,연무읍,2011-09-01,3,,127.06421,36.1092
①달리기+좌우파도타기②등허리지압기+허리돌리기③계단밟기+자전거운동,연무읍,2011-09-01,3,,127.09183,36.0859
①BE-로우잉머신②BE-트위스트③BE-에어서핑,연무읍,2011-09-01,3,,127.10444,36.09212
①달리기+좌우파도타기②등허리지압기+허리돌리기③계단밟기+자전거운동④큰활차+역기올리기,연무읍,2012-01-01,4,,127.09392,36.12138
①달리기+좌우파도타기②등허리지압기+허리돌리기③계단밟기+자전거운동,연무읍,2012-01-01,3,,127.09396,36.11382
①달리기+좌우파도타기②등허리지압기+허리돌리기④큰활차+역기올리기,연무읍,2012-01-01,3,,127.12217,36.13417
①노르딕머신+에어워킹②마사지롤러+에어서핑③바디싯업+트위스트,연무읍,2012-05-01,3,,127.05637,36.13063
"①사이드플라인+레그푸싱,②L써클드로잉+S써클드로잉,③웨스트터닝+바디터닝",연무읍,2012-08-01,3,,127.10986,36.1018
"①L써클드로잉+S써클드로잉,②레이스라이딩+밸리트레이닝,③웨스트터닝+바디터닝",연무읍,2012-08-01,3,,127.12131,36.14391
"①달리기+좌우파도타기,②등허리지압기+허리돌리기,③계단밟기+자전거운동",연무읍,2012-08-01,3,,127.06749,36.09436
"①달리기+좌우파도타기,②등허리지압기+허리돌리기,③큰활차+역기올리기",연무읍,2012-08-01,3,,127.12913,36.12201
"①좌우파도타기+허리돌리기,②큰활차+역기올리기,③계단밟기+자전거운동",연무읍,2012-08-01,3,,127.08249,36.08928
"①L써클드로잉+S써클드로잉,②스트라이딩+런닝트레이닝,③웨스트터닝+바디터닝④다운스트레이칭",연무읍,2012-12-01,4,,127.10461,36.08299
"①달리기+좌우파도타기,②등허리지압기+허리돌리기,③큰활차+역기올리기",연무읍,2012-12-01,3,,127.11409,36.08553
"①노르딕머신+에어워킹,②마사지롤러+워밍숄더,③에어서핑+레그프레스",연무읍,2012-12-01,3,,127.12515,36.07604
"①에어서핑+레그프레스,②마사지롤러+워밍숄더,③바디싯업+트위스트",연무읍,2013-03-01,3,,127.06895,36.1069
"①레이스라이딩+밸리트레이닝,②L써클드로잉+S써클드로잉,③웨스트터닝+바디터닝",연무읍,2013-03-01,3,,127.10542,36.11697
"①사이드플라인+레그푸싱,②레이스라이딩+밸리트레이닝,③웨스트터닝+바디터닝",연무읍,2013-03-01,3,,127.10285,36.14239
"①좌우파도타기+허리돌리기,②큰활차+역기올리기,③계단밟기+자전거운동",연무읍,2013-04-01,3,,127.09299,36.09624
"①달리기+좌우파도타기,②큰활차+역기올리기,③등허리지압기+허리돌리기",연무읍,2013-06-01,3,,127.13479,36.11571
"①좌우파도타기+허리돌리기,②큰활차+역기올리기,③계단밟기+자전거운동",연무읍,2013-06-01,3,,127.09193,36.13063
"①레이스라이딩+밸리트레이닝,②웨스트터닝+바디터닝",연무읍,2013-07-01,2,,127.084,36.13448
"①레이스라이딩+밸리트레이닝,②사이드플라인+레그푸싱",연무읍,2013-07-01,2,,127.1258,36.07734
"①노르딕머신+에어워킹,②마사지롤러+워밍숄더,③에어서핑+레그프레스",연무읍,2013-07-01,3,,127.10197,36.13219
"①공중걷기+좌우파도타기,②큰활차+역기올리기③등허리지압기+허리돌리기",연무읍,2013-11-01,3,,127.08536,36.11989
"①공중걷기+좌우파도타기,②큰활차+역기올리기③등허리지압기+허리돌리기",연무읍,2013-11-01,3,,127.09999,36.132
①마사지롤러+워밍숄더②에어서핑+레그프레스,연무읍,2014-04-01,2,,127.10158,36.12889
①마사지롤러+워밍숄더②에어서핑+레그프레스,연무읍,2014-05-01,2,,127.08335,36.10731
①바디싯업+트위스트②마사지롤러+에어서핑,연무읍,2015-06-01,2,비이텍,127.06971,36.11102
①바디싯업+트위스트②마사지롤러+에어서핑,연무읍,2015-06-01,2,비이텍,127.09875,36.12861
"사이드스윙+터닝암,파워사이클+트위스트",연무읍,2015-12-01,2,그린나래,127.11125,36.12916
"마사지롤러+워밍숄더,노르딕머신+에어워킹,마사지롤러+에어서핑,바디싯업+트위스트",연무읍,2016-05-01,4,비이텍,127.104,36.12764
양팔줄당기기+작은활차머신,연무읍,2017-04-01,1,대륙체육산업,127.09529,36.12541
"노르딕머신+에어워킹,마사지롤러+워밍숄더",연무읍,2017-06-01,2,비이텍,127.10345,36.13397
싸이클링+오금펴기옆파도타기+허리돌리기,연무읍,2018-06-01,2,아이세상,127.11431,36.12073
윗몸일으키기+허리돌리기입식싸이클,연무읍,2018-04-01,2,삼형스포메디,127.1037,36.13385
"철봉,거꾸로매달리기,옆파도타기+허리돌리기,상체근육풀기+달리기",연무읍,2019-06-01,4,아이세상,127.09717,36.1053
"등허리지압기,옆파도타기+허리돌리기,상체근육풀기+달리기",연무읍,2019-06-01,3,아이세상,127.10152,36.13608
"TM크로스컨트리,TM워밍암,TM트윈트위스트,TM롤링웨이스트,TM체어플,TM스트레칭로라,",성동면,2007-09-01,6,디자인파크,127.06757,36.21293
"TM크로스컨트리,TM워밍암,TM트리플트위스트,TM롤링웨이스트,TM체어플,TM스트레칭로라,",성동면,2007-11-01,6,디자인파크,127.04468,36.21611
