읍면,설치위치,설치기구종류,설치년도,고장현황,담당부서,데이터기준일자
홍성읍,충청남도 홍성군 홍성읍 조양로103번길 27-6,"큰활차머신, 자유철봉",2016,양호,교육체육과,2022-09-30
홍성읍,충청남도 홍성군 홍성읍 조양로 143번길 35-12,"양팔줄당기기+양팔줄당기기, 허리돌리기+싸이클",2016,양호,교육체육과,2022-09-30
홍성읍,충청남도 홍성군 홍성읍 조양로 33번길 20-18,"역기올리기+큰활차머신, 허리돌리기+옆파도타기, 양팔줄당기기+하늘걷기",2015,양호,교육체육과,2022-09-30
홍성읍,충청남도 홍성군 홍성읍 조양로75번길 26-3,"다리뻗치기+옆파도타기, 허리돌리기+큰활차머신, 달리기+하늘걷기",,양호,교육체육과,2022-09-30
홍성읍,충청남도 홍성군 홍성읍 홍장북로475번길 25-18,"등허리지압기+하늘걷기, 작은활차머신+노젓기, 윗몸일으키기+허리돌리기, 옆파도타기+옆파도타기 ",2016,양호,교육체육과,2022-09-30
홍성읍,충청남도 홍성군 홍성읍 충절로1032번길 34-5,"양팔작은활차+달리기, 싸이클+달리기, 다리뻗치기+역기내리기",2016,양호,교육체육과,2022-09-30
홍성읍,충청남도 홍성군 홍성읍 홍성천길 하천변 우체국앞,"허리돌리기+허리돌리기, 옆파도타기+옆파도타기, 하늘걷기+하늘걷기, 큰활차머신+큰활차머신",,양호,교육체육과,2022-09-30
홍성읍,충청남도 홍성군 홍성읍 하천변 권용타운 앞,"양팔줄당기기+허리돌리기, 옆파도타기+하늘걷기, 자유철봉+윗몸일으키기, 등허리지압기+큰활차머신",2017,양호,교육체육과,2022-09-30
홍성읍,충청남도 홍성군 홍성읍 월계천길 41-11,"등허리지압기+하늘걷기, 작은활차머신+노젓기, 윗몸일으키기+허리돌리기, 옆파도타기+옆파도타기 ",,양호,교육체육과,2022-09-30
홍성읍,충청남도 홍성군 홍성읍 월계천길 41-11,"두팔노젓기+두팔노젓기, 달리기+달리기, 하늘걷기+하늘걷기, 등허리지압기+등허리지압기, 옆파도타기+옆파도타기, 윗몸일으키기+윗몸일으키기",2016,양호,교육체육과,2022-09-30
홍성읍,충청남도 홍성군 홍성읍 충서로 1506 홍성우체국 앞 공원,"옆파도타기+허리돌리기, 하늘걷기+다리뻗치기, 큰활차머신+달리기",,양호,교육체육과,2022-09-30
홍성읍,충청남도 홍성군 홍성읍 충서로 1506 세광아파트,"양팔로프당기기+윗몸일으키기, 허리돌리기+하늘걷기, 역기내리기+두팔노젓기, 큰활차머신+다리뻗치기, 옆파도타기+자유철봉",2016,양호,교육체육과,2022-09-30
홍성읍,충청남도 홍성군 홍성읍 충서로1575번길 100,"하늘걷기+하늘걷기, 양팔줄당기기+양팔줄당기기, 큰활차머신+큰활차머신, 옆파도타기+옆파도타기",2016,양호,교육체육과,2022-09-30
